Code    Description        Theta_r    Theta_s    Alpha      N          Ks         Ko         L          Theta_r_u  Theta_s_u  Alpha_u    N_u        Ks_u       Ko_u       L_u        
                           cm3/cm3    cm3/cm3    log(1/cm)  Log10      L(cm/day)  L(cm/day)  No units   cm3/cm3    cm3/cm3    log(1/cm)  Log10      L(cm/day)  L(cm/day)  No units   
170     B48B               0.03177    0.39692   -1.59775    0.15169    1.74937    1.20772   -0.76110    0.00681    0.01020    0.05731    0.01061    0.16862    0.19446    0.75034
171     B48B2              0.03310    0.39163   -1.40917    0.16124    1.79979    1.44489   -1.04033    0.00678    0.00910    0.06255    0.01213    0.10055    0.21690    0.83743
172     B48B3              0.03196    0.39385   -1.48568    0.15145    1.77465    1.34179   -0.96978    0.00678    0.01009    0.05574    0.01116    0.14183    0.20534    0.82054
173     B49A               0.03177    0.39692   -1.59775    0.15169    1.74937    1.20772   -0.76110    0.00681    0.01020    0.05731    0.01061    0.16862    0.19446    0.75034
174     B49R              -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000
175     B410A              0.04493    0.38152   -1.42822    0.21722    1.93858    1.41125   -0.94620    0.00482    0.00608    0.04033    0.01248    0.05922    0.23797    0.66448
176     B410BA             0.04853    0.37987   -1.46472    0.16761    1.70100    1.26748   -1.12204    0.00499    0.00596    0.03961    0.01049    0.07304    0.23823    0.80251
177     B410Bw             0.04853    0.37987   -1.46472    0.16761    1.70100    1.26748   -1.12204    0.00499    0.00596    0.03961    0.01049    0.07304    0.23823    0.80251
178     B410Bkk            0.04481    0.38217   -1.43898    0.17306    1.75189    1.33796   -1.08158    0.00533    0.00644    0.04220    0.01109    0.06477    0.23379    0.78153
179     B410R             -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000
180     IL11A              0.03177    0.39692   -1.59775    0.15169    1.74937    1.20772   -0.76110    0.00681    0.01020    0.05731    0.01061    0.16862    0.19446    0.75034
181     IL11B              0.03177    0.39692   -1.59775    0.15169    1.74937    1.20772   -0.76110    0.00681    0.01020    0.05731    0.01061    0.16862    0.19446    0.75034
182     IL11C              0.03196    0.39385   -1.48568    0.15145    1.77465    1.34179   -0.96978    0.00678    0.01009    0.05574    0.01116    0.14183    0.20534    0.82054
183     IL11R             -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000
184     IL13A              0.03685    0.38803   -1.43034    0.15878    1.73649    1.38466   -1.07495    0.00638    0.00718    0.05334    0.01047    0.07782    0.22001    0.82996
185     IL13B              0.03570    0.38962   -1.50073    0.15002    1.69928    1.29009   -1.00946    0.00615    0.00761    0.04792    0.00955    0.10432    0.20985    0.81806
186     IL13B2             0.03586    0.39484   -1.74165    0.15809    1.60841    1.00132   -0.51438    0.00586    0.00852    0.06072    0.00924    0.14736    0.19119    0.69212
187     IL14A              0.03570    0.38962   -1.50073    0.15002    1.69928    1.29009   -1.00946    0.00615    0.00761    0.04792    0.00955    0.10432    0.20985    0.81806
188     IL14B              0.03586    0.39484   -1.74165    0.15809    1.60841    1.00132   -0.51438    0.00586    0.00852    0.06072    0.00924    0.14736    0.19119    0.69212
189     IL14B2             0.03647    0.39952   -1.90076    0.17149    1.57099    0.80948   -0.15029    0.00505    0.00788    0.05544    0.00787    0.20150    0.19596    0.74288
190     IL14Cr             0.03196    0.39385   -1.48568    0.15145    1.77465    1.34179   -0.96978    0.00678    0.01009    0.05574    0.01116    0.14183    0.20534    0.82054
191     IL14R             -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000
192     IL15A              0.03177    0.39692   -1.59775    0.15169    1.74937    1.20772   -0.76110    0.00681    0.01020    0.05731    0.01061    0.16862    0.19446    0.75034
193     IL15B              0.04255    0.38461   -1.45713    0.15445    1.65960    1.30229   -1.13569    0.00563    0.00639    0.04264    0.00893    0.07601    0.22623    0.83962
194     IL15B2             0.04255    0.38461   -1.45713    0.15445    1.65960    1.30229   -1.13569    0.00563    0.00639    0.04264    0.00893    0.07601    0.22623    0.83962
195     IL15CB             0.04126    0.38778   -1.61026    0.14824    1.55780    1.11064   -0.90229    0.00496    0.00617    0.04544    0.00841    0.10876    0.20735    0.77484
196     IL15C              0.03310    0.39163   -1.40917    0.16124    1.79979    1.44489   -1.04033    0.00678    0.00910    0.06255    0.01213    0.10055    0.21690    0.83743
197     IL15C2             0.03913    0.38643   -1.37775    0.22962    1.99285    1.54204   -0.90539    0.00548    0.00685    0.05643    0.01367    0.07938    0.24006    0.67399
198     IL15R             -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000
199     IL18A              0.03685    0.38803   -1.43034    0.15878    1.73649    1.38466   -1.07495    0.00638    0.00718    0.05334    0.01047    0.07782    0.22001    0.82996
200     IL18B              0.03685    0.38803   -1.43034    0.15878    1.73649    1.38466   -1.07495    0.00638    0.00718    0.05334    0.01047    0.07782    0.22001    0.82996
201     IL18B2             0.03543    0.39162   -1.60648    0.15047    1.66954    1.16249   -0.81371    0.00598    0.00848    0.05125    0.00955    0.13087    0.19948    0.75437
202     IL18BC             0.03685    0.38803   -1.43034    0.15878    1.73649    1.38466   -1.07495    0.00638    0.00718    0.05334    0.01047    0.07782    0.22001    0.82996
203     IL18C              0.03913    0.38643   -1.37775    0.22962    1.99285    1.54204   -0.90539    0.00548    0.00685    0.05643    0.01367    0.07938    0.24006    0.67399
204     IL18R             -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000
205     IL19A              0.04151    0.38631   -1.51581    0.14731    1.60222    1.22501   -1.07964    0.00546    0.00588    0.03967    0.00793    0.09515    0.21726    0.83171
206     IL110A             0.03543    0.39162   -1.60648    0.15047    1.66954    1.16249   -0.81371    0.00598    0.00848    0.05125    0.00955    0.13087    0.19948    0.75437
207     IL110B             0.03543    0.39162   -1.60648    0.15047    1.66954    1.16249   -0.81371    0.00598    0.00848    0.05125    0.00955    0.13087    0.19948    0.75437
208     IL110BC            0.03685    0.38803   -1.43034    0.15878    1.73649    1.38466   -1.07495    0.00638    0.00718    0.05334    0.01047    0.07782    0.22001    0.82996
209     IL21A              0.03310    0.39163   -1.40917    0.16124    1.79979    1.44489   -1.04033    0.00678    0.00910    0.06255    0.01213    0.10055    0.21690    0.83743
210     IL21R             -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000
211     IL22A              0.03177    0.39692   -1.59775    0.15169    1.74937    1.20772   -0.76110    0.00681    0.01020    0.05731    0.01061    0.16862    0.19446    0.75034
212     IL22B              0.03280    0.40699   -1.90301    0.17346    1.68867    0.84450   -0.05691    0.00610    0.00964    0.05935    0.00851    0.25853    0.19595    0.76192
213     IL22Cr             0.04160    0.38978   -1.73437    0.15540    1.49878    0.96104   -0.63106    0.00478    0.00762    0.05892    0.00930    0.11033    0.19854    0.71140
214     IL23A              0.03586    0.39484   -1.74165    0.15809    1.60841    1.00132   -0.51438    0.00586    0.00852    0.06072    0.00924    0.14736    0.19119    0.69212
215     IL23B              0.03543    0.39162   -1.60648    0.15047    1.66954    1.16249   -0.81371    0.00598    0.00848    0.05125    0.00955    0.13087    0.19948    0.75437
216     IL23B2             0.03280    0.40699   -1.90301    0.17346    1.68867    0.84450   -0.05691    0.00610    0.00964    0.05935    0.00851    0.25853    0.19595    0.76192
217     IL23B3             0.03280    0.40699   -1.90301    0.17346    1.68867    0.84450   -0.05691    0.00610    0.00964    0.05935    0.00851    0.25853    0.19595    0.76192
218     IL23Cr             0.04222    0.39306   -1.88314    0.16779    1.41165    0.77983   -0.29826    0.00416    0.00849    0.05870    0.00919    0.15472    0.19878    0.73107
219     IL24A              0.03570    0.38962   -1.50073    0.15002    1.69928    1.29009   -1.00946    0.00615    0.00761    0.04792    0.00955    0.10432    0.20985    0.81806
220     IL24B              0.03772    0.40593   -2.05778    0.18864    1.59342    0.62311    0.18712    0.00522    0.00778    0.05662    0.00811    0.27033    0.21761    0.94511
221     IL24B2             0.03543    0.39162   -1.60648    0.15047    1.66954    1.16249   -0.81371    0.00598    0.00848    0.05125    0.00955    0.13087    0.19948    0.75437
222     IL24R             -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000
223     IL25A              0.03310    0.39163   -1.40917    0.16124    1.79979    1.44489   -1.04033    0.00678    0.00910    0.06255    0.01213    0.10055    0.21690    0.83743
224     IL25B              0.03310    0.39163   -1.40917    0.16124    1.79979    1.44489   -1.04033    0.00678    0.00910    0.06255    0.01213    0.10055    0.21690    0.83743
225     IL25B2             0.03196    0.39385   -1.48568    0.15145    1.77465    1.34179   -0.96978    0.00678    0.01009    0.05574    0.01116    0.14183    0.20534    0.82054
226     IL25Ab1            0.07397    0.40182   -1.64068    0.11854    0.92995    0.83544   -1.47612    0.00758    0.00684    0.05332    0.00971    0.12604    0.24371    1.05991
227     IL25C              0.03913    0.38643   -1.37775    0.22962    1.99285    1.54204   -0.90539    0.00548    0.00685    0.05643    0.01367    0.07938    0.24006    0.67399
228     IL25Ab2            0.08335    0.42523   -1.67512    0.11041    0.76914    0.75039   -1.56719    0.00803    0.00895    0.06512    0.01081    0.20289    0.24721    1.14225
229     IL27A              0.03685    0.38803   -1.43034    0.15878    1.73649    1.38466   -1.07495    0.00638    0.00718    0.05334    0.01047    0.07782    0.22001    0.82996
230     IL27B              0.03685    0.38803   -1.43034    0.15878    1.73649    1.38466   -1.07495    0.00638    0.00718    0.05334    0.01047    0.07782    0.22001    0.82996
231     IL27B2             0.04255    0.38461   -1.45713    0.15445    1.65960    1.30229   -1.13569    0.00563    0.00639    0.04264    0.00893    0.07601    0.22623    0.83962
232     IL27Bk             0.03685    0.38803   -1.43034    0.15878    1.73649    1.38466   -1.07495    0.00638    0.00718    0.05334    0.01047    0.07782    0.22001    0.82996
233     IL27C              0.03685    0.38803   -1.43034    0.15878    1.73649    1.38466   -1.07495    0.00638    0.00718    0.05334    0.01047    0.07782    0.22001    0.82996
234     IL27R             -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000
235     IL28A              0.03177    0.39692   -1.59775    0.15169    1.74937    1.20772   -0.76110    0.00681    0.01020    0.05731    0.01061    0.16862    0.19446    0.75034
236     IL28B              0.03219    0.40127   -1.73940    0.15957    1.69067    1.04062   -0.44122    0.00665    0.00958    0.06269    0.00962    0.20488    0.18709    0.69003
237     IL28B2             0.03219    0.40127   -1.73940    0.15957    1.69067    1.04062   -0.44122    0.00665    0.00958    0.06269    0.00962    0.20488    0.18709    0.69003
238     IL28Cr             0.03219    0.40127   -1.73940    0.15957    1.69067    1.04062   -0.44122    0.00665    0.00958    0.06269    0.00962    0.20488    0.18709    0.69003
239     IL28R             -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000
240     IL29A              0.03538    0.38939   -1.37277    0.18511    1.86188    1.51548   -0.99505    0.00653    0.00812    0.06547    0.01366    0.08123    0.22869    0.78103
241     IL29B              0.03177    0.39692   -1.59775    0.15169    1.74937    1.20772   -0.76110    0.00681    0.01020    0.05731    0.01061    0.16862    0.19446    0.75034
242     IL29R             -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000
243     IL210A             0.03685    0.38803   -1.43034    0.15878    1.73649    1.38466   -1.07495    0.00638    0.00718    0.05334    0.01047    0.07782    0.22001    0.82996
244     IL210B             0.03310    0.39163   -1.40917    0.16124    1.79979    1.44489   -1.04033    0.00678    0.00910    0.06255    0.01213    0.10055    0.21690    0.83743
245     IL210B2            0.03914    0.38603   -1.40008    0.18050    1.81373    1.44336   -1.02722    0.00606    0.00705    0.05436    0.01221    0.06760    0.22955    0.77168
246     IL210CB            0.03685    0.38803   -1.43034    0.15878    1.73649    1.38466   -1.07495    0.00638    0.00718    0.05334    0.01047    0.07782    0.22001    0.82996
247     IL210R            -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000
248     IL31A              0.03581    0.42327   -2.18709    0.20835    1.83931    0.51775    0.54780    0.00758    0.01363    0.07276    0.01424    0.26969    0.25069    1.25099
249     IL31B              0.03943    0.41392   -2.19091    0.20630    1.71168    0.47538    0.44595    0.00593    0.00883    0.06519    0.01129    0.21389    0.24054    1.19873
250     IL31BC             0.03943    0.41392   -2.19091    0.20630    1.71168    0.47538    0.44595    0.00593    0.00883    0.06519    0.01129    0.21389    0.24054    1.19873
251     IL31R             -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000
252     IL32A              0.03538    0.38939   -1.37277    0.18511    1.86188    1.51548   -0.99505    0.00653    0.00812    0.06547    0.01366    0.08123    0.22869    0.78103
253     IL32B              0.03913    0.38643   -1.37775    0.22962    1.99285    1.54204   -0.90539    0.00548    0.00685    0.05643    0.01367    0.07938    0.24006    0.67399
254     IL32B2             0.03913    0.38643   -1.37775    0.22962    1.99285    1.54204   -0.90539    0.00548    0.00685    0.05643    0.01367    0.07938    0.24006    0.67399
255     IL33A              0.03196    0.39385   -1.48568    0.15145    1.77465    1.34179   -0.96978    0.00678    0.01009    0.05574    0.01116    0.14183    0.20534    0.82054
256     IL33B              0.03538    0.38939   -1.37277    0.18511    1.86188    1.51548   -0.99505    0.00653    0.00812    0.06547    0.01366    0.08123    0.22869    0.78103
257     IL33B2             0.03914    0.38603   -1.40008    0.18050    1.81373    1.44336   -1.02722    0.00606    0.00705    0.05436    0.01221    0.06760    0.22955    0.77168
258     IL33B3             0.03685    0.38803   -1.43034    0.15878    1.73649    1.38466   -1.07495    0.00638    0.00718    0.05334    0.01047    0.07782    0.22001    0.82996
259     IL33B4             0.03177    0.39692   -1.59775    0.15169    1.74937    1.20772   -0.76110    0.00681    0.01020    0.05731    0.01061    0.16862    0.19446    0.75034
260     IL34A              0.05037    0.40902   -2.26754    0.21266    1.50147    0.31456    0.37862    0.00452    0.00938    0.06484    0.01089    0.15102    0.23689    1.28052
261     IL34A2             0.04616    0.39154   -1.86383    0.16486    1.33077    0.77278   -0.39991    0.00392    0.00794    0.06115    0.00992    0.13479    0.20097    0.73135
262     IL34A3             0.04698    0.39565   -2.01775    0.18027    1.30357    0.58830   -0.07278    0.00395    0.00893    0.05386    0.00931    0.20065    0.21094    0.86576
263     IL34AB             0.05672    0.37808   -1.52134    0.13745    1.41921    1.09066   -1.35751    0.00497    0.00511    0.04916    0.00742    0.07326    0.24883    0.95731
264     IL34B              0.04631    0.38293   -1.47319    0.15098    1.61332    1.24961   -1.18298    0.00516    0.00628    0.04010    0.00839    0.08042    0.23128    0.85816
265     IL34B2             0.05213    0.39244   -1.82725    0.15974    1.24341    0.77577   -0.55561    0.00389    0.00592    0.06105    0.01007    0.10164    0.20468    0.74465
266     IL34B3             0.05886    0.37288   -1.54561    0.14882    1.44670    1.05356   -1.25774    0.00560    0.00492    0.05717    0.00844    0.06451    0.25369    0.91001
267     IL34C              0.05093    0.38702   -1.59924    0.14200    1.41035    1.05189   -1.08282    0.00445    0.00607    0.04204    0.00774    0.10754    0.22152    0.84246
268     IL34Cr             0.04481    0.38217   -1.43898    0.17306    1.75189    1.33796   -1.08158    0.00533    0.00644    0.04220    0.01109    0.06477    0.23379    0.78153
269     IL36A              0.03685    0.38803   -1.43034    0.15878    1.73649    1.38466   -1.07495    0.00638    0.00718    0.05334    0.01047    0.07782    0.22001    0.82996
270     IL36B              0.03685    0.38803   -1.43034    0.15878    1.73649    1.38466   -1.07495    0.00638    0.00718    0.05334    0.01047    0.07782    0.22001    0.82996
271     IL36Cr             0.03685    0.38803   -1.43034    0.15878    1.73649    1.38466   -1.07495    0.00638    0.00718    0.05334    0.01047    0.07782    0.22001    0.82996
272     IL37A              0.03685    0.38803   -1.43034    0.15878    1.73649    1.38466   -1.07495    0.00638    0.00718    0.05334    0.01047    0.07782    0.22001    0.82996
273     IL37B              0.03685    0.38803   -1.43034    0.15878    1.73649    1.38466   -1.07495    0.00638    0.00718    0.05334    0.01047    0.07782    0.22001    0.82996
274     IL37Cr             0.03543    0.39162   -1.60648    0.15047    1.66954    1.16249   -0.81371    0.00598    0.00848    0.05125    0.00955    0.13087    0.19948    0.75437
275     IL37R             -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000
276     IL39A              0.04299    0.38305   -1.41139    0.22141    1.95699    1.45512   -0.93178    0.00500    0.00626    0.04468    0.01264    0.06015    0.23805    0.66419
277     IL39BA             0.03685    0.38803   -1.43034    0.15878    1.73649    1.38466   -1.07495    0.00638    0.00718    0.05334    0.01047    0.07782    0.22001    0.82996
278     IL39B              0.03685    0.38803   -1.43034    0.15878    1.73649    1.38466   -1.07495    0.00638    0.00718    0.05334    0.01047    0.07782    0.22001    0.82996
279     IL39B2             0.03685    0.38803   -1.43034    0.15878    1.73649    1.38466   -1.07495    0.00638    0.00718    0.05334    0.01047    0.07782    0.22001    0.82996
280     IL39Cr             0.03538    0.38939   -1.37277    0.18511    1.86188    1.51548   -0.99505    0.00653    0.00812    0.06547    0.01366    0.08123    0.22869    0.78103
281     IL39R             -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000
282     IL310A             0.03219    0.40127   -1.73940    0.15957    1.69067    1.04062   -0.44122    0.00665    0.00958    0.06269    0.00962    0.20488    0.18709    0.69003
283     IL310B             0.03310    0.39163   -1.40917    0.16124    1.79979    1.44489   -1.04033    0.00678    0.00910    0.06255    0.01213    0.10055    0.21690    0.83743
284     IL310B2            0.03196    0.39385   -1.48568    0.15145    1.77465    1.34179   -0.96978    0.00678    0.01009    0.05574    0.01116    0.14183    0.20534    0.82054
285     IL310C             0.03310    0.39163   -1.40917    0.16124    1.79979    1.44489   -1.04033    0.00678    0.00910    0.06255    0.01213    0.10055    0.21690    0.83743
286     IL310C2            0.03914    0.38603   -1.40008    0.18050    1.81373    1.44336   -1.02722    0.00606    0.00705    0.05436    0.01221    0.06760    0.22955    0.77168
287     IL310R            -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000
288     IL42A              0.03310    0.39163   -1.40917    0.16124    1.79979    1.44489   -1.04033    0.00678    0.00910    0.06255    0.01213    0.10055    0.21690    0.83743
289     IL42B              0.03310    0.39163   -1.40917    0.16124    1.79979    1.44489   -1.04033    0.00678    0.00910    0.06255    0.01213    0.10055    0.21690    0.83743
290     IL42B2             0.03196    0.39385   -1.48568    0.15145    1.77465    1.34179   -0.96978    0.00678    0.01009    0.05574    0.01116    0.14183    0.20534    0.82054
291     IL42BC             0.03913    0.38643   -1.37775    0.22962    1.99285    1.54204   -0.90539    0.00548    0.00685    0.05643    0.01367    0.07938    0.24006    0.67399
292     IL43A              0.03232    0.43555   -2.17185    0.20933    1.96501    0.57459    0.64468    0.00947    0.02233    0.09001    0.01860    0.33909    0.26191    1.31038
293     IL43B              0.05549    0.40678   -2.22921    0.20486    1.35688    0.31437    0.23759    0.00462    0.01016    0.05920    0.01019    0.13740    0.22630    1.19187
294     IL43R             -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000
295     IL44A              0.03570    0.38962   -1.50073    0.15002    1.69928    1.29009   -1.00946    0.00615    0.00761    0.04792    0.00955    0.10432    0.20985    0.81806
296     IL44Cr             0.03685    0.38803   -1.43034    0.15878    1.73649    1.38466   -1.07495    0.00638    0.00718    0.05334    0.01047    0.07782    0.22001    0.82996
297     IL45A              0.03914    0.38603   -1.40008    0.18050    1.81373    1.44336   -1.02722    0.00606    0.00705    0.05436    0.01221    0.06760    0.22955    0.77168
298     IL45B              0.03913    0.38643   -1.37775    0.22962    1.99285    1.54204   -0.90539    0.00548    0.00685    0.05643    0.01367    0.07938    0.24006    0.67399
299     IL45R             -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000
300     IL47A              0.02835    0.40485   -1.58359    0.15285    1.83020    1.26314   -0.71191    0.00774    0.01352    0.06802    0.01217    0.22879    0.19027    0.75891
301     IL47B              0.03543    0.39162   -1.60648    0.15047    1.66954    1.16249   -0.81371    0.00598    0.00848    0.05125    0.00955    0.13087    0.19948    0.75437
302     IL47B2             0.04151    0.38631   -1.51581    0.14731    1.60222    1.22501   -1.07964    0.00546    0.00588    0.03967    0.00793    0.09515    0.21726    0.83171
303     IL47B3             0.03310    0.39163   -1.40917    0.16124    1.79979    1.44489   -1.04033    0.00678    0.00910    0.06255    0.01213    0.10055    0.21690    0.83743
304     IL48A              0.03310    0.39163   -1.40917    0.16124    1.79979    1.44489   -1.04033    0.00678    0.00910    0.06255    0.01213    0.10055    0.21690    0.83743
305     IL48R             -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000
306     IL49A              0.03196    0.39385   -1.48568    0.15145    1.77465    1.34179   -0.96978    0.00678    0.01009    0.05574    0.01116    0.14183    0.20534    0.82054
307     IL49B              0.02848    0.40044   -1.46628    0.15290    1.85545    1.40211   -0.93245    0.00754    0.01358    0.06657    0.01313    0.20182    0.20157    0.83398
308     IL49Bw             0.02848    0.40044   -1.46628    0.15290    1.85545    1.40211   -0.93245    0.00754    0.01358    0.06657    0.01313    0.20182    0.20157    0.83398
309     IL49R             -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000
310     IL410A             0.02835    0.40485   -1.58359    0.15285    1.83020    1.26314   -0.71191    0.00774    0.01352    0.06802    0.01217    0.22879    0.19027    0.75891
311     IL410B             0.02848    0.40044   -1.46628    0.15290    1.85545    1.40211   -0.93245    0.00754    0.01358    0.06657    0.01313    0.20182    0.20157    0.83398
312     IL410C             0.02950    0.39697   -1.38464    0.16363    1.87182    1.51170   -1.00825    0.00730    0.01273    0.07300    0.01437    0.15939    0.21502    0.85707
313     IL410C2            0.03171    0.39395   -1.34345    0.18960    1.91978    1.59140   -0.96529    0.00693    0.01088    0.07731    0.01600    0.11748    0.22979    0.80382
314     M11A               0.04299    0.38305   -1.41139    0.22141    1.95699    1.45512   -0.93178    0.00500    0.00626    0.04468    0.01264    0.06015    0.23805    0.66419
315     M11BA              0.03914    0.38603   -1.40008    0.18050    1.81373    1.44336   -1.02722    0.00606    0.00705    0.05436    0.01221    0.06760    0.22955    0.77168
316     M11B               0.04151    0.38631   -1.51581    0.14731    1.60222    1.22501   -1.07964    0.00546    0.00588    0.03967    0.00793    0.09515    0.21726    0.83171
317     M11B2              0.03685    0.38803   -1.43034    0.15878    1.73649    1.38466   -1.07495    0.00638    0.00718    0.05334    0.01047    0.07782    0.22001    0.82996
318     M12A               0.03310    0.39163   -1.40917    0.16124    1.79979    1.44489   -1.04033    0.00678    0.00910    0.06255    0.01213    0.10055    0.21690    0.83743
319     M12B               0.03310    0.39163   -1.40917    0.16124    1.79979    1.44489   -1.04033    0.00678    0.00910    0.06255    0.01213    0.10055    0.21690    0.83743
320     M12B2              0.03310    0.39163   -1.40917    0.16124    1.79979    1.44489   -1.04033    0.00678    0.00910    0.06255    0.01213    0.10055    0.21690    0.83743
321     M12B3              0.03310    0.39163   -1.40917    0.16124    1.79979    1.44489   -1.04033    0.00678    0.00910    0.06255    0.01213    0.10055    0.21690    0.83743
322     M14A               0.03913    0.38643   -1.37775    0.22962    1.99285    1.54204   -0.90539    0.00548    0.00685    0.05643    0.01367    0.07938    0.24006    0.67399
323     M14B               0.03913    0.38643   -1.37775    0.22962    1.99285    1.54204   -0.90539    0.00548    0.00685    0.05643    0.01367    0.07938    0.24006    0.67399
324     M14B2              0.03914    0.38603   -1.40008    0.18050    1.81373    1.44336   -1.02722    0.00606    0.00705    0.05436    0.01221    0.06760    0.22955    0.77168
325     M14C               0.03913    0.38643   -1.37775    0.22962    1.99285    1.54204   -0.90539    0.00548    0.00685    0.05643    0.01367    0.07938    0.24006    0.67399
326     M15A               0.03543    0.39162   -1.60648    0.15047    1.66954    1.16249   -0.81371    0.00598    0.00848    0.05125    0.00955    0.13087    0.19948    0.75437
327     M15B               0.04151    0.38631   -1.51581    0.14731    1.60222    1.22501   -1.07964    0.00546    0.00588    0.03967    0.00793    0.09515    0.21726    0.83171
328     M15Bt              0.07059    0.41428   -1.90366    0.15827    0.84133    0.57608   -0.54495    0.00562    0.00784    0.06400    0.00890    0.21471    0.21664    0.87828
329     M15Bt2             0.06997    0.42299   -2.15849    0.19063    1.14676    0.30866    0.00833    0.00517    0.00683    0.05178    0.00889    0.13102    0.22381    1.12545
330     M15R              -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000
331     M16A               0.03310    0.39163   -1.40917    0.16124    1.79979    1.44489   -1.04033    0.00678    0.00910    0.06255    0.01213    0.10055    0.21690    0.83743
332     M16B               0.03914    0.38603   -1.40008    0.18050    1.81373    1.44336   -1.02722    0.00606    0.00705    0.05436    0.01221    0.06760    0.22955    0.77168
333     M16B2              0.03914    0.38603   -1.40008    0.18050    1.81373    1.44336   -1.02722    0.00606    0.00705    0.05436    0.01221    0.06760    0.22955    0.77168
334     M17A               0.03310    0.39163   -1.40917    0.16124    1.79979    1.44489   -1.04033    0.00678    0.00910    0.06255    0.01213    0.10055    0.21690    0.83743
335     M17B               0.03310    0.39163   -1.40917    0.16124    1.79979    1.44489   -1.04033    0.00678    0.00910    0.06255    0.01213    0.10055    0.21690    0.83743
336     M17B2              0.03310    0.39163   -1.40917    0.16124    1.79979    1.44489   -1.04033    0.00678    0.00910    0.06255    0.01213    0.10055    0.21690    0.83743
337     M17B3              0.04126    0.38778   -1.61026    0.14824    1.55780    1.11064   -0.90229    0.00496    0.00617    0.04544    0.00841    0.10876    0.20735    0.77484
338     M18A               0.03914    0.38603   -1.40008    0.18050    1.81373    1.44336   -1.02722    0.00606    0.00705    0.05436    0.01221    0.06760    0.22955    0.77168
339     M18Bw              0.03685    0.38803   -1.43034    0.15878    1.73649    1.38466   -1.07495    0.00638    0.00718    0.05334    0.01047    0.07782    0.22001    0.82996
340     M18AB              0.04255    0.38461   -1.45713    0.15445    1.65960    1.30229   -1.13569    0.00563    0.00639    0.04264    0.00893    0.07601    0.22623    0.83962
