Code    Description        Theta_r    Theta_s    Alpha      N          Ks         Ko         L          Theta_r_u  Theta_s_u  Alpha_u    N_u        Ks_u       Ko_u       L_u        
                           cm3/cm3    cm3/cm3    log(1/cm)  Log10      L(cm/day)  L(cm/day)  No units   cm3/cm3    cm3/cm3    log(1/cm)  Log10      L(cm/day)  L(cm/day)  No units   
82      B27B               0.03177    0.39692   -1.59775    0.15169    1.74937    1.20772   -0.76110    0.00681    0.01020    0.05731    0.01061    0.16862    0.19446    0.75034
83      B27B2              0.03543    0.39162   -1.60648    0.15047    1.66954    1.16249   -0.81371    0.00598    0.00848    0.05125    0.00955    0.13087    0.19948    0.75437
84      B27R              -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000
85      B28A               0.04668    0.38102   -1.45182    0.17038    1.72849    1.30281   -1.10141    0.00513    0.00622    0.04030    0.01081    0.07034    0.23588    0.79071
86      B28BA              0.04853    0.37987   -1.46472    0.16761    1.70100    1.26748   -1.12204    0.00499    0.00596    0.03961    0.01049    0.07304    0.23823    0.80251
87      B28Bw              0.04481    0.38217   -1.43898    0.17306    1.75189    1.33796   -1.08158    0.00533    0.00644    0.04220    0.01109    0.06477    0.23379    0.78153
88      B28C               0.04631    0.38293   -1.47319    0.15098    1.61332    1.24961   -1.18298    0.00516    0.00628    0.04010    0.00839    0.08042    0.23128    0.85816
89      B28Ab              0.05781    0.39513   -1.78572    0.15346    1.17379    0.78896   -0.71667    0.00452    0.00617    0.05981    0.00973    0.09963    0.20991    0.77707
90      B29A               0.03543    0.39162   -1.60648    0.15047    1.66954    1.16249   -0.81371    0.00598    0.00848    0.05125    0.00955    0.13087    0.19948    0.75437
91      B29B               0.03543    0.39162   -1.60648    0.15047    1.66954    1.16249   -0.81371    0.00598    0.00848    0.05125    0.00955    0.13087    0.19948    0.75437
92      B29Cr              0.03685    0.38803   -1.43034    0.15878    1.73649    1.38466   -1.07495    0.00638    0.00718    0.05334    0.01047    0.07782    0.22001    0.82996
93      B29R              -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000
94      B210A              0.03280    0.40699   -1.90301    0.17346    1.68867    0.84450   -0.05691    0.00610    0.00964    0.05935    0.00851    0.25853    0.19595    0.76192
95      B210B              0.03956    0.40270   -2.05389    0.18727    1.53537    0.60974    0.13604    0.00471    0.00763    0.05500    0.00777    0.25436    0.21584    0.92801
96      B210B2             0.03836    0.39676   -1.89664    0.17036    1.51394    0.79672   -0.19880    0.00466    0.00803    0.05590    0.00819    0.18020    0.19673    0.73710
97      B210CB             0.03171    0.39395   -1.34345    0.18960    1.91978    1.59140   -0.96529    0.00693    0.01088    0.07731    0.01600    0.11748    0.22979    0.80382
98      B31A               0.03177    0.39692   -1.59775    0.15169    1.74937    1.20772   -0.76110    0.00681    0.01020    0.05731    0.01061    0.16862    0.19446    0.75034
99      B31B               0.03570    0.38962   -1.50073    0.15002    1.69928    1.29009   -1.00946    0.00615    0.00761    0.04792    0.00955    0.10432    0.20985    0.81806
100     B31Bk              0.04326    0.39805   -2.03965    0.18405    1.41966    0.59296    0.03263    0.00411    0.00849    0.05390    0.00824    0.22621    0.21310    0.89586
101     B31B               0.03482    0.38988   -1.37671    0.17893    1.84482    1.50428   -1.01031    0.00664    0.00832    0.06576    0.01338    0.08241    0.22635    0.79787
102     B31R              -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000
103     B32A               0.03219    0.40127   -1.73940    0.15957    1.69067    1.04062   -0.44122    0.00665    0.00958    0.06269    0.00962    0.20488    0.18709    0.69003
104     B32B               0.03411    0.41437   -2.05846    0.19085    1.71392    0.66043    0.28742    0.00658    0.01106    0.06410    0.01035    0.31118    0.22263    0.98373
105     B32B2              0.03280    0.40699   -1.90301    0.17346    1.68867    0.84450   -0.05691    0.00610    0.00964    0.05935    0.00851    0.25853    0.19595    0.76192
106     B32Cr              0.02869    0.41042   -1.73102    0.16086    1.78822    1.09077   -0.37189    0.00757    0.01387    0.07096    0.01123    0.27612    0.18508    0.70306
107     B32R              -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000
108     B33A               0.03280    0.40699   -1.90301    0.17346    1.68867    0.84450   -0.05691    0.00610    0.00964    0.05935    0.00851    0.25853    0.19595    0.76192
109     B33B               0.04151    0.38631   -1.51581    0.14731    1.60222    1.22501   -1.07964    0.00546    0.00588    0.03967    0.00793    0.09515    0.21726    0.83171
110     B33B2              0.03586    0.39484   -1.74165    0.15809    1.60841    1.00132   -0.51438    0.00586    0.00852    0.06072    0.00924    0.14736    0.19119    0.69212
111     B33B3              0.03280    0.40699   -1.90301    0.17346    1.68867    0.84450   -0.05691    0.00610    0.00964    0.05935    0.00851    0.25853    0.19595    0.76192
112     B33Bt              0.06926    0.43273   -2.30694    0.21437    1.17665    0.18704    0.28881    0.00561    0.01044    0.06037    0.01042    0.10142    0.24639    1.39294
113     B33Ab              0.03196    0.39385   -1.48568    0.15145    1.77465    1.34179   -0.96978    0.00678    0.01009    0.05574    0.01116    0.14183    0.20534    0.82054
114     B34A               0.02950    0.39697   -1.38464    0.16363    1.87182    1.51170   -1.00825    0.00730    0.01273    0.07300    0.01437    0.15939    0.21502    0.85707
115     B34B               0.02848    0.40044   -1.46628    0.15290    1.85545    1.40211   -0.93245    0.00754    0.01358    0.06657    0.01313    0.20182    0.20157    0.83398
116     B34B2              0.02950    0.39697   -1.38464    0.16363    1.87182    1.51170   -1.00825    0.00730    0.01273    0.07300    0.01437    0.15939    0.21502    0.85707
117     B34Cr              0.03171    0.39395   -1.34345    0.18960    1.91978    1.59140   -0.96529    0.00693    0.01088    0.07731    0.01600    0.11748    0.22979    0.80382
118     B34R              -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000
119     B35A               0.05263    0.39572   -1.97323    0.17382    1.14919    0.60012   -0.23641    0.00398    0.00734    0.05331    0.01032    0.16951    0.20866    0.82764
120     B35Ap              0.05213    0.39244   -1.82725    0.15974    1.24341    0.77577   -0.55561    0.00389    0.00592    0.06105    0.01007    0.10164    0.20468    0.74465
121     B35B               0.05620    0.38715   -1.58979    0.13643    1.32946    1.02164   -1.20930    0.00475    0.00655    0.04463    0.00762    0.10820    0.23086    0.90039
122     B352B              0.06215    0.40979   -2.15423    0.19251    1.20549    0.34952    0.04246    0.00501    0.00777    0.05002    0.00962    0.13351    0.21899    1.07868
