Code	Comment	Sand	Silt	Clay	Bulkdensity	Theta33	Theta1500
Id	pedon_horizon	%	%	%	gr/cm3	cm3/cm3	cm3/cm3
76	B26B	60	35	5	-9.9	-9.9	-9.9
77	B26B2	60	35	5	-9.9	-9.9	-9.9
78	B26C	70	25	5	-9.9	-9.9	-9.9
79	B26Ab	60	17	23	-9.9	-9.9	-9.9
80	B26Bb	50	32	18	-9.9	-9.9	-9.9
81	B27A	60	35	5	-9.9	-9.9	-9.9
82	B27B	60	35	5	-9.9	-9.9	-9.9
83	B27B2	60	33	7	-9.9	-9.9	-9.9
84	B27R	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
85	B28A	75	14	11	-9.9	-9.9	-9.9
86	B28BA	75	13	12	-9.9	-9.9	-9.9
87	B28Bw	75	15	10	-9.9	-9.9	-9.9
88	B28C	70	18	12	-9.9	-9.9	-9.9
89	B28Ab	50	32	18	-9.9	-9.9	-9.9
90	B29A	60	33	7	-9.9	-9.9	-9.9
91	B29B	60	33	7	-9.9	-9.9	-9.9
92	B29Cr	70	23	7	-9.9	-9.9	-9.9
93	B29R	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
94	B210A	50	45	5	-9.9	-9.9	-9.9
95	B210B	45	47	8	-9.9	-9.9	-9.9
96	B210B2	50	42	8	-9.9	-9.9	-9.9
97	B210CB	75	22	3	-9.9	-9.9	-9.9
98	B31A	60	35	5	-9.9	-9.9	-9.9
99	B31B	65	28	7	-9.9	-9.9	-9.9
100	B31Bk	45	45	10	-9.9	-9.9	-9.9
101	B31B	74	21	5	-9.9	-9.9	-9.9
102	B31R	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
103	B32A	55	40	5	-9.9	-9.9	-9.9
104	B32B	45	50	5	-9.9	-9.9	-9.9
105	B32B2	50	45	5	-9.9	-9.9	-9.9
106	B32Cr	55	42	3	-9.9	-9.9	-9.9
107	B32R	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
108	B33A	50	45	5	-9.9	-9.9	-9.9
109	B33B	65	25	10	-9.9	-9.9	-9.9
110	B33B2	55	38	7	-9.9	-9.9	-9.9
111	B33B3	50	45	5	-9.9	-9.9	-9.9
112	B33Bt	20	60	20	-9.9	-9.9	-9.9
113	B33Ab	65	30	5	-9.9	-9.9	-9.9
114	B34A	70	27	3	-9.9	-9.9	-9.9
115	B34B	65	32	3	-9.9	-9.9	-9.9
116	B34B2	70	27	3	-9.9	-9.9	-9.9
117	B34Cr	75	22	3	-9.9	-9.9	-9.9
118	B34R	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
119	B35A	45	40	15	-9.9	-9.9	-9.9
120	B35Ap	50	35	15	-9.9	-9.9	-9.9
121	B35B	60	22	18	-9.9	-9.9	-9.9
122	B352B	35	46	19	-9.9	-9.9	-9.9
123	B352B2	35	47	18	-9.9	-9.9	-9.9
124	B353B	70	23	7	-9.9	-9.9	-9.9
125	B36A	70	25	5	-9.9	-9.9	-9.9
126	B36B	65	30	5	-9.9	-9.9	-9.9
127	B36Bt	55	27	18	-9.9	-9.9	-9.9
128	B36B	60	33	7	-9.9	-9.9	-9.9
129	B36B2	60	33	7	-9.9	-9.9	-9.9
130	B36R	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
131	B37A	65	32	3	-9.9	-9.9	-9.9
132	B37B	70	23	7	-9.9	-9.9	-9.9
133	B37B2	70	25	5	-9.9	-9.9	-9.9
134	B37B3	75	20	5	-9.9	-9.9	-9.9
135	B37B4	80	17	3	-9.9	-9.9	-9.9
136	B37R	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
137	B38A	70	25	5	-9.9	-9.9	-9.9
138	B38A2	75	15	10	-9.9	-9.9	-9.9
139	B38AC	75	15	10	-9.9	-9.9	-9.9
140	B38Cr	60	30	10	-9.9	-9.9	-9.9
141	B39A	70	25	5	-9.9	-9.9	-9.9
142	B39B	80	15	5	-9.9	-9.9	-9.9
143	B39C	80	15	5	-9.9	-9.9	-9.9
144	B39Ab	80	13	7	-9.9	-9.9	-9.9
145	B310A	45	50	5	-9.9	-9.9	-9.9
146	B310B	70	15	15	-9.9	-9.9	-9.9
147	B310Cr	80	17	3	-9.9	-9.9	-9.9
148	B41A	70	25	5	-9.9	-9.9	-9.9
149	B41R	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
150	B42A	60	35	5	-9.9	-9.9	-9.9
151	B42R	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
152	B43A	60	37	3	-9.9	-9.9	-9.9
153	B43B	70	27	3	-9.9	-9.9	-9.9
154	B43Cr	80	17	3	-9.9	-9.9	-9.9
155	B44A	60	35	5	-9.9	-9.9	-9.9
156	B44B	60	33	7	-9.9	-9.9	-9.9
157	B44B2	60	35	5	-9.9	-9.9	-9.9
158	B44B3	75	20	5	-9.9	-9.9	-9.9
159	B44B4	70	25	5	-9.9	-9.9	-9.9
160	B44B5	65	32	3	-9.9	-9.9	-9.9
161	B44R	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
162	B46A	65	30	5	-9.9	-9.9	-9.9
163	B46B	70	25	5	-9.9	-9.9	-9.9
