Code	Comment	Sand	Silt	Clay	Bulkdensity	Theta33	Theta1500
Id	pedon_horizon	%	%	%	gr/cm3	cm3/cm3	cm3/cm3
94	CLHS22PBkk	75	12	13	-9.9	-9.9	-9.9
95	CLHS22PNA	65	20	15	-9.9	-9.9	-9.9
96	CLHS23PA	75	13	12	-9.9	-9.9	-9.9
97	CLHS23PBA	85	7	8	-9.9	-9.9	-9.9
98	CLHS23PBW1	60	30	10	-9.9	-9.9	-9.9
99	CLHS23PBW2	70	16	14	-9.9	-9.9	-9.9
100	CLHS23PBK	60	25	15	-9.9	-9.9	-9.9
101	CLHS23PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
102	 CLHS24PA	72	16	12	-9.9	-9.9	-9.9
103	 CLHS24PABw	75	14	11	-9.9	-9.9	-9.9
104	 CLHS24PBk	72	16	12	-9.9	-9.9	-9.9
105	 CLHS24PBkk	70	15	15	-9.9	-9.9	-9.9
106	CLHS25PA	76	15	9	-9.9	-9.9	-9.9
107	CLHS25PBw	75	17	8	-9.9	-9.9	-9.9
108	CLHS25PBk1	74	16	10	-9.9	-9.9	-9.9
109	CLHS25PBk2	82	11	7	-9.9	-9.9	-9.9
110	CLHS26PA	80	15	5	-9.9	-9.9	-9.9
111	CLHS26PBw1	80	15	5	-9.9	-9.9	-9.9
112	CLHS26PBw2	75	15	10	-9.9	-9.9	-9.9
113	CLHS26PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
114	CLHS27PA	85	9	6	-9.9	-9.9	-9.9
115	CLHS27PBw1	80	14	6	-9.9	-9.9	-9.9
116	CLHS27PBw2	80	12	8	-9.9	-9.9	-9.9
117	CLHS27PBw3	80	10	10	-9.9	-9.9	-9.9
118	CLHS28PA	85	10	5	-9.9	-9.9	-9.9
119	CLHS28PBk1	95	1	4	-9.9	-9.9	-9.9
120	CLHS28PC	95	2	3	-9.9	-9.9	-9.9
121	CLHS28PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
122	CLHS29PA	80	13	7	-9.9	-9.9	-9.9
123	CLHS29PBw	90	5	5	-9.9	-9.9	-9.9
124	CLHS29PBk1	80	12	8	-9.9	-9.9	-9.9
125	CLHS29PBk2	80	12	8	-9.9	-9.9	-9.9
126	CLHS30PA	90	6	4	-9.9	-9.9	-9.9
