"","AMUT","AMUT/D","ARBI3","ARBI3/D","ARFR4","ARNO4","ARNO4/D","ARTR2","ARTR2/D","ATCA2","ATCA2/D","ATCO","ATCO/D","BRMI","CEIN7","CEMO","CEMO2","CEMO2/D","CEMO22","CHNAA3","CHNAA3/D","CHVI8","CHVI8/D","CRAN4","EPVI","EPVI/D","FRAN2","GUMI","GUSA2","GUSA2/D","JUOS","JUOS/D","KRLA2","KRLA2/D","MAFR3","MAFR3/D","PIED","PIED/D","SAVE4","SHRO","SHRO/D","SYOR","SYOR/D","YUAN2","YUAN2/D","YUBA","YUBA/D"
"IL2_10",0,0,0,0,0,0,0,8e-04,0.006,0.0014,0,0,0,0,0,0,0,0,0,0,0,0.0039,0,0,0,0,0,0,0,0,0,0,0.0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL2_2",0,0,0,0,0,0,0,0,0,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL2_3",0,0,0,0,0,0,0,0.0023,0.0032,3e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL2_4",0,0,0,0,0,0,0,0,0.001,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL2_5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0075,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL2_7",0,0,0,0,0,0,0,0.0048,0.003,4e-04,0,0,0,0,0,0,0,0,0,0,0,4e-04,0,0,0.0038,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL2_8",0,0,0,0,0,0,0,0.0014,9e-04,0.0013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL2_9",0,0,0,0,0,0,0,0,0.0037,7e-04,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-04,0,0,0,0,0,1e-04,0,0.0102,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0
"IL3_1",0,0,0,0,0,0,0,1e-04,0.0031,3e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL3_10",0,0,0,0,0,0,0,0.0017,0.0018,8e-04,4e-04,0,0,0,0,0,0,0,0,0,0,8e-04,1e-04,0,2e-04,0,0,0,0,0,0,0,3e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL3_2",0,0,0,0,0,0,0,0.0037,0.0016,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL3_3",0,0,0,0,0,0,0,0,0.0044,1e-04,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0.0031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL3_4",0,0,0,0,0,0,0,0.0071,0.0028,0,0,0,0,0,0,0,0,0,0,0,0,8e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL3_6",0,0,0,0,0,0,0,0.0058,0.0022,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL3_7",0,0,0,0,0,0,0,0.001,0.0022,1e-04,0,0,0,0,0,0,0,0,0,0,0,5e-04,0,0,0,0,0,0,0,0,0,0,7e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL3_9",0,0,0,0,0,0,0,0.0046,0.0031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL4_10",0,0,0,0,0,0,0,0.0027,0.0018,5e-04,0,0,0,0,0,0,0,0,0,0,0,5e-04,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL4_2",0,0,0,0,0,0,0,8e-04,0.0033,0.0012,5e-04,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,3e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL4_3",0,0,0,0,0,0,0,0,0.0012,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0073,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL4_4",0,0,0,0,0,0,0,2e-04,9e-04,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0
"IL4_5",0,0,0,0,0,0,0,8e-04,0.0013,6e-04,0,0,0,0,0,0,0,0,0,0,0,0.0017,0,0,0,0,0,0,0,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL4_7",0,0,0,0,0,0,0,0,0.0052,0.0017,1e-04,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL4_8",0,0,0,0,0,0,0,0.0068,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7e-04,1e-04,0,0,0,0,0,2e-04,4e-04,0,0
"IL4_9",0,0,0,0,0,0,0,2e-04,0.004,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1_1",0,0,0,0,0,0,0,7e-04,0,0.0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
