"Plot","ClassAtotal","ClassBtotal","ClassCtotal","ClassDtotal","ClassEtotal"
"IL1_3",0,0,0,0,0
"IL1_3",0,0,0,0,0
"IL1_3",0,0,0,0,0
"IL1_4",0,0,6,1,0
"IL1_4",0,1,13,0,0
"IL1_4",2,1,20,3,0
"IL1_5",0,0,2,0,0
"IL1_5",0,0,0,0,0
"IL1_5",0,0,0,1,0
"IL1_8",0,0,0,0,0
"IL1_8",0,0,1,1,0
"IL1_8",0,0,1,0,0
"IL1_9",7,0,7,0,0
"IL1_9",1,0,5,0,0
"IL1_9",5,1,4,1,0
"IL2_1",0,1,4,0,0
"IL2_1",0,0,4,0,0
"IL2_1",0,0,6,0,0
"IL2_10",0,0,3,0,0
"IL2_10",0,0,3,0,0
"IL2_10",0,0,2,0,0
"IL2_2",0,0,0,0,0
"IL2_2",0,0,0,0,0
"IL2_2",0,0,0,0,0
"IL2_3",0,4,7,1,0
"IL2_3",1,1,4,1,0
"IL2_3",0,1,3,0,0
"IL2_4",0,0,0,0,0
"IL2_4",0,0,0,0,0
"IL2_4",0,0,0,0,0
"IL2_5",0,0,0,0,0
"IL2_5",0,0,0,0,0
"IL2_5",0,0,0,0,0
"IL2_7",0,1,13,3,0
"IL2_7",1,1,8,2,0
"IL2_7",3,0,9,7,0
"IL2_8",0,1,1,1,0
"IL2_8",0,0,4,1,0
"IL2_8",0,0,6,0,0
"IL2_9",0,0,0,0,0
"IL2_9",0,0,0,0,0
"IL2_9",0,0,0,0,0
"IL3_1",0,0,0,0,0
"IL3_1",0,0,0,0,0
"IL3_1",0,0,1,0,0
"IL3_10",0,0,2,4,0
"IL3_10",0,0,3,1,0
"IL3_10",1,0,3,3,0
"IL3_2",1,0,4,3,0
"IL3_2",0,0,6,7,0
"IL3_2",0,1,4,11,0
"IL3_3",0,0,0,0,0
"IL3_3",0,0,0,0,0
"IL3_3",0,0,0,0,0
"IL3_4",0,3,19,5,0
"IL3_4",0,2,16,6,0
"IL3_4",0,1,13,6,0
"IL3_6",8,1,10,3,0
"IL3_6",2,0,14,2,0
