"","AMUT","AMUT/D","ARBI3","ARBI3/D","ARFR4","ARNO4","ARNO4/D","ARTR2","ARTR2/D","ATCA2","ATCA2/D","ATCO","ATCO/D","BRMI","CEIN7","CEMO2","CEMO2/D","CHNAA3","CHNAA3/D","CHVI8","CHVI8/D","CRAN4","EPVI","EPVI/D","FRAN2","GUMI","GUSA2","GUSA2/D","JUOS","JUOS/D","KRLA2","KRLA2/D","MAFR3","MAFR3/D","PIED","PIED/D","SAVE4","SHRO","SHRO/D","SYOR","SYOR/D","YUAN2","YUAN2/D","YUBA","YUBA/D"
"52",0,0,0,0,0,0,0,0,0.494444444444444,0.0666666666666667,0.0111111111111111,0,0,0,0,0,0,0,0,0.0333333333333333,0.00555555555555556,0,0.00555555555555556,0,0,0,0,0,0.00555555555555556,0,0.00555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",0.0333333333333333,0,0,0,0,0,0,0.00555555555555556,0.0222222222222222,0,0,0,0,0,0,0.00555555555555556,0,0,0,0.0222222222222222,0,0,0.0111111111111111,0,0,0,0,0,0.0222222222222222,0.00555555555555556,0,0.00555555555555556,0.00555555555555556,0,0.0444444444444444,0.00555555555555556,0,0,0,0.227777777777778,0.0166666666666667,0,0,0,0
"55",0,0,0,0,0,0,0,0.0166666666666667,0.0611111111111111,0,0,0,0,0,0,0,0,0,0,0.138888888888889,0.00555555555555556,0,0.00555555555555556,0,0,0,0,0,0.00555555555555556,0,0.00555555555555556,0,0,0,0.0333333333333333,0.00555555555555556,0,0,0,0,0,0,0,0.0444444444444444,0.00555555555555556
"56",0,0,0,0,0,0,0,0,0.0388888888888889,0.0222222222222222,0.00555555555555556,0,0,0,0,0,0,0,0,0.0222222222222222,0,0,0,0,0,0,0,0,0.0166666666666667,0,0,0,0,0,0.00555555555555556,0,0,0,0,0,0,0,0,0,0
"57",0,0,0,0,0,0,0,0.0222222222222222,0.277777777777778,0,0.00555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",0,0,0,0,0,0,0,0,0.388888888888889,0,0,0,0,0,0,0,0,0,0,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59",0,0,0,0,0.00555555555555556,0,0,0.0222222222222222,0.0555555555555556,0.00555555555555556,0.0222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60",0,0,0,0,0,0,0,0,0.116666666666667,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61",0,0,0,0,0,0,0,0.0111111111111111,0.0388888888888889,0.00555555555555556,0,0,0,0,0,0,0,0,0,0.188888888888889,0,0,0,0,0,0,0,0,0.0333333333333333,0,0,0,0,0,0.0166666666666667,0.00555555555555556,0,0,0,0,0,0,0,0,0
"63",0.0111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0277777777777778,0,0,0,0.00555555555555556,0,0,0.00555555555555556,0,0,0,0,0,0.0333333333333333,0.00555555555555556,0,0,0.0166666666666667,0,0.205555555555556,0.0277777777777778,0,0,0,0,0,0.00555555555555556,0,0,0
"64",0,0,0,0,0,0,0,0,0.0166666666666667,0.0333333333333333,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65",0,0,0,0,0,0,0,0.0388888888888889,0.105555555555556,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0.0166666666666667,0,0,0,0,0,0.0777777777777778,0,0,0,0,0,0,0,0,0,0
"66",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111111111111111,0,0,0,0,0,0.05,0.0111111111111111,0,0,0,0,0,0,0,0,0
"67",0,0,0,0,0,0,0,0,0.0166666666666667,0.127777777777778,0.0222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00555555555555556,0,0.155555555555556,0,0,0,0,0.00555555555555556,0,0,0,0,0,0,0,0,0
"68",0,0,0,0,0,0,0,0.00555555555555556,0.0388888888888889,0.0333333333333333,0.0111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.988888888888889,0.0111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0
"69",0,0,0,0,0,0,0,0,0,0,0.0111111111111111,0,0,0,0,0,0,0,0,0.0388888888888889,0,0,0.00555555555555556,0,0,0,0,0,0.0388888888888889,0.00555555555555556,0,0,0,0,0.111111111111111,0.0333333333333333,0.00555555555555556,0,0,0,0,0,0,0.105555555555556,0.0111111111111111
"70",0,0,0,0,0.00555555555555556,0,0,0,0.0277777777777778,0.05,0.0111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.866666666666667,0.0111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0
"73",0,0,0,0,0,0,0,0,0.261111111111111,0.0166666666666667,0.0111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76",0,0,0,0,0,0,0,0.0333333333333333,0.133333333333333,0.00555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111111111111111,0,0,0,0,0,0.00555555555555556,0.00555555555555556,0,0,0,0,0,0,0,0,0
"77",0,0,0,0,0,0,0,0.0222222222222222,0.122222222222222,0.0222222222222222,0,0,0,0,0,0,0,0,0,0.0277777777777778,0,0,0,0,0,0,0,0,0.00555555555555556,0,0,0,0,0,0.0277777777777778,0.00555555555555556,0,0,0,0,0,0,0,0,0
"79",0,0,0,0,0,0,0,0.0166666666666667,0.0777777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00555555555555556,0,0,0,0,0,0.0166666666666667,0,0,0,0,0,0,0.00555555555555556,0.0555555555555556,0,0
"80",0,0,0,0,0,0,0,0.405555555555556,0.305555555555556,0.00555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0,0,0,0,0,0.00555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82",0,0,0,0,0,0,0,0.0944444444444444,0.227777777777778,0.0833333333333333,0,0,0,0,0,0,0,0,0,0.0888888888888889,0.00555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83",0,0,0,0,0,0,0,0.0722222222222222,0.261111111111111,0.0222222222222222,0,0,0,0,0,0,0,0,0,0.00555555555555556,0,0,0.0222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86",0,0,0,0,0,0,0,0.0277777777777778,0.322222222222222,0.00555555555555556,0,0,0,0,0,0,0,0,0,0.0333333333333333,0,0,0.466666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88",0.00555555555555556,0,0,0,0,0,0,0.0166666666666667,0.0222222222222222,0,0,0,0,0,0,0,0,0,0,0.0277777777777778,0,0,0,0,0,0,0,0,0.0111111111111111,0,0,0,0.00555555555555556,0,0.0444444444444444,0.0111111111111111,0,0,0,0,0,0,0,0,0
"89",0,0,0,0,0,0,0,0.05,0.0277777777777778,0,0,0,0,0,0,0,0,0,0,0.0166666666666667,0,0,0,0,0,0,0,0,0.00555555555555556,0,0,0,0,0,0.0611111111111111,0,0,0,0,0,0,0,0,0,0
"90",0,0,0,0,0,0,0,0.116666666666667,0.172222222222222,0.0277777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91",0,0,0,0,0,0,0,0.00555555555555556,0.111111111111111,0.0277777777777778,0.00555555555555556,0,0,0,0,0,0,0,0,0.0277777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0
"92",0,0,0,0,0,0,0,0.0222222222222222,0.144444444444444,0.0111111111111111,0,0,0,0,0,0,0,0,0,0.0111111111111111,0.00555555555555556,0,0,0,0,0,0,0,0,0,0.0111111111111111,0,0.00555555555555556,0,0,0,0,0,0,0,0,0,0,0,0
"93",0,0,0,0,0,0,0,0.0222222222222222,0.0111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0388888888888889,0,0,0,0.0166666666666667,0,0.0777777777777778,0.00555555555555556,0,0,0,0,0,0,0,0,0
"94",0,0,0,0,0,0,0,0,0.0444444444444444,0,0,0,0,0,0,0,0,0,0,0.0166666666666667,0,0,0,0,0,0,0,0,0.00555555555555556,0,0,0,0,0,0.0388888888888889,0.00555555555555556,0,0,0,0,0,0,0,0,0
"95",0,0,0,0,0,0,0,0.0333333333333333,0.1,0.0444444444444444,0.00555555555555556,0,0,0,0,0,0,0.00555555555555556,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B1_1",0,0,0,0,0,0,0,0.0833333333333333,0.222222222222222,0.00555555555555556,0.00555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305555555555556,0.00555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0
"B1_10",0,0,0,0,0,0,0,0.0222222222222222,0.188888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0
