"","ACHY","ACHY/D","AF01","AMHI","AMID","AMSIN","AMUT","AMUT/DP","ARNO4","ARPU9","ARPU9/D","ARTR2","ARTR2/D","ARTR2/DP","ATCA2","ATCA2/D","ATCA2/DP","BAMU","BOGR","BOGR/D","BOGR2","BOGR2/D","BRTE","BRTE/D","CEIN7","CEIN7/D","CEMO2","CETE5","CHDE2","CHNAA3","CHVI/D","CHVI/DP","CHVI8","CHVI8/D","CHVI8/DP","CLLU2","CLLU2/D","CRAN4","CRFL5","DEPI","DEPI/D","ECCO5/D","ECCOC","ECCOC/D","ELEL","ELEL5","EPVI","ERAB3","ERCI6","ERMI4","FRAN2","GRFA","GUMI","GUSA","GUSA/D","GUSA/DP","GUSA2","GUSA2/D","HECO26","HECO26/D","HECO26/DP","HIJA","HYACA2","HYFI/D","JUOS","JUOS/D","JUOS/DP","KRLA2","KRLA2/D","KRLA2/DP","LAAC3","LAOC3","LEMO2","MAFR3","MAFR3/DP","MAGR2","OECA10","OENOT","OPPO","OPPO/D","OPPO/DP","PEPU7","PEPU9","PHAU3","PHAU3/D","PHAUA3","PIED","PIED/D","PIED/DP","PLPA2","PSSP","SALS0","SALS0/D","SHRO","SHRO/DP","SPCO","SPCO/D","SPCO4","SPCR","SPCR/D","STUPID","SYOR","SYOR2","SYOR2/D","UNKCLOVER","UNKF10","UNKF11","UNKF14","UNKF2A","UNKF9","UNKFG","UNKSPR","YUAN2/D","YUBA","YUBA/D","YUBA/DP"
"M1_7",0,0,0,0,0,0.0149253731343284,0,0,0,0,0,0,0,0,0.139303482587065,0,0.0447761194029851,0,0,0,0,0,0.278606965174129,0,0,0,0,0.00497512437810945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0348258706467662,0,0,0.00497512437810945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0497512437810945,0,0,0,0,0,0,0.0298507462686567,0,0,0,0,0,0,0,0,0,0,0.0149253731343284,0,0.00497512437810945,0,0,0,0,0,0,0.378109452736318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1_8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0709219858156028,0.0283687943262411,0.0141843971631206,0,0,0,0,0,0.00709219858156028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0141843971631206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212765957446809,0,0.0283687943262411,0,0,0,0,0,0,0,0,0,0,0.170212765957447,0.00709219858156028,0,0,0,0,0,0.617021276595745,0.0141843971631206,0,0,0,0,0,0,0,0,0,0.00709219858156028,0,0,0,0,0,0
"M2_1",0.028436018957346,0,0,0,0,0,0,0,0,0.004739336492891,0,0.00947867298578199,0.0758293838862559,0.004739336492891,0.00947867298578199,0,0,0,0.507109004739337,0.018957345971564,0,0,0.004739336492891,0,0,0,0,0,0,0,0,0,0.023696682464455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018957345971564,0,0,0,0,0.123222748815166,0.00947867298578199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004739336492891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156398104265403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M2_10",0,0,0,0,0,0.1,0,0,0,0,0,0.00833333333333333,0,0,0.125,0,0.0333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416666666666667,0,0.0333333333333333,0,0,0,0,0,0,0.591666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M2_3",0.00420168067226891,0,0,0,0,0,0,0,0,0,0,0,0.0840336134453782,0,0.0168067226890756,0.00840336134453781,0,0,0.466386554621849,0.0252100840336134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00420168067226891,0,0,0,0,0,0,0,0,0,0.0210084033613445,0.00420168067226891,0,0,0,0.239495798319328,0.00420168067226891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00840336134453781,0,0.0168067226890756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0966386554621849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M2_5",0,0,0,0,0,0.0526315789473684,0,0,0,0,0,0,0,0,0.0723684210526316,0,0,0,0.513157894736842,0.0394736842105263,0,0,0.00657894736842105,0,0,0,0,0,0,0,0,0,0,0,0,0.0328947368421053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0263157894736842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197368421052632,0,0,0,0,0,0,0.0197368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203947368421053,0.0131578947368421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M2_6",0,0,0,0.00826446280991736,0,0,0,0,0,0,0,0,0,0,0.256198347107438,0.0413223140495868,0.00826446280991736,0,0,0,0,0,0.0165289256198347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00826446280991736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00826446280991736,0,0,0,0,0,0,0,0,0.00826446280991736,0,0.0247933884297521,0,0,0,0,0,0,0.619834710743802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M2_7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0714285714285714,0,0.0119047619047619,0,0.0297619047619048,0,0,0,0.0892857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0654761904761905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00595238095238095,0,0,0,0,0,0,0.0595238095238095,0,0.0119047619047619,0,0,0,0,0,0,0,0,0,0,0.178571428571429,0.0119047619047619,0,0,0,0,0,0.464285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M2_8",0,0,0,0,0.118811881188119,0,0,0,0,0,0,0,0,0,0.0445544554455446,0,0,0,0.143564356435644,0.0148514851485149,0,0,0.0099009900990099,0,0,0,0,0,0,0.0099009900990099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00495049504950495,0,0,0,0,0,0,0.0099009900990099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0148514851485149,0,0,0,0.0544554455445545,0,0,0,0,0,0.00495049504950495,0.0099009900990099,0,0.00495049504950495,0,0,0,0,0,0,0,0,0.0445544554455446,0,0,0,0,0,0,0,0,0.504950495049505,0.00495049504950495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M2_9",0,0,0,0,0,0.0328947368421053,0,0,0,0,0,0,0.0328947368421053,0,0.0657894736842105,0,0,0,0.144736842105263,0.0197368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0131578947368421,0,0,0.0328947368421053,0,0,0,0,0,0,0,0.00657894736842105,0,0,0,0,0,0,0,0.00657894736842105,0.00657894736842105,0,0,0.125,0,0,0,0,0,0,0.0263157894736842,0,0.0197368421052632,0,0,0,0,0,0,0,0,0.0460526315789474,0,0,0,0,0,0,0,0,0.342105263157895,0.0789473684210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
