Plot,T1.L,T2.L,T3.L,T4.L,T5.L,T1.D,T2.D,T3.D,T4.D,T5.D,,,,Totals,,
B3_7,0,0,42.86,42.86,14.29,11.29,38.71,22.58,25.81,1.61,,1,,,,
B3_8,0,0,33.33,66.67,0,0,50,0,50,0,,1,,,,
B3_9,   NaN,  NaN,   NaN,   NaN,  NaN,   NaN,   NaN,   NaN,   NaN,  NaN,,3,,,,
B4_1,0,16.7,66.67,16.67,0,0,25.93,37.04,33.33,3.7,,1,,,,
B4_10,   NaN,  NaN,   NaN,   NaN,  NaN,2.33,30.23,32.56,34.88,0,,1,,,,
B4_2,0,20,10,60,10,13.33,26.67,6.67,33.33,20,,1,,,,
B4_3,0,55.6,27.78,16.67,0,4.76,26.19,26.19,35.71,7.14,,1,,,,
B4_4,   NaN,  NaN,   NaN,   NaN,  NaN,5.88,23.53,29.41,32.35,8.82,,2,,,,
B4_6,15.79,10.5,26.32,36.84,10.53,12,32,24,32,0,,1,,,,
B4_7,   NaN,  NaN,   NaN,   NaN,  NaN,0,0,25,0,75,,2,,,,
B4_8,   NaN,  NaN,   NaN,   NaN,  NaN,   NaN,   NaN,   NaN,   NaN,  NaN,,3,,,,
B4_9,0,60,40,0,0,28.57,42.86,21.43,7.14,0,,1,,,,
IL1_1,6.9,19,36.21,29.31,8.62,7.69,46.15,15.38,26.92,3.85,,1,,,,
IL1_10,   NaN,  NaN,   NaN,   NaN,  NaN,0,16.67,66.67,16.67,0,,2,,,,
IL1_3,   NaN,  NaN,   NaN,   NaN,  NaN,0,0,0,100,0,,2,,,,
IL1_4,14.55,12.7,25.45,47.27,0,0,47.06,14.71,35.29,2.94,,1,,,,
IL1_5,0,66.7,0,33.33,0,11.76,23.53,35.29,23.53,5.88,,1,,,,
IL1_8,0,0,40,20,40,8.33,0,58.33,25,8.33,,1,,,,
IL1_9,0,43.8,18.75,34.38,3.12,0,42.86,14.29,42.86,0,,1,,,,
IL2_1,6.25,31.2,25,37.5,0,5.56,33.33,22.22,38.89,0,,1,,,,
IL2_10,16.67,25,25,16.67,16.67,1.61,33.87,29.03,33.87,1.61,,1,,,,
IL2_2,   NaN,  NaN,   NaN,   NaN,  NaN,100,0,0,0,0,,2,,,,
IL2_3,4.17,50,29.17,16.67,0,2.94,47.06,17.65,29.41,2.94,,1,,,,
IL2_4,   NaN,  NaN,   NaN,   NaN,  NaN,16.67,16.67,25,41.67,0,,2,,,,
IL2_5,   NaN,  NaN,   NaN,   NaN,  NaN,   NaN,   NaN,   NaN,   NaN,  NaN,,3,,,,
IL2_7,3.51,29.8,21.05,33.33,12.28,5.88,26.47,29.41,32.35,5.88,,1,,,,
IL2_8,22.22,16.7,27.78,33.33,0,18.18,45.45,9.09,27.27,0,,1,,,,
IL2_9,   NaN,  NaN,   NaN,   NaN,  NaN,2.5,22.5,37.5,32.5,5,,2,,,,
IL3_1,0,0,0,100,0,3.03,27.27,39.39,27.27,3.03,,1,,,,
IL3_10,25,25,16.67,29.17,4.17,4.76,23.81,38.1,23.81,9.52,,1,,,,
IL3_2,0,19.5,31.71,39.02,9.76,10.53,15.79,26.32,42.11,5.26,,1,,,,
IL3_3,   NaN,  NaN,   NaN,   NaN,  NaN,6.12,38.78,26.53,24.49,4.08,,2,,,,
IL3_4,3.95,35.5,31.58,26.32,2.63,3.23,22.58,35.48,32.26,6.45,,1,,,,
IL3_6,4.84,35.5,29.03,29.03,1.61,8.33,29.17,16.67,45.83,0,,1,,,,
IL3_7,0,30,50,20,0,0,13.04,39.13,43.48,4.35,,1,,,,
IL3_9,10.91,21.8,21.82,40,5.45,5.41,37.84,21.62,24.32,10.81,,1,,,,
IL4_10,0,40,36.67,13.33,10,5.26,47.37,26.32,21.05,0,,1,,,,
IL4_2,0,75,25,0,0,7.89,18.42,36.84,31.58,5.26,,1,,,,
IL4_3,   NaN,  NaN,   NaN,   NaN,  NaN,0,7.69,30.77,53.85,7.69,,2,,,,
IL4_4,0,100,0,0,0,9.09,27.27,36.36,18.18,9.09,,1,,,,
IL4_5,0,12.5,25,62.5,0,12.5,43.75,12.5,25,6.25,,1,,,,
IL4_7,   NaN,  NaN,   NaN,   NaN,  NaN,5,28.33,36.67,21.67,8.33,,2,,,,
IL4_8,0,22.1,27.94,50,0,0,0,45.45,45.45,9.09,,1,,,,
IL4_9,0,100,0,0,0,2.33,25.58,34.88,32.56,4.65,,1,,,,
M1_1,0,42.9,42.86,14.29,0,0,50,50,0,0,,1,,,,
M1_10,   NaN,  NaN,   NaN,   NaN,  NaN,0,77.78,0,22.22,0,,2,,,,
M1_2,9.76,56.1,31.71,2.44,0,4.65,25.58,30.23,37.21,2.33,,1,,,,
M1_4,0,0,50,0,50,0,15.38,46.15,23.08,15.38,,1,,,,
M1_5,0,40,20,30,10,0,35,35,25,5,,1,,,,
M1_6,   NaN,  NaN,   NaN,   NaN,  NaN,   NaN,   NaN,   NaN,   NaN,  NaN,,3,,,,
M1_7,0,0,0,100,0,   NaN,   NaN,   NaN,   NaN,  NaN,,1,,,,
M1_8,   NaN,  NaN,   NaN,   NaN,  NaN,   NaN,   NaN,   NaN,   NaN,  NaN,,3,,,,
M2_1,6.67,40,26.67,26.67,0,10,30,24,28,8,,1,,,,
M2_10,100,0,0,0,0,   NaN,   NaN,   NaN,   NaN,  NaN,,1,,,,
M2_3,   NaN,  NaN,   NaN,   NaN,  NaN,9.23,38.46,32.31,16.92,3.08,,2,,,,
M2_5,   NaN,  NaN,   NaN,   NaN,  NaN,   NaN,   NaN,   NaN,   NaN,  NaN,,3,,,,
M2_6,   NaN,  NaN,   NaN,   NaN,  NaN,   NaN,   NaN,   NaN,   NaN,  NaN,,3,,,,
M2_7,   NaN,  NaN,   NaN,   NaN,  NaN,   NaN,   NaN,   NaN,   NaN,  NaN,,3,,,,
M2_8,   NaN,  NaN,   NaN,   NaN,  NaN,0,25,0,75,0,,2,,,,
M2_9,0,0,0,100,0,0,9.09,63.64,27.27,0,,1,,,,
M3_1,   NaN,  NaN,   NaN,   NaN,  NaN,   NaN,   NaN,   NaN,   NaN,  NaN,,3,,,,
M3_2,0,35.3,35.29,11.76,17.65,10.53,33.33,26.32,22.81,7.02,,1,,,,
M3_3,25,50,12.5,12.5,0,0,12.9,70.97,12.9,3.23,,1,,,,
M3_5,   NaN,  NaN,   NaN,   NaN,  NaN,0,30.95,36.9,27.38,4.76,,2,,,,
M3_7,0,0,0,100,0,0,50,0,50,0,,1,,,,
M3_8,   NaN,  NaN,   NaN,   NaN,  NaN,3.64,25.45,36.36,29.09,5.45,,2,,,,
M4_2,0,14.3,71.43,14.29,0,0,31.58,26.32,42.11,0,,1,,,,
M4_3,0,0,40,60,0,2.44,26.83,26.83,21.95,21.95,,1,,,,
M4_4,   NaN,  NaN,   NaN,   NaN,  NaN,0,0,50,50,0,,2,,,,
M4_5,   NaN,  NaN,   NaN,   NaN,  NaN,   NaN,   NaN,   NaN,   NaN,  NaN,,3,,,,
M4_6,28.57,28.6,14.29,28.57,0,3.39,20.34,27.12,38.98,10.17,,1,,,,
M4_7,0,33.3,66.67,0,0,0,5.26,47.37,36.84,10.53,,1,,,,
M4_9,4.65,49.6,20.93,14.73,10.08,7.14,64.29,14.29,7.14,7.14,,1,,,,
