"Plot","T1.L","T2.L","T3.L","T4.L","T5.L","T1.D","T2.D","T3.D","T4.D","T5.D","LiveTotal","DeadTotal"
"B2_8","  0.00","  0.00","  0.00","  0.00"," 0.00","  0.000","  0.00","100.00","  0.000"," 0.000","  0.00","100.00"
"B2_9","  4.62","  3.08","  3.08","  1.54"," 1.54","  1.538"," 30.77"," 29.23"," 23.077"," 1.538"," 13.85"," 86.15"
"B3_1","  0.00"," 10.20","  2.04"," 16.33"," 0.00","  0.000"," 20.41"," 14.29"," 28.571"," 8.163"," 28.57"," 71.43"
"B3_10","  1.98"," 21.78"," 20.79"," 23.76"," 1.98","  1.980","  5.94"," 10.89"," 10.891"," 0.000"," 70.30"," 29.70"
"B3_2","  0.00","  0.00","  7.69","  2.56"," 0.00","  0.000"," 35.90"," 30.77"," 23.077"," 0.000"," 10.26"," 89.74"
"B3_3","   NaN","   NaN","   NaN","   NaN","  NaN","    NaN","   NaN","   NaN","    NaN","   NaN","   NaN","   NaN"
"B3_4","  0.00","  0.00","  0.00","  0.00"," 0.00","  0.000","  0.00","  0.00","100.000"," 0.000","  0.00","100.00"
"B3_5","  0.00","  0.00","100.00","  0.00"," 0.00","  0.000","  0.00","  0.00","  0.000"," 0.000","100.00","  0.00"
"B3_6","  0.00","  0.00","  1.30","  1.30"," 0.00","  2.597"," 27.27"," 23.38"," 35.065"," 9.091","  2.60"," 97.40"
"B3_7","  0.00","  0.00","  4.35","  4.35"," 1.45"," 10.145"," 34.78"," 20.29"," 23.188"," 1.449"," 10.14"," 89.86"
"B3_8","  0.00","  0.00"," 16.67"," 33.33"," 0.00","  0.000"," 25.00","  0.00"," 25.000"," 0.000"," 50.00"," 50.00"
"B3_9","   NaN","   NaN","   NaN","   NaN","  NaN","    NaN","   NaN","   NaN","    NaN","   NaN","   NaN","   NaN"
"B4_1","  0.00","  3.03"," 12.12","  3.03"," 0.00","  0.000"," 21.21"," 30.30"," 27.273"," 3.030"," 18.18"," 81.82"
"B4_10","  0.00","  0.00","  0.00","  0.00"," 0.00","  2.326"," 30.23"," 32.56"," 34.884"," 0.000","  0.00","100.00"
"B4_2","  0.00","  8.00","  4.00"," 24.00"," 4.00","  8.000"," 16.00","  4.00"," 20.000","12.000"," 40.00"," 60.00"
"B4_3","  0.00"," 16.67","  8.33","  5.00"," 0.00","  3.333"," 18.33"," 18.33"," 25.000"," 5.000"," 30.00"," 70.00"
"B4_4","  0.00","  0.00","  0.00","  0.00"," 0.00","  5.882"," 23.53"," 29.41"," 32.353"," 8.824","  0.00","100.00"
"B4_6","  6.82","  4.55"," 11.36"," 15.91"," 4.55","  6.818"," 18.18"," 13.64"," 18.182"," 0.000"," 43.18"," 56.82"
"B4_7","  0.00","  0.00","  0.00","  0.00"," 0.00","  0.000","  0.00"," 25.00","  0.000","75.000","  0.00","100.00"
"B4_8","   NaN","   NaN","   NaN","   NaN","  NaN","    NaN","   NaN","   NaN","    NaN","   NaN","   NaN","   NaN"
"B4_9","  0.00"," 15.79"," 10.53","  0.00"," 0.00"," 21.053"," 31.58"," 15.79","  5.263"," 0.000"," 26.32"," 73.68"
"IL1_1","  4.76"," 13.10"," 25.00"," 20.24"," 5.95","  2.381"," 14.29","  4.76","  8.333"," 1.190"," 69.05"," 30.95"
"IL1_10","  0.00","  0.00","  0.00","  0.00"," 0.00","  0.000"," 16.67"," 66.67"," 16.667"," 0.000","  0.00","100.00"
"IL1_3","  0.00","  0.00","  0.00","  0.00"," 0.00","  0.000","  0.00","  0.00","100.000"," 0.000","  0.00","100.00"
"IL1_4","  8.99","  7.87"," 15.73"," 29.21"," 0.00","  0.000"," 17.98","  5.62"," 13.483"," 1.124"," 61.80"," 38.20"
"IL1_5","  0.00"," 10.00","  0.00","  5.00"," 0.00"," 10.000"," 20.00"," 30.00"," 20.000"," 5.000"," 15.00"," 85.00"
"IL1_8","  0.00","  0.00"," 11.76","  5.88","11.76","  5.882","  0.00"," 41.18"," 17.647"," 5.882"," 29.41"," 70.59"
"IL1_9","  0.00"," 35.90"," 15.38"," 28.21"," 2.56","  0.000","  7.69","  2.56","  7.692"," 0.000"," 82.05"," 17.95"
"IL2_1","  2.94"," 14.71"," 11.76"," 17.65"," 0.00","  2.941"," 17.65"," 11.76"," 20.588"," 0.000"," 47.06"," 52.94"
"IL2_10","  2.70","  4.05","  4.05","  2.70"," 2.70","  1.351"," 28.38"," 24.32"," 28.378"," 1.351"," 16.22"," 83.78"
"IL2_2","  0.00","  0.00","  0.00","  0.00"," 0.00","100.000","  0.00","  0.00","  0.000"," 0.000","  0.00","100.00"
"IL2_3","  1.72"," 20.69"," 12.07","  6.90"," 0.00","  1.724"," 27.59"," 10.34"," 17.241"," 1.724"," 41.38"," 58.62"
"IL2_4","  0.00","  0.00","  0.00","  0.00"," 0.00"," 16.667"," 16.67"," 25.00"," 41.667"," 0.000","  0.00","100.00"
"IL2_5","   NaN","   NaN","   NaN","   NaN","  NaN","    NaN","   NaN","   NaN","    NaN","   NaN","   NaN","   NaN"
"IL2_7","  2.20"," 18.68"," 13.19"," 20.88"," 7.69","  2.198","  9.89"," 10.99"," 12.088"," 2.198"," 62.64"," 37.36"
"IL2_8"," 13.79"," 10.34"," 17.24"," 20.69"," 0.00","  6.897"," 17.24","  3.45"," 10.345"," 0.000"," 62.07"," 37.93"
"IL2_9","  0.00","  0.00","  0.00","  0.00"," 0.00","  2.500"," 22.50"," 37.50"," 32.500"," 5.000","  0.00","100.00"
"IL3_1","  0.00","  0.00","  0.00","  2.94"," 0.00","  2.941"," 26.47"," 38.24"," 26.471"," 2.941","  2.94"," 97.06"
"IL3_10"," 13.33"," 13.33","  8.89"," 15.56"," 2.22","  2.222"," 11.11"," 17.78"," 11.111"," 4.444"," 53.33"," 46.67"
"IL3_2","  0.00"," 13.33"," 21.67"," 26.67"," 6.67","  3.333","  5.00","  8.33"," 13.333"," 1.667"," 68.33"," 31.67"
"IL3_3","  0.00","  0.00","  0.00","  0.00"," 0.00","  6.122"," 38.78"," 26.53"," 24.490"," 4.082","  0.00","100.00"
"IL3_4","  2.80"," 25.23"," 22.43"," 18.69"," 1.87","  0.935","  6.54"," 10.28","  9.346"," 1.869"," 71.03"," 28.97"
"IL3_6","  3.49"," 25.58"," 20.93"," 20.93"," 1.16","  2.326","  8.14","  4.65"," 12.791"," 0.000"," 72.09"," 27.91"
"IL3_7","  0.00","  9.09"," 15.15","  6.06"," 0.00","  0.000","  9.09"," 27.27"," 30.303"," 3.030"," 30.30"," 69.70"
"IL3_9","  6.52"," 13.04"," 13.04"," 23.91"," 3.26","  2.174"," 15.22","  8.70","  9.783"," 4.348"," 59.78"," 40.22"
"IL4_10","  0.00"," 24.49"," 22.45","  8.16"," 6.12","  2.041"," 18.37"," 10.20","  8.163"," 0.000"," 61.22"," 38.78"
"IL4_2","  0.00"," 13.04","  4.35","  0.00"," 0.00","  6.522"," 15.22"," 30.43"," 26.087"," 4.348"," 17.39"," 82.61"
"IL4_3","  0.00","  0.00","  0.00","  0.00"," 0.00","  0.000","  7.69"," 30.77"," 53.846"," 7.692","  0.00","100.00"
"IL4_4","  0.00"," 15.38","  0.00","  0.00"," 0.00","  7.692"," 23.08"," 30.77"," 15.385"," 7.692"," 15.38"," 84.62"
"IL4_5","  0.00","  4.17","  8.33"," 20.83"," 0.00","  8.333"," 29.17","  8.33"," 16.667"," 4.167"," 33.33"," 66.67"
"IL4_7","  0.00","  0.00","  0.00","  0.00"," 0.00","  5.000"," 28.33"," 36.67"," 21.667"," 8.333","  0.00","100.00"
"IL4_8","  0.00"," 18.99"," 24.05"," 43.04"," 0.00","  0.000","  0.00","  6.33","  6.329"," 1.266"," 86.08"," 13.92"
"IL4_9","  0.00","  4.44","  0.00","  0.00"," 0.00","  2.222"," 24.44"," 33.33"," 31.111"," 4.444","  4.44"," 95.56"
"M1_1","  0.00"," 33.33"," 33.33"," 11.11"," 0.00","  0.000"," 11.11"," 11.11","  0.000"," 0.000"," 77.78"," 22.22"
"M1_10","  0.00","  0.00","  0.00","  0.00"," 0.00","  0.000"," 77.78","  0.00"," 22.222"," 0.000","  0.00","100.00"
"M1_2","  4.76"," 27.38"," 15.48","  1.19"," 0.00","  2.381"," 13.10"," 15.48"," 19.048"," 1.190"," 48.81"," 51.19"
"M1_4","  0.00","  0.00","  6.67","  0.00"," 6.67","  0.000"," 13.33"," 40.00"," 20.000","13.333"," 13.33"," 86.67"
"M1_5","  0.00","  8.00","  4.00","  6.00"," 2.00","  0.000"," 28.00"," 28.00"," 20.000"," 4.000"," 20.00"," 80.00"
"M1_6","   NaN","   NaN","   NaN","   NaN","  NaN","    NaN","   NaN","   NaN","    NaN","   NaN","   NaN","   NaN"
"M1_7","  0.00","  0.00","  0.00","100.00"," 0.00","  0.000","  0.00","  0.00","  0.000"," 0.000","100.00","  0.00"
"M1_8","   NaN","   NaN","   NaN","   NaN","  NaN","    NaN","   NaN","   NaN","    NaN","   NaN","   NaN","   NaN"
"M2_1","  1.54","  9.23","  6.15","  6.15"," 0.00","  7.692"," 23.08"," 18.46"," 21.538"," 6.154"," 23.08"," 76.92"
"M2_10","100.00","  0.00","  0.00","  0.00"," 0.00","  0.000","  0.00","  0.00","  0.000"," 0.000","100.00","  0.00"
"M2_3","  0.00","  0.00","  0.00","  0.00"," 0.00","  9.231"," 38.46"," 32.31"," 16.923"," 3.077","  0.00","100.00"
"M2_5","   NaN","   NaN","   NaN","   NaN","  NaN","    NaN","   NaN","   NaN","    NaN","   NaN","   NaN","   NaN"
"M2_6","   NaN","   NaN","   NaN","   NaN","  NaN","    NaN","   NaN","   NaN","    NaN","   NaN","   NaN","   NaN"
"M2_7","   NaN","   NaN","   NaN","   NaN","  NaN","    NaN","   NaN","   NaN","    NaN","   NaN","   NaN","   NaN"
"M2_8","  0.00","  0.00","  0.00","  0.00"," 0.00","  0.000"," 25.00","  0.00"," 75.000"," 0.000","  0.00","100.00"
"M2_9","  0.00","  0.00","  0.00","  8.33"," 0.00","  0.000","  8.33"," 58.33"," 25.000"," 0.000","  8.33"," 91.67"
"M3_1","   NaN","   NaN","   NaN","   NaN","  NaN","    NaN","   NaN","   NaN","    NaN","   NaN","   NaN","   NaN"
"M3_2","  0.00","  8.11","  8.11","  2.70"," 4.05","  8.108"," 25.68"," 20.27"," 17.568"," 5.405"," 22.97"," 77.03"
"M3_3","  5.13"," 10.26","  2.56","  2.56"," 0.00","  0.000"," 10.26"," 56.41"," 10.256"," 2.564"," 20.51"," 79.49"
"M3_5","  0.00","  0.00","  0.00","  0.00"," 0.00","  0.000"," 30.95"," 36.90"," 27.381"," 4.762","  0.00","100.00"
"M3_7","  0.00","  0.00","  0.00"," 50.00"," 0.00","  0.000"," 25.00","  0.00"," 25.000"," 0.000"," 50.00"," 50.00"
"M3_8","  0.00","  0.00","  0.00","  0.00"," 0.00","  3.636"," 25.45"," 36.36"," 29.091"," 5.455","  0.00","100.00"
"M4_2","  0.00","  3.85"," 19.23","  3.85"," 0.00","  0.000"," 23.08"," 19.23"," 30.769"," 0.000"," 26.92"," 73.08"
"M4_3","  0.00","  0.00","  4.35","  6.52"," 0.00","  2.174"," 23.91"," 23.91"," 19.565","19.565"," 10.87"," 89.13"
"M4_4","  0.00","  0.00","  0.00","  0.00"," 0.00","  0.000","  0.00"," 50.00"," 50.000"," 0.000","  0.00","100.00"
"M4_5","   NaN","   NaN","   NaN","   NaN","  NaN","    NaN","   NaN","   NaN","    NaN","   NaN","   NaN","   NaN"
"M4_6","  3.03","  3.03","  1.52","  3.03"," 0.00","  3.030"," 18.18"," 24.24"," 34.848"," 9.091"," 10.61"," 89.39"
"M4_7","  0.00","  8.00"," 16.00","  0.00"," 0.00","  0.000","  4.00"," 36.00"," 28.000"," 8.000"," 24.00"," 76.00"
"M4_9","  4.20"," 44.76"," 18.88"," 13.29"," 9.09","  0.699","  6.29","  1.40","  0.699"," 0.699"," 90.21","  9.79"
