"","ACHY","ACHY/D","AF01","AMHI","AMID","AMSIN","AMUT","AMUT/DP","ARNO4","ARPU9","ARPU9/D","ARTR2","ARTR2/D","ARTR2/DP","ATCA2","ATCA2/D","ATCA2/DP","BAMU","BOGR","BOGR/D","BOGR2","BOGR2/D","BRTE","BRTE/D","CEIN7","CEIN7/D","CEMO2","CETE5","CHDE2","CHNAA3","CHVI/D","CHVI/DP","CHVI8","CHVI8/D","CHVI8/DP","CLLU2","CLLU2/D","CRAN4","CRFL5","DEPI","DEPI/D","ECCO5/D","ECCOC","ECCOC/D","ELEL","ELEL5","EPVI","ERAB3","ERCI6","ERMI4","FRAN2","GRFA","GUMI","GUSA","GUSA/D","GUSA/DP","GUSA2","GUSA2/D","HECO26","HECO26/D","HECO26/DP","HIJA","HYACA2","HYFI/D","JUOS","JUOS/D","JUOS/DP","KRLA2","KRLA2/D","KRLA2/DP","LAAC3","LAOC3","LEMO2","MAFR3","MAFR3/DP","MAGR2","OECA10","OENOT","OPPO","OPPO/D","OPPO/DP","PEPU7","PEPU9","PHAU3","PHAU3/D","PHAUA3","PIED","PIED/D","PIED/DP","PLPA2","PSSP","SALS0","SALS0/D","SHRO","SHRO/DP","SPCO","SPCO/D","SPCO4","SPCR","SPCR/D","STUPID","SYOR","SYOR2","SYOR2/D","UNKCLOVER","UNKF10","UNKF11","UNKF14","UNKF2A","UNKF9","UNKFG","UNKSPR","YUAN2/D","YUBA","YUBA/D","YUBA/DP"
"M2_8",0,0,0,0,24,0,0,0,0,0,0,0,0,0,9,0,0,0,29,3,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M2_9",0,0,0,0,0,5,0,0,0,0,0,0,5,0,10,0,0,0,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,19,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,52,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M3_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M3_2",5,0,0,0,0,0,0,0,0,0,0,3,26,1,3,0,0,0,94,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M3_3",21,0,0,0,0,0,0,0,0,0,0,0,1,2,6,4,0,0,85,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M3_5",0,0,0,0,0,0,0,0,0,0,0,0,18,0,2,2,0,0,128,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M3_7",0,0,0,0,0,9,0,0,0,0,0,0,1,2,0,0,0,0,16,6,0,0,12,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,14,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,0,0,4,0,0,1,0,0,38,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M3_8",7,0,0,0,0,0,0,0,0,0,0,0,26,0,9,0,0,0,81,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M4_2",14,0,0,0,0,0,0,0,0,0,0,5,0,0,6,1,1,0,70,1,0,0,0,0,0,0,0,0,0,0,0,0,16,3,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,41,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M4_3",8,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,127,6,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
