Plot,Line,SpeciesCode,ClassAtotal,ClassBtotal,ClassCtotal,ClassDtotal,ClassEtotal,ClassTotal,,Plot,Line,Indicator,Any Hit N
95,3,ARTR2/D,0,3,8,0,0,11,,95,1,ARTR2/D,0
B1_1,2,ARTR2/D,3,0,5,3,0,11,,95,2,ARTR2/D,0
B1_1,3,ARTR2/D,0,6,7,2,0,15,,95,3,ARTR2/D,0
B1_1,4,ARTR2/D,0,3,11,0,0,14,,B1_1,1,ARTR2/D,0
B1_10,2,ARTR2/D,0,2,4,0,0,6,,B1_1,2,ARTR2/D,2
B1_10,3,ARTR2/D,0,4,10,0,0,14,,B1_1,3,ARTR2/D,8
B1_10,4,ARTR2/D,0,5,9,0,0,14,,B1_1,4,ARTR2/D,1
B1_2,2,ARTR2/D,0,2,0,0,0,2,,B1_1,5,ARTR2/D,1
B1_2,3,ARTR2/D,0,0,0,0,0,0,,B1_10,1,ARTR2/D,4
B1_2,4,ARTR2/D,0,0,2,0,0,2,,B1_10,2,ARTR2/D,0
B1_3,2,ARTR2/D,0,0,0,0,0,0,,B1_10,3,ARTR2/D,1
B1_3,3,ARTR2/D,0,0,0,0,0,0,,B1_10,4,ARTR2/D,0
B1_3,4,ARTR2/D,0,0,0,0,0,0,,B1_10,5,ARTR2/D,2
B1_4,2,ARTR2/D,0,0,0,0,0,0,,B1_2,1,ARTR2/D,0
B1_4,3,ARTR2/D,0,0,0,0,0,0,,B1_2,2,ARTR2/D,0
B1_4,4,ARTR2/D,0,0,1,0,0,1,,B1_2,3,ARTR2/D,0
B1_5,2,ARTR2/D,0,1,2,0,0,3,,B1_2,4,ARTR2/D,0
B1_5,3,ARTR2/D,0,0,6,1,0,7,,B1_2,5,ARTR2/D,0
B1_5,4,ARTR2/D,0,3,1,0,0,4,,B1_3,1,ARTR2/D,0
B1_6,2,ARTR2/D,0,0,3,8,2,13,,B1_3,2,ARTR2/D,0
B1_6,3,ARTR2/D,0,4,9,0,0,13,,B1_3,3,ARTR2/D,0
B1_6,4,ARTR2/D,0,12,9,0,0,21,,B1_3,4,ARTR2/D,0
B1_7,2,ARTR2/D,0,2,14,5,0,21,,B1_3,5,ARTR2/D,0
B1_7,3,ARTR2/D,0,1,11,5,0,17,,B1_4,1,ARTR2/D,0
B1_7,4,ARTR2/D,0,0,6,6,0,12,,B1_4,2,ARTR2/D,0
B1_8,2,ARTR2/D,0,1,0,0,0,1,,B1_4,3,ARTR2/D,0
B1_8,3,ARTR2/D,0,0,0,0,0,0,,B1_4,4,ARTR2/D,0
B1_8,4,ARTR2/D,0,0,0,0,0,0,,B1_4,5,ARTR2/D,2
B1_9,2,ARTR2/D,0,5,10,0,0,15,,B1_5,1,ARTR2/D,1
B1_9,3,ARTR2/D,0,11,5,1,0,17,,B1_5,2,ARTR2/D,0
B1_9,4,ARTR2/D,0,2,15,3,0,20,,B1_5,3,ARTR2/D,1
B2_1,2,ARTR2/D,0,0,0,0,0,0,,B1_5,4,ARTR2/D,0
B2_1,3,ARTR2/D,0,0,0,0,0,0,,B1_5,5,ARTR2/D,0
B2_1,4,ARTR2/D,0,0,0,0,0,0,,B1_6,1,ARTR2/D,0
B2_10,2,ARTR2/D,0,7,7,0,0,14,,B1_6,2,ARTR2/D,0
B2_10,3,ARTR2/D,0,0,6,0,0,6,,B1_6,3,ARTR2/D,1
B2_10,4,ARTR2/D,0,1,9,0,0,10,,B1_6,4,ARTR2/D,2
B2_2,2,ARTR2/D,0,13,20,1,0,34,,B1_6,5,ARTR2/D,0
B2_2,3,ARTR2/D,0,8,17,3,0,28,,B1_7,1,ARTR2/D,4
