"","AMUT","AMUT/D","ARBI3","ARBI3/D","ARFR4","ARNO4","ARNO4/D","ARTR2","ARTR2/D","ATCA2","ATCA2/D","ATCO","ATCO/D","BRMI","CEIN7","CEMO2","CEMO2/D","CHNAA3","CHNAA3/D","CHVI8","CHVI8/D","CRAN4","EPVI","EPVI/D","FRAN2","GUMI","GUSA2","GUSA2/D","JUOS","JUOS/D","KRLA2","KRLA2/D","MAFR3","MAFR3/D","PIED","PIED/D","SAVE4","SHRO","SHRO/D","SYOR","SYOR/D","YUAN2","YUAN2/D","YUBA","YUBA/D"
"IL4_10",0,0,0,0,0,0,0,1.5e-05,1e-05,2.77777777777778e-06,0,0,0,0,0,0,0,0,0,2.77777777777778e-06,0,0,5.55555555555556e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL4_2",0,0,0,0,0,0,0,4.44444444444444e-06,1.83333333333333e-05,6.66666666666667e-06,2.77777777777778e-06,0,0,0,0,0,0,5.55555555555556e-07,0,0,0,0,1.66666666666667e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL4_3",0,0,0,0,0,0,0,0,6.66666666666667e-06,5.55555555555555e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05555555555556e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL4_4",0,0,0,0,0,0,0,1.11111111111111e-06,5e-06,1.11111111111111e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.55555555555556e-07,0,0,0,0,0,0,0,0,0,0
"IL4_5",0,0,0,0,0,0,0,4.44444444444444e-06,7.22222222222222e-06,3.33333333333333e-06,0,0,0,0,0,0,0,0,0,9.44444444444444e-06,0,0,0,0,0,0,0,0,0,0,3.61111111111111e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL4_7",0,0,0,0,0,0,0,0,2.88888888888889e-05,9.44444444444444e-06,5.55555555555556e-07,0,0,0,0,0,0,0,0,5.55555555555556e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL4_8",0,0,0,0,0,0,0,3.77777777777778e-05,5.55555555555555e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88888888888889e-06,5.55555555555556e-07,0,0,0,0,0,1.11111111111111e-06,2.22222222222222e-06,0,0
"IL4_9",0,0,0,0,0,0,0,1.11111111111111e-06,2.22222222222222e-05,1.11111111111111e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.55555555555556e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1_1",0,0,0,0,0,0,0,3.88888888888889e-06,0,6.66666666666667e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.83333333333333e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1_10",0,0,0,0,0,0,0,0,5e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88888888888889e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1_2",0,0,0,0,0,0,0,2.05555555555556e-05,2.22222222222222e-05,2.22222222222222e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.38888888888889e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1_4",0,0,0,0,0,0,0,5.55555555555556e-07,6.11111111111111e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.05555555555556e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1_5",0,0,0,0,0,0,0,5e-06,2.11111111111111e-05,8.33333333333333e-06,0,0,0,0,0,0,0,0,0,5.55555555555556e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1_6",0,0,0,0,0,0,0,0,0,1.11111111111111e-05,1.66666666666667e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83333333333333e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1_7",0,0,0,0,0,0,0,5.55555555555556e-07,0,2.94444444444444e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1_8",0,0,0,0,0,0,0,0,0,3.77777777777778e-05,5.55555555555556e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M2_1",0,0,0,0,0,0,0,7.77777777777778e-06,2.27777777777778e-05,2.22222222222222e-06,5.55555555555556e-07,0,0,0,0,0,0,0,0,7.22222222222222e-06,0,0,0,0,0,0,0,0,0,0,5.55555555555556e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M2_10",0,0,0,0,0,0,0,0,0,1.27777777777778e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66666666666667e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M2_3",0,0,0,0,0,0,0,0,3.16666666666667e-05,2.77777777777778e-06,5.55555555555556e-07,0,0,0,0,0,0,0,0,5.55555555555556e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M2_5",0,0,0,0,0,0,0,0,0,2.77777777777778e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27777777777778e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M2_6",0,0,0,0,0,0,0,0,0,0.000103333333333333,2.22222222222222e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M2_7",0,0,0,0,0,0,0,0,0,4.44444444444444e-05,3.88888888888889e-06,0,0,0,0,0,0,0,0,5.55555555555556e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M2_8",0,0,0,0,0,0,0,0,2.22222222222222e-06,2.22222222222222e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M2_9",0,0,0,0,0,0,0,5.55555555555556e-07,6.11111111111111e-06,3.33333333333333e-06,5.55555555555556e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.44444444444444e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M3_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.16666666666667e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M3_2",0,0,0,0,0,0,0,7.77777777777778e-06,2.61111111111111e-05,1.11111111111111e-06,0,0,0,0,0,0,0,0,0,1.38888888888889e-05,5.55555555555556e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M3_3",0,0,0,0,0,0,0,3.33333333333333e-06,1.66666666666667e-05,1.11111111111111e-06,1.11111111111111e-06,0,0,0,0,0,0,5.55555555555556e-07,0,3.33333333333333e-05,0,0,0,0,0,0,0,0,0,0,3.33333333333333e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M3_5",0,0,0,0,0,0,0,0,4.44444444444444e-05,0,0,0,0,0,0,0,0,0,0,5.55555555555556e-07,5.55555555555556e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M3_7",0,0,0,0,0,0,0,1.11111111111111e-06,5.55555555555556e-07,0,0,0,0,0,0,0,0,1.11111111111111e-06,0,0,0,0,0,0,0,0,0,0,0,0,1.27777777777778e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M3_8",0,0,0,0,0,0,0,0,2.77777777777778e-05,1.11111111111111e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M4_2",0,0,0,0,0,0,0,3.88888888888889e-06,1.05555555555556e-05,2.22222222222222e-06,5.55555555555556e-07,0,0,0,0,0,0,0,0,3.61111111111111e-05,5.55555555555556e-07,0,1.66666666666667e-06,0,0,0,0,0,0,0,1.05555555555556e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M4_3",0,0,0,0,0,0,0,2.77777777777778e-06,1.72222222222222e-05,3.88888888888889e-06,0,0,0,0,0,0,0,0,0,5e-06,0,0,5.55555555555556e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M4_4",0,0,0,0,0,0,0,0,1.11111111111111e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.66666666666667e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M4_5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M4_6",0,0,0,0,0,0,0,2.77777777777778e-06,2.83333333333333e-05,1.27777777777778e-05,0,0,0,0,0,0,0,0,0,2.77777777777778e-06,0,0,0,0,0,0,0,0,0,0,8.88888888888889e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M4_7",0,0,0,0,0,0,0,3.33333333333333e-06,8.88888888888889e-06,0,0,0,0,0,0,0,0,0,0,9.61111111111111e-05,2.77777777777778e-06,0,8.88888888888889e-06,0,0,0,0,0,0,0,5.55555555555556e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M4_9",0,0,0,0,0,0,0,6.11111111111111e-05,6.66666666666667e-06,5.55555555555555e-06,5.55555555555556e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
