"","ACHY","AMID","ARPU9","ARTR2","ARTR2.D","ATCA2","ATCA2.D","Bare.Soil","BOGR2","BOGR2.D","BRTE","CHLE4","CHVI8","CHVI8.D","ECCOC","ELEL5","EPVI","ERCI6","GRFA","GUSA2","GUSA2.D","HECO26","HECO26.D","JUOS","KRLA2","LEMO2","OPPO","OPPO.D","PEPU7","PHAU3","PIED","PIED.D","PLPA2","SALSO","SPCR","SPCR.D","Total.Foliar","CLLU2","LAOC3","SALSO.D","SPCO","HIJA"
"B1_10",0,0,0,0.0333333333333333,0.0777777777777778,0,0,0.377777777777778,1.6,0.0888888888888889,0,0,0,0,0,0,0,0,0,0.1,0,0.277777777777778,0,0,0.0222222222222222,0,0,0,0,0,0,0,0,0,0.0222222222222222,0.0111111111111111,2.07777777777778,0,0,0,0,0
"B1_2",0,0,0,0,0,0.2,0,0.388888888888889,0.277777777777778,0,0.0222222222222222,0,0,0,0,0,0,0.0222222222222222,0,0.0444444444444444,0,0.222222222222222,0,0,0.0222222222222222,0,0.0444444444444444,0,0.0111111111111111,0,0,0,0,0.0111111111111111,1.23333333333333,0,1.95555555555556,0,0,0,0,0
"B1_3",0.0222222222222222,0,0.1,0,0,0.0666666666666667,0,0.688888888888889,0.244444444444444,0.0555555555555556,0.0222222222222222,0,0,0,0,0,0,0,0,0,0,0.0222222222222222,0,0,0.0222222222222222,0,0.244444444444444,0,0,0,0,0,0,0.0111111111111111,1.21111111111111,0,1.9,0,0,0.0111111111111111,0,0
"B1_4",0,0,0,0,0.0222222222222222,0.0555555555555556,0,0.433333333333333,0.255555555555556,0.0555555555555556,0.1,0.0111111111111111,0,0,0,0,0,0.0111111111111111,0,0,0,0,0,0,0.0333333333333333,0,0.0333333333333333,0,0,0,0,0,0,0,1.26666666666667,0.0111111111111111,1.76666666666667,0,0.111111111111111,0,0,0
"B1_5",0,0,0,0,0.0222222222222222,0.155555555555556,0,0.622222222222222,0.777777777777778,0.0222222222222222,0.0222222222222222,0,0,0,0,0,0,0,0,0,0.0111111111111111,0.188888888888889,0.0222222222222222,0,0,0,0,0,0,0,0,0,0,0,0.555555555555556,0.0222222222222222,1.67777777777778,0,0,0,0,0
"B1_6",0,0,0,0,0.0333333333333333,0.144444444444444,0,0.333333333333333,0.922222222222222,0.0555555555555556,0.0555555555555556,0.0111111111111111,0.0222222222222222,0,0,0.0111111111111111,0,0,0,0.0222222222222222,0,0.133333333333333,0,0,0,0,0.0111111111111111,0,0,0,0,0,0,0,0.911111111111111,0.0111111111111111,2.16666666666667,0,0,0,0,0
"B1_7",0.0555555555555556,0,0,0.288888888888889,0.133333333333333,0.0333333333333333,0,0.344444444444444,0.744444444444444,0.0444444444444444,0.0111111111111111,0.0222222222222222,0.0333333333333333,0,0,0,0,0,0.0222222222222222,0,0,0.1,0,0,0,0,0.0333333333333333,0,0,0,0,0,0.0111111111111111,0,0.777777777777778,0,2.18888888888889,0,0.0666666666666667,0,0,0
"B1_8",0,0.0111111111111111,0,0,0,0.0222222222222222,0,0.488888888888889,0.0111111111111111,0,0.0222222222222222,0,0,0,0,0.0111111111111111,0,0.0111111111111111,0,0,0,0,0,0,0.0111111111111111,0,0.0333333333333333,0,0,0,0,0,0.122222222222222,0,1.44444444444444,0,1.72222222222222,0.0111111111111111,0.177777777777778,0,0,0
"B1_9",0,0,0,0,0.0777777777777778,0,0,0.433333333333333,0.533333333333333,0.0222222222222222,0,0,0,0,0,0,0,0,0,0.0222222222222222,0,0.355555555555556,0,0,0,0,0.0111111111111111,0,0,0,0,0,0,0,1.18888888888889,0.0222222222222222,2.1,0,0,0,0,0
"B2_1",0,0.0444444444444444,0.0111111111111111,0,0,0,0,0.744444444444444,0.755555555555556,0.0444444444444444,0.0111111111111111,0,0,0,0,0,0,0,0,0,0,0.0777777777777778,0,0,0.111111111111111,0,0.166666666666667,0,0,0,0,0,0.0111111111111111,0,0.677777777777778,0,1.9,0.0111111111111111,0.0888888888888889,0,0,0
