"","ACHY","AMID","ARPU9","ARTR2","ARTR2.D","ATCA2","ATCA2.D","Bare.Soil","BOGR2","BOGR2.D","BRTE","CHLE4","CHVI8","CLLU2","ECCOC","ELEL5","EPVI","ERCI6","GRFA","GUSA2","GUSA2.D","HECO26","HECO26.D","JUOS","KRLA2","LAOC3","LEMO2","OPPO","OPPO.D","PEPU7","PIED","PLPA2","SALSO","SALSO.D","SPCO","SPCR","SPCR.D","Total.Foliar","CHVI8.D","HIJA"
"IL2_8",0,0,1,9,4,6,0,43,19,1,2,0,0,0,1,0,0,7,0,8,2,7,0,0,0,2,0,3,0,0,0,0,0,0,0,88,0,151,0,0
"IL2_9",2,0,1,0,8,9,0,49,50,1,0,0,0,0,0,0,2,0,0,3,0,28,0,0,0,0,0,5,2,0,6,1,0,0,0,52,1,159,0,0
"IL3_1",0,0,0,0,6,3,0,50,55,1,0,0,0,0,0,0,0,0,0,13,1,28,0,0,1,0,0,0,0,0,0,0,0,0,0,69,0,169,0,0
"IL3_10",3,0,0,16,8,4,0,59,69,2,0,0,6,1,0,0,1,0,0,0,0,9,1,0,1,0,0,13,0,0,0,0,0,0,3,43,2,166,0,0
"IL3_2",0,0,0,11,5,11,1,49,86,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,31,1,159,0,0
"IL3_3",0,0,0,0,13,1,0,24,63,0,0,0,1,0,0,0,3,0,0,1,3,111,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,179,0,0
"IL3_4",0,0,0,23,6,1,0,58,74,6,1,0,7,0,0,1,0,0,1,0,0,31,1,0,0,0,0,1,0,0,0,0,0,0,0,18,1,171,0,0
"IL3_6",0,0,0,14,6,0,0,70,75,2,0,0,0,0,0,0,0,2,0,0,0,7,0,0,2,0,0,1,0,0,0,0,0,0,0,38,0,141,0,0
"IL3_7",0,1,0,4,5,5,0,44,101,0,9,0,1,0,0,0,0,0,1,5,1,43,0,0,1,1,0,1,0,0,0,0,0,0,0,23,0,181,0,0
"IL3_9",1,0,1,22,13,0,0,57,53,8,1,0,0,0,0,0,1,0,0,6,3,70,0,0,0,0,0,3,0,0,0,0,0,0,0,9,1,164,1,0
"IL4_10",4,0,0,17,4,5,1,43,73,2,0,0,3,0,0,0,0,0,0,0,0,35,0,0,0,1,0,5,0,0,0,0,0,0,0,32,0,170,0,0
"IL4_2",1,0,0,1,7,13,2,41,44,5,3,0,0,0,0,0,0,0,0,1,2,12,0,0,0,1,0,1,0,0,9,0,0,0,0,85,2,170,0,0
"IL4_3",0,0,0,0,3,2,0,45,70,3,0,0,0,0,0,0,0,0,0,3,0,84,0,0,1,0,0,5,0,0,0,0,0,0,0,11,0,164,0,0
"IL4_4",0,0,0,0,5,2,0,35,55,9,0,0,0,0,2,0,1,0,0,7,5,28,0,0,0,0,0,1,1,0,10,0,0,0,0,7,0,127,0,0
"IL4_5",2,0,0,1,4,4,0,34,73,5,0,0,3,0,0,0,0,0,0,6,1,73,0,0,0,0,0,1,0,0,0,0,0,0,0,18,0,177,0,0
"IL4_7",5,0,0,0,17,7,0,59,83,4,0,0,1,0,0,0,0,0,0,5,2,43,2,0,0,0,1,0,0,0,0,0,0,0,0,7,0,180,1,21
"IL4_8",0,0,0,2,1,0,0,33,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,26,0,0,1,0,0,1,34,0,0,0,0,0,0,80,0,0
"IL4_9",3,0,0,1,8,4,0,22,56,2,0,0,0,0,0,0,0,0,0,3,0,108,0,0,0,0,1,1,0,0,0,0,0,0,0,24,0,195,0,0
"M1_1",0,5,0,0,2,21,0,47,2,0,7,0,0,0,0,0,0,2,2,0,0,0,0,0,5,19,0,0,0,0,0,4,0,0,0,65,13,132,0,0
"M1_10",0,2,0,0,0,0,0,27,0,0,4,1,0,0,0,1,0,7,2,0,0,0,0,0,0,13,0,14,0,0,0,3,0,0,0,132,0,170,0,0
"M1_2",3,2,0,7,11,0,0,42,6,2,0,0,2,0,0,0,0,4,2,0,0,18,0,0,11,28,0,1,0,0,0,2,0,0,0,59,12,155,0,0
"M1_4",0,14,0,1,4,0,0,42,11,6,1,0,0,2,0,0,0,0,3,0,0,0,0,0,2,32,0,6,0,0,0,3,0,0,0,52,23,149,0,0
"M1_5",3,1,0,3,16,5,0,43,67,5,2,1,0,0,0,0,0,0,2,0,0,13,0,0,0,0,0,2,0,0,0,0,0,0,0,79,0,184,0,0
"M1_6",0,6,0,0,0,25,2,62,45,2,5,0,0,0,0,0,0,0,3,0,0,0,0,0,1,11,0,10,0,0,0,2,0,0,0,54,9,158,0,0
"M1_7",0,3,0,0,0,37,0,31,0,0,56,0,0,0,0,0,0,7,1,0,0,0,0,0,0,10,0,6,0,0,0,3,1,0,0,76,0,152,0,0
"M1_8",0,0,0,0,0,12,4,68,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,24,1,0,87,2,127,0,0
"M2_1",6,0,1,3,16,2,0,51,107,4,1,0,5,0,0,0,0,0,0,4,0,26,2,0,0,0,0,1,0,0,0,0,0,0,0,33,0,186,0,0
"M2_10",0,12,0,1,0,19,0,65,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,5,4,0,0,71,0,109,0,0
"M2_3",1,0,0,0,20,4,2,29,111,6,0,0,0,0,0,0,0,0,0,5,1,57,1,0,0,0,0,6,0,0,0,0,0,0,0,23,0,209,0,0
"M2_5",0,8,0,0,0,11,0,52,78,6,1,0,0,5,0,0,0,0,4,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,31,2,139,0,0
"M2_6",0,1,0,0,0,32,5,68,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,75,0,112,0,0
"M2_7",0,0,0,0,0,14,0,55,5,0,15,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,12,0,0,0,0,30,2,0,78,0,144,0,0
"M2_8",0,24,0,0,0,9,0,49,29,3,2,0,0,0,0,1,0,0,2,0,0,0,0,0,3,11,0,3,0,0,0,9,0,0,0,102,1,180,0,0
"M2_9",0,5,0,0,5,10,0,39,22,3,0,0,0,0,0,0,0,2,5,0,0,0,1,0,1,19,0,7,0,0,0,7,0,0,0,52,12,142,0,0
"M3_1",0,0,0,0,0,0,0,53,101,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,12,0,0,0,0,0,0,0,55,2,181,0,0
