"","L.D.DenM2","L.DenM2","L.PropIndM2","L.RelCov","L.D.RelCov","L.D.PropCov","PG.RelCov"
"B3_8",0.0666666666666666,0.0333333333333333,0.5,25,50,0.5,0.766839377
"B3_9",0,0,NA,NA,NA,NA,0.839285714
"B4_1",0.177777777777777,0.0333333333333333,0.1875,12.5,66.6666666666667,0.1875,0.894736843
"B4_10",0.233333333333333,0,0,0,76.3636363636364,0,0.619402985
"B4_2",0.105555555555556,0.05,0.473684210526316,25.7142857142857,54.2857142857143,0.473684210526316,0.79245283
"B4_3",0.305555555555556,0.1,0.327272727272727,26.865671641791,82.089552238806,0.327272727272727,0.788732395
"B4_4",0.161111111111111,0,0,0,85.2941176470588,0,0.913934426
"B4_6",0.188888888888889,0.0666666666666667,0.352941176470588,28.5714285714286,80.9523809523809,0.352941176470588,0.883977901
"B4_7",0.00555555555555556,0,0,0,7.69230769230769,0,0.718562874
"B4_8",0,0,NA,0,0,NA,0.804733728
"B4_9",0.0833333333333334,0.0277777777777778,0.333333333333333,16.1290322580645,48.3870967741936,0.333333333333333,0.622093023
"IL1_1",0.4,0.272222222222222,0.680555555555556,64.4736842105263,94.7368421052632,0.680555555555556,0.601156069
"IL1_10",0.0333333333333333,0,0,0,6.52173913043478,0,0
"IL1_3",0,0,NA,0,0,NA,0.229050279
"IL1_4",0.444444444444444,0.261111111111111,0.5875,29.1925465838509,49.6894409937888,0.5875,0.085106384
"IL1_5",0.0944444444444445,0.0166666666666667,0.176470588235294,12.5,70.8333333333333,0.176470588235294,0.450495049
"IL1_8",0.0722222222222223,0.0166666666666667,0.230769230769231,21.4285714285714,92.8571428571429,0.230769230769231,0
"IL1_9",0.205555555555555,0.172222222222222,0.837837837837838,70.4545454545455,84.0909090909091,0.837837837837838,0.009009009
"IL2_1",0.177777777777778,0.0833333333333333,0.46875,32.6086956521739,69.5652173913043,0.46875,0
"IL2_10",0.377777777777777,0.0444444444444444,0.117647058823529,6.01503759398496,51.1278195488722,0.117647058823529,0.368159203
"IL2_2",0,0,NA,0,0,NA,0
"IL2_3",0.305555555555556,0.127777777777778,0.418181818181818,39.6551724137931,94.8275862068966,0.418181818181818,0.009615385
"IL2_4",0.0555555555555556,0,0,0,62.5,0,0.378378378
"IL2_5",0,0,NA,0,0,NA,0.33519553
"IL2_7",0.433333333333334,0.266666666666667,0.615384615384615,38.4,62.4,0.615384615384615,0.48502994
"IL2_8",0.127777777777778,0.0777777777777778,0.608695652173913,35,57.5,0.608695652173913,0.395833333
"IL2_9",0.205555555555556,0,0,0,24.025974025974,0,0.414285714
"IL3_1",0.177777777777778,0.00555555555555556,0.03125,2.63157894736842,84.2105263157895,0.03125,0.463636364
"IL3_10",0.194444444444444,0.0944444444444444,0.485714285714286,27.8688524590164,57.3770491803279,0.485714285714286,0.022222222
"IL3_2",0.294444444444445,0.205555555555556,0.69811320754717,67.2727272727273,96.3636363636364,0.69811320754717,0.397058824
"IL3_3",0.244444444444444,0,0,0,57.1428571428571,0,0.094488189
"IL3_4",0.55,0.394444444444444,0.717171717171717,66.3551401869159,92.5233644859813,0.717171717171717,0.451456312
"IL3_6",0.444444444444444,0.322222222222222,0.725,66.6666666666667,91.9540229885057,0.725,0.406542055
"IL3_7",0.177777777777778,0.0555555555555556,0.3125,22.2222222222222,71.1111111111111,0.3125,0.391061452
"IL3_9",0.427777777777778,0.255555555555556,0.597402597402597,58.974358974359,98.7179487179487,0.597402597402597,0.257641921
"IL4_10",0.25,0.15,0.6,48.2142857142857,80.3571428571429,0.6,0.366666667
"IL4_2",0.227777777777777,0.0444444444444444,0.195121951219512,12.9032258064516,66.1290322580645,0.195121951219512,0.391304348
"IL4_3",0.0666666666666667,0,0,0,12.6315789473684,0,0.132275132
"IL4_4",0.0611111111111111,0.0111111111111111,0.181818181818182,14.2857142857143,78.5714285714286,0.181818181818182,0.06741573
"IL4_5",0.116666666666667,0.0444444444444444,0.380952380952381,7.3394495412844,19.2660550458716,0.380952380952381,0.374331552
"IL4_7",0.288888888888889,0,0,0,73.2394366197183,0,0
"IL4_8",0.433333333333334,0.377777777777778,0.871794871794872,73.9130434782609,84.7826086956522,0.871794871794872,0.153333334
"IL4_9",0.233333333333333,0.0111111111111111,0.0476190476190476,4.44444444444444,93.3333333333333,0.0476190476190476,0.245283019
"M1_1",0.0388888888888889,0.0388888888888889,1,5.64516129032258,5.64516129032258,1,0.378109454
"M1_10",0.05,0,0,0,56.25,0,0.457142857
"M1_2",0.427777777777778,0.205555555555556,0.480519480519481,17.2897196261682,35.981308411215,0.480519480519481,0.358490566
"M1_4",0.0666666666666667,0.00555555555555556,0.0833333333333333,0.636942675159236,7.64331210191083,0.0833333333333333,0.347826087
"M1_5",0.261111111111111,0.05,0.191489361702128,14.2857142857143,74.6031746031746,0.191489361702128,0.176470589
"M1_6",0,0,NA,0,0,NA,0
"M1_7",0.00555555555555556,0.00555555555555556,1,1.85185185185185,1.85185185185185,1,0.455813954
"M1_8",0,0,NA,0,0,NA,0.143939395
"M2_1",0.305555555555556,0.0777777777777778,0.254545454545455,18.9189189189189,74.3243243243243,0.254545454545455,0
"M2_10",0,0,NA,0,0,NA,0.392241379
"M2_3",0.316666666666667,0,0,0,89.0625,0,0.396551723
"M2_5",0,0,NA,0,0,NA,0.063414634
"M2_6",0,0,NA,0,0,NA,0.41509434
"M2_7",0,0,NA,0,0,NA,0.457142858
"M2_8",0.0222222222222222,0,0,0,15.3846153846154,0,0.30927835
"M2_9",0.0666666666666667,0.00555555555555556,0.0833333333333333,1.01010101010101,12.1212121212121,0.0833333333333333,0.393665159
"M3_1",0,0,NA,0,0,NA,0.205882353
"M3_2",0.338888888888889,0.0777777777777778,0.229508196721311,15.7303370786517,68.5393258426966,0.229508196721311,0.493562231
"M3_3",0.2,0.0333333333333333,0.166666666666667,5.60747663551402,33.6448598130841,0.166666666666667,0.455882354
"M3_5",0.444444444444444,0,0,0,97.5609756097561,0,0.505050505
"M3_7",0.0166666666666667,0.0111111111111111,0.666666666666667,7.14285714285714,10.7142857142857,0.666666666666667,0.46551724
"M3_8",0.277777777777778,0,0,0,71.4285714285714,0,0.036363636
"M4_2",0.144444444444445,0.0388888888888889,0.269230769230769,5.88235294117647,21.8487394957983,0.269230769230769,0.025862069
"M4_3",0.2,0.0277777777777778,0.138888888888889,9.43396226415094,67.9245283018868,0.138888888888889,0.431718062
"M4_4",0.0111111111111111,0,0,0,2.32558139534884,0,0.190217392
"M4_5",0,0,NA,0,0,NA,0.397515527
"M4_6",0.311111111111111,0.0277777777777778,0.0892857142857143,5,56,0.0892857142857143,0.05479452
"M4_7",0.122222222222222,0.0333333333333333,0.272727272727273,2.76497695852535,10.1382488479263,0.272727272727273,0.193548387
"M4_9",0.677777777777778,0.611111111111111,0.901639344262295,82.7067669172932,91.7293233082707,0.901639344262295,0.458333333
