"","L.DenM2.S","D.DenM2.S","L.D.DenM2.S","L.RelCov.S","D.RelCov.S","L.D.RelCov.S","L.RelCov.LPI","D.RelCov.LPI","L.D.RelCov.LPI","L.PropIndM2.S","L.PropCov.LPI","PG.RelCov.LPI"
"IL2_1",0.0833333333333333,0.0944444444444444,0.177777777777778,32.6086956521739,36.9565217391304,69.5652173913043,0,0,0,0.46875,NA,0
"IL2_10",0.0444444444444444,0.333333333333333,0.377777777777777,6.01503759398496,45.1127819548872,51.1278195488722,0,0,0,0.117647058823529,NA,0.368159203
"IL2_2",0,0,0,0,0,0,0,0,0,NA,NA,0
"IL2_3",0.127777777777778,0.177777777777778,0.305555555555556,39.6551724137931,55.1724137931034,94.8275862068966,0,0,0,0.418181818181818,NA,0.009615385
"IL2_4",0,0.0555555555555556,0.0555555555555556,0,62.5,62.5,22.2222222429854,3.03030299066422,25.2525252336496,0,0.88000000148,0.378378378
"IL2_5",0,0,0,0,0,0,0,0,0,NA,NA,0.33519553
"IL2_7",0.266666666666667,0.166666666666667,0.433333333333334,38.4,24,62.4,0,2.29885059236359,2.29885059236359,0.615384615384615,0,0.48502994
"IL2_8",0.0777777777777778,0.05,0.127777777777778,35,22.5,57.5,0,0,0,0.608695652173913,NA,0.395833333
"IL2_9",0,0.205555555555556,0.205555555555556,0,24.025974025974,24.025974025974,8.45070427256497,4.22535203769093,12.6760563102559,0,0.666666671851852,0.414285714
"IL3_1",0.00555555555555556,0.172222222222222,0.177777777777778,2.63157894736842,81.5789473684211,84.2105263157895,0,0.840336215239037,0.840336215239037,0.03125,0,0.463636364
"IL3_10",0.0944444444444444,0.1,0.194444444444444,27.8688524590164,29.5081967213115,57.3770491803279,1.58730150226757,0,1.58730150226757,0.485714285714286,1,0.022222222
"IL3_2",0.205555555555556,0.0888888888888889,0.294444444444445,67.2727272727273,29.0909090909091,96.3636363636364,3.77358487297971,0,3.77358487297971,0.69811320754717,1,0.397058824
"IL3_3",0,0.244444444444444,0.244444444444444,0,57.1428571428571,57.1428571428571,0,0,0,0,NA,0.094488189
"IL3_4",0.394444444444444,0.155555555555556,0.55,66.3551401869159,26.1682242990654,92.5233644859813,1.83486240265971,2.75229360398956,4.58715600664927,0.717171717171717,0.4,0.451456312
"IL3_6",0.322222222222222,0.122222222222222,0.444444444444444,66.6666666666667,25.2873563218391,91.9540229885057,3.60360365049915,5.40540537935232,9.00900902985147,0.725,0.40000000428,0.406542055
"IL3_7",0.0555555555555556,0.122222222222222,0.177777777777778,22.2222222222222,48.8888888888889,71.1111111111111,11.5789473961884,0,11.5789473961884,0.3125,1,0.391061452
