id,Elevation,Aspect,Slope,SlopeShape,CarbonateStage,BioticCrustClass,PedonDepth,Depth200,H1.DryRed,H1.DryValue,H1.DryCClass,H1.MoistRed,H1.MoistValue,H1.MoistCClass,H1.Texture,H1.SandPercent,H1.SandSize,H1.ClayPercent,H1.pH,H1.EfferScale,H1.Depth,H1.DryHue,H1.MoistHue,H1.DryChroma,H1.MoistChroma,H1.Effervescence,Tot.DryRed,Tot.DryHue,Tot.DryValue,Tot.DryCClass,Tot.DryChroma,Tot.MoistRed,Tot.MoistHue,Tot.MoistValue,Tot.MoistCClass,Tot.MoistChroma,Tot.Texture,Tot.SandSize,Tot.Effervescence,Tot.EfferScale,Sub.DryRed,Sub.DryHue,Sub.DryValue,Sub.DryCClass,Sub.DryChroma,Sub.MoistRed,Sub.MoistHue,Sub.MoistValue,Sub.MoistCClass,Sub.MoistChroma,Sub.Texture,Sub.SandSize,Sub.Effervescence,Sub.EfferScale,AWC.0.25,AWC.0.50,AWC.0.100,AWC.0.150,AWC.0.200,AWC.25.50,AWC.50.100,AWC.100.150,AWC.150.200,DWAClay,DWASand,DWApH,SubDWAClay,SubDWASand,SubDWApH,SubAWC
28,1943.176025,196,1,VV,1,1,83,0,3,6,2,3,4,2,LS,85,VF,5,8.2,4,9,5YR,5YR,4,4,VE,3,5YR,7,2,3,3,5YR,5,2,4,S,M,SL,2,3,5YR,7,2,3,3,5YR,5,2,4,S,M,SL,2,1.022057043,0.585740059,0.401981458,0.401981458,0.401981458,0.149423075,0.123559336,.,.,3.590361446,93.91566265,8.162650602,3.418918919,95,8.158108108,0.141617352
29,2058.533203,330,3,CC,1,2,163,0,1,6,2,1,4,2,LS,80,F,7,8.2,3,7,10YR,10YR,4,3,ST,1,10YR,7,2,3,1,10YR,4,3,6,LS,VF,VE,4,1,10YR,7,2,3,1,10YR,4,3,6,LS,VF,VE,4,2.195888052,3.148080987,4.535945729,4.99856731,5.072359709,4.100273922,5.923810471,5.923810471,5.923810471,7.460122699,81.65644172,8.262576687,7.480769231,81.73076923,8.265384615,5.047110207
3,1972.015381,180,6,VV,2,3,168,0,3,6,3,3,5,2,SL,80,VF,10,8.1,3,9,5YR,5YR,6,4,ST,3,5YR,6,3,6,3,5YR,5,3,6,LS,F,VE,4,3,5YR,6,3,6,3,5YR,5,3,6,LS,F,VE,4,3.807559353,3.263556003,2.997766156,2.922548966,2.912574611,2.719552652,2.731976309,2.772114586,2.829454983,5.803571429,84.73214286,8.273214286,5.566037736,85,8.283018868,2.70819273
30,2018.158203,231,6,LV,0,1,134,0,2,6,2,2,4,2,S,90,VF,4,8,2,10,7.5YR,7.5YR,4,4,SL,2,7.5YR,6,2,4,2,7.5YR,4,2,4,S,F,VE,4,2,7.5YR,6,2,4,2,7.5YR,4,2,4,S,F,VE,4,0.798429036,0.828430101,0.813198567,0.754940741,0.754940741,0.858431167,0.797967033,0.583594193,.,4.253731343,90,8.479104478,4.274193548,90,8.517741935,0.758691943
31,1857.619141,35,5,LL,1,3,20,0,3,5,3,3,4,3,SL,75,F,8,8.2,4,8,5YR,5YR,6,6,VE,3,5YR,5,3,6,3,5YR,4,3,6,SL,F,VE,4,3,5YR,5,3,6,3,5YR,4,3,6,SL,F,VE,4,6.729907995,6.729907995,6.729907995,6.729907995,6.729907995,.,.,.,.,8,78,8.2,8,80,8.2,5.923810471
32,1965.045654,319,3,CL,0,1,114,0,2,5,3,2,3,2,SL,75,VF,8,8,2,7,7.5YR,7.5YR,6,4,SL,2,7.5YR,7,2,4,2,7.5YR,5,3,6,S,F,VE,4,2,7.5YR,7,2,4,2,7.5YR,5,3,6,S,F,VE,4,9.340657974,7.043547958,3.875986899,3.486988172,3.486988172,4.746437943,0.708425839,0.708425839,.,7.043859649,83.99122807,8.537719298,6.981308411,84.57943925,8.572897196,3.195731511
33,1844.641602,321,4,CV,0,1,86,0,2,7,2,2,5,3,LS,85,VF,6,8.1,4,9,7.5YR,7.5YR,4,6,VE,2,7.5YR,7,2,4,2,7.5YR,5,3,6,LS,VF,VE,4,2,7.5YR,7,2,4,2,7.5YR,5,3,6,LS,VF,VE,4,6.214819854,5.924941377,5.803596898,5.803596898,5.803596898,5.635062899,5.635062899,.,.,7.418604651,79.65116279,8.320930233,7.584415584,79.02597403,8.346753247,6.151223875
34,1873.480713,14,6,VV,0,5,19,0,2,7,2,2,4,2,LS,80,F,5,8,2,9,7.5YR,7.5YR,4,4,SL,2,7.5YR,7,2,4,2,7.5YR,4,2,4,LS,F,ST,3,2,7.5YR,7,2,4,2,7.5YR,4,2,4,LS,F,ST,3,3.744449159,3.744449159,3.744449159,3.744449159,3.744449159,.,.,.,.,5,82.63157895,8.105263158,5,85,8.2,2.542753
35,1897.032959,250,5,CL,2,2,77,0,3,6,3,3,5,3,LS,85,VF,4,8.1,3,10,5YR,5YR,6,6,ST,3,5YR,5,3,6,3,5YR,4,3,6,LS,F,VE,4,3,5YR,5,3,6,3,5YR,4,3,6,LS,F,VE,4,2.609650322,3.222445303,3.574474006,3.574474006,3.574474006,3.835240284,4.226379012,.,.,8.077922078,85,8.419480519,8.686567164,85,8.467164179,3.76768754
36,1860.503174,337,4,LL,2,1,152,0,3,6,3,3,5,3,LS,80,VF,5,8.1,1,7,5YR,5YR,6,6,VS,3,5YR,7,2,4,3,5YR,4,2,4,LS,F,VE,4,3,5YR,7,2,4,3,5YR,4,2,4,LS,F,VE,4,3.683676236,3.292625987,3.188174091,4.100052884,4.124049695,2.901575737,3.083722195,5.923810471,5.923810471,6.618421053,82.79605263,8.576973684,6.696551724,82.93103448,8.6,4.07791644
