id,Elevation,Aspect,Slope,SlopeShape,CarbonateStage,BioticCrustClass,DepthClass,PedonDepth,Depth200,H1.DryRed,H1.DryValue,H1.DryCClass,H1.MoistRed,H1.MoistValue,H1.MoistCClass,H1.Texture,H1.SandPercent,H1.SandSize,H1.ClayPercent,H1.pH,H1.EfferScale,H1.Depth,H1.DWA_AWC,Tot.DryRed,Tot.DryValue,Tot.DryCClass,Tot.MoistRed,Tot.MoistValue,Tot.MoistCClass,Tot.Texture,Tot.SandSize,Tot.EfferScale,DWAClay,DWASand,DWApH,DWA.AWHC,Sand.50,Clay.50,pH.50,DryValue.50,EfferScale.50,AWHC.50,MaxClay,MaxSand,MaxpH,MaxDryValue,MaxAWHC,MaxEffervescence
B4_6,1880.638869,160,6,VV,0,2,VeryDeep,47,0,2,5,2,2,3,2,SL,65,F,5,7.6,2,6,0.410369654,2,6,2,2,4,2,SL,F,3,5,69.36170213,7.774468085,9.322425775,70,5,7.8,6,3,9.155303766,5,70,7.8,6,9.155303766,3
B4_7,1877.590832,310,1,LL,0,1,Shallow,176,0,1,6,2,2,4,2,SL,75,VF,5,7.4,0,5,0.790461066,2,6,2,2,4,2,SL,F,4,5.988636364,77.38636364,8.221590909,6.475497005,75,7,8,6,4,7.768319141,7,80,8.5,8,7.768319141,4
B4_8,1888.258961,200,5,VV,0,0,VeryDeep,200,1,2,6,2,2,4,2,SL,65,F,5,7.8,2,6,0.356741801,2,7,2,2,5,2,SL,F,3,5,67.05,8.176,9.922498129,70,5,8.2,7,3,9.155303766,5,70,8.2,7,11.68708431,3
B4_9,1891.611802,260,10,VV,0,4,VeryDeep,7,0,2,6,2,2,5,2,SL,60,F,5,7.8,2,7,0.409047951,2,6,2,2,5,2,SL,F,2,5,60,7.8,11.68708431,60,5,7.8,6,2,11.68708431,.,.,.,.,.,.
IL1_1,1871.189954,110,12,CV,0,2,Shallow,40,0,2,6,2,2,4,2,SL,60,VF,5,6.6,0,4,1.168708431,2,5,3,2,4,2,SL,VF,2,5,62,7.64,11.19802105,65,5,8.2,7,4,10.46442617,5,65,8.2,7,11.68708431,4
IL1_10,1878.200439,200,12,CC,0,1,VeryShallow,95,0,2,6,2,2,4,2,SL,60,F,7,7.8,1,5,7.213752406,2,6,2,2,4,2,SL,F,3,7,62.21052632,8.084210526,11.04318365,60,7,8.1,6,3,11.54200385,7,70,8.1,6,11.54200385,3
IL1_3,1884.90612,270,1,LL,1,3,ModeratelyDeep,200,1,2,6,2,2,4,2,SL,70,F,7,8.2,3,7,0.684190041,2,6,2,2,4,2,SL,F,3,7,60.725,7.97,11.46487442,65,7,8.1,6,3,10.44264508,7,65,8.1,6,12.83080608,3
IL1_4,1878.505243,110,4,CC,1,2,VeryDeep,96,0,2,5,2,2,3,2,SL,65,VF,7,7.6,0,7,0.365492578,2,8,2,2,4,2,SL,CO,4,6.125,57.96875,8.404166667,12.36058967,50,7,8.4,6,3,14.56164285,7,65,8.6,8,14.56164285,4
IL1_5,1875.762009,310,4,VV,1,2,ModeratelyDeep,121,0,2,6,2,2,4,2,SL,60,F,5,6.5,0,8,0.973923693,2,7,2,2,5,2,SL,F,3,7.975206612,67.02479339,8.028099174,9.826620173,60,10,8.4,7,3,11.35524954,10,80,8.4,8,11.35524954,4
IL1_8,1876.981224,200,2,LV,1,2,Deep,148,0,2,5,2,2,4,2,SL,70,VF,7,7.2,0,7,0.537173999,2,6,2,2,4,2,SL,F,3,6.824324324,68.04054054,8.037837838,9.556387883,60,7,8,5,3,11.54200385,7,80,8.3,6,11.54200385,4
