id,Elevation,maxClay,maxSand,minClay,minSand,maxDepth,maxpH,minpH,maxDryValue,minDryValue,maxDryChroma,minDryChroma,maxMoistValue,minMoistValue,maxMoistChroma,minMoistChroma,CarbonateStage,BioticCrustClass
B3_1,6124,10,74,3,45,81,8.4,7.6,7,6,6,3,6,4,6,4,1,1
B3_10,6219,15,80,3,45,42,8,7.8,7,5,4,3,5,4,4,3,1,2
B3_2,6202,5,55,2,45,67,8.6,7.6,8,5,4,2,7,3,4,4,1,0
B3_3,6161,20,65,4,20,200,8.2,7.5,7,6,6,4,6,4,6,4,0,0
B3_4,6147,3,75,3,65,148,8.6,7.6,8,6,6,3,6,4,6,4,0,0
B3_5,6213,19,70,4,35,178,8.2,7.6,6,4,6,4,4,3,6,4,1,0
B3_6,6128,18,70,4,55,169,8.8,7.6,8,6,6,4,5,4,6,3,1,1
B3_7,6151,7,80,4,65,135,8.4,7.6,8,6,6,4,6,4,6,3,0,2
B3_8,6162,10,75,4,60,95,8.4,7.3,7,5,6,4,5,3,6,4,0,2
B3_9,6151,7,80,4,70,200,8.4,7.6,7,5,6,4,5,4,4,3,0,4
B4_1,6195,5,70,4,70,11,7.8,7.8,6,6,4,4,4,4,4,4,0,5
B4_10,6150,12,80,3,75,56,8.2,8.1,7,5,4,3,6,4,4,4,3,1
B4_2,6172,5,60,4,60,7,7.6,7.6,6,6,4,4,4,4,4,4,0,2
B4_3,6160,3,80,3,60,69,8,7.6,7,5,4,3,6,3,6,4,0,1
B4_4,6203,7,75,3,60,153,8.6,7.8,7,5,4,3,5,3,6,4,0,0
B4_6,6170,5,70,4,65,47,7.8,7.6,6,5,4,4,4,3,4,4,0,2
B4_7,6160,7,80,4,75,176,8.5,7.4,8,6,6,4,5,4,6,3,0,1
B4_8,6195,5,70,4,60,200,8.2,7.8,7,6,4,4,5,4,4,4,0,0
B4_9,6206,5,60,4,60,7,7.8,7.8,6,6,4,4,5,5,4,4,0,4
IL1_1,6139,5,65,4,60,40,8.2,6.6,7,5,6,4,5,4,6,4,0,2
IL1_10,6162,7,70,4,60,95,8.1,7.8,6,6,4,4,5,4,4,3,0,1
IL1_3,6184,7,70,4,55,200,8.2,7.8,6,6,4,4,4,3,4,4,1,3
IL1_4,6163,7,65,1,50,96,8.6,7.6,8,5,6,1,6,3,4,4,1,2
IL1_5,6154,10,80,2,60,121,8.4,6.5,8,5,6,2,7,4,6,4,1,2
IL1_8,6158,7,80,4,60,148,8.3,7.2,6,5,6,4,5,4,6,4,1,2
IL1_9,6115,10,65,4,65,8,7.8,7.8,5,5,4,4,4,4,4,4,1,5
IL2_1,6109,5,70,4,70,9,7.8,7.8,6,6,4,4,4,4,4,4,0,5
IL2_10,6145,7,75,3,70,74,8.4,6.6,8,5,4,3,6,4,4,4,0,1
IL2_2,6165,10,60,4,50,58,8.4,7.6,7,6,6,4,5,3,6,4,1,1
IL2_3,6193,10,60,2,50,200,8.6,6.4,8,6,6,2,7,4,6,4,0,0
IL2_4,6157,7,65,4,45,43,8.2,7.6,5,5,4,4,4,3,4,3,1,1
IL2_5,6135,38,80,4,40,200,8.2,7.6,8,5,6,4,6,4,6,4,0,0
IL2_7,6153,10,70,3,70,59,8.6,7.6,7,5,6,3,5,4,4,4,1,1
IL2_8,6205,5,60,3,55,46,8.2,7,8,5,6,3,6,4,4,3,1,1
IL2_9,6131,5,75,4,60,56,8.2,7.8,6,5,4,4,4,3,6,4,1,2
IL3_1,6193,7,40,4,40,34,8.1,7.6,6,5,4,4,4,3,4,4,1,1
IL3_10,6186,7,75,4,55,154,8.6,7,8,6,4,4,5,4,6,3,1,4
IL3_2,6184,5,80,4,75,181,8.4,7.6,6,5,6,4,5,3,4,4,0,2
IL3_3,6154,7,75,4,60,200,8.4,7.4,7,6,6,4,5,4,6,4,1,3
IL3_4,6253,18,75,4,35,146,8.2,6.6,6,4,6,4,4,3,6,4,1,3
IL3_6,6199,7,70,3,70,74,8.3,7.6,7,5,6,3,5,4,4,3,1,1
IL3_7,6184,7,70,4,60,27,8.1,7.4,5,5,6,4,4,4,4,4,1,1
IL3_9,6161,7,80,3,70,106,8.4,7.8,8,5,6,3,8,4,6,4,1,1
IL4_10,6220,3,75,2,60,200,8.4,7.4,8,6,6,2,5,4,6,4,1,5
IL4_2,6128,5,80,4,65,200,8.4,7.8,8,7,4,4,6,5,4,4,0,2
IL4_3,6177,15,40,4,35,25,8.1,7.8,6,5,4,4,4,3,4,4,1,1
IL4_4,6213,7,70,6,65,15,7.8,7.6,7,6,6,6,5,5,4,4,1,6
IL4_5,6138,7,80,4,75,23,8.1,7.8,6,5,6,4,4,4,4,4,1,1
IL4_7,6132,10,70,3,60,200,8.2,7.4,7,5,4,3,5,3,4,3,0,1
IL4_8,6186,5,70,4,70,10,8.1,8.1,7,7,4,4,5,5,4,4,0,6
IL4_9,6195,5,65,4,65,32,7.8,7.6,6,6,4,4,5,4,4,4,0,0
M1_1,6203,10,80,4,65,182,8.6,7.8,7,6,5,4,5,4,4,3,0,0
