PedonID,HzNum,Method,Top,Bottom,Horizon,DryHue,DryValue,DryChroma,MoistHue,MoistValue,MoistChroma,RF_knd,RF_perc,RF_sz,Texture,Psand,SandSize,Pclay,pH,Effer
CLHS26P,4,NA,31,31,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLHS27P,1,Soil pit,0,12,A,7.5YR,6,4,7.5YR,4,6,SST,10,GR,LS,85,VF ,6,8.2,VE
CLHS27P,2,Soil pit,12,39,Bw1,7.5YR,6,4,7.5YR,4,6,SST,15,GR,LS,80,VF,6,8.4,VE
CLHS27P,3,Soil pit/auger,39,122,Bw2,7.5YR,6,4,7.5YR,4,6,SST,1,GR,LS,80,VF,8,8.5,VE
CLHS27P,4,auger,122,153,Bw3,7.5YR,6,4,7.5YR,4,6,SST,1,GR,LS,80,VF,10,8.3,VE
CLHS28P,1,Soil Pit,0,9,A,5YR,6,4,5YR,4,4,SST,1,GR,LS,85,VF,5,8.2,VE
CLHS28P,2,Soil Pit,9,40,Bk1,5YR,6,4,5YR,4,6,CAN,5,GR,S,95,M,4,8.1,ST
CLHS28P,3,Soil Pit/Auger,40,83,C,5YR,7,3,5YR,5,4,SST,10,GR,S,95,M,3,8.2,SL
CLHS28P,4,NA,83,83,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLHS29P,1,Soil pit,0,7,A,10YR,6,4,10YR,4,3,CAN,5,GR,FLS,80,F,7,8.2,ST
CLHS29P,2,Soil pit,7,34,Bw,10YR,8,4,10YR,5,6,CAN,3,GR,FS,90,F,5,8.1,VE
CLHS29P,3,Soil pit/auger,34,80,Bk1,10YR,7,3,10YR,4,6,CAN,2,GR,VFLS,80,VF,8,8.3,VE
CLHS29P,4,auger,80,163,Bk2,10YR,7,3,10YR,4,6,CAN,2,GR,VFLS,80,VF,8,8.3,VE
CLHS30P,1,Soil pit,0,10,A,7.5YR,6,4,7.5YR,4,4,NA,0,NA,S,90,VF,4,8,SL
CLHS30P,2,Soil pit,10,27,Bw1,7.5YR,6,4,7.5YR,4,4,NA,0,NA,S,90,VF,5,8.1,VE
CLHS30P,3,Soil pit/auger,27,89,Bw2,7.5YR,6,4,7.5YR,4,4,SST,1,GR,S,90,F,5,8.5,VE
CLHS30P,4,auger,89,134,Bw3,7.5YR,7,3,7.5YR,4,6,SST,15,GR,S,90,M,3,8.7,VE
CLHS31P,1,soil pit,0,8,A,5YR,5,6,5YR,4,6,SST,15,GR,SL,75,F,8,8.2,VE
CLHS31P,2,soil pit,8,20,C,5YR,5,6,5YR,4,6,CAN,25,GR,SL,80,F,8,8.2,VE
CLHS31P,3,NA,20,20,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLHS32P,1,soil pit,0,7,A,7.5YR,5,6,7.5YR,3,4,SST,1,GR,SL,75,VF,8,8,SL
CLHS32P,2,soil pit,7,36,Bw1,7.5YR,5,6,7.5YR,4,6,SST,5,GR,SL,70,VF,15,8.5,VE
CLHS32P,3,soil pit/auger,36,114,Bw2,7.5YR,7,4,7.5YR,5,6,SST,20,GR,S,90,F,4,8.6,VE
CLHS32P,4,NA,114,114,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLHS33P,1,Soil pit,0,9,A,7.5YR,7,4,7.5YR,5,6,SST,5,GR,LS,85,VF,6,8.1,VE
CLHS33P,2,Soil pit,9,24,Bw1,7.5YR,7,4,7.5YR,4,6,SST,1,GR,SL,75,VF,10,8.1,VE
CLHS33P,3,Soil pit/auger,24,64,Bw2,7.5YR,7,4,7.5YR,5,6,SST,1,GR,LS,80,VF,7,8.3,VE
CLHS33P,4,auger,64,86,Bw3,7.5YR,7,6,7.5YR,5,6,SST,1,GR,LS,80,VF,7,8.6,VE
CLHS33P,5,NA,86,86,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLHS34P,1,soil pit,0,9,A,7.5YR,7,4,7.5YR,4,4,SST,5,GR,LS,80,F,5,8,SL
CLHS34P,2,soil pit,9,19,Bw,7.5YR,7,4,7.5YR,4,4,SST,1,GR,LS,85,F,5,8.2,ST
CLHS34P,3,NA,19,19,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLHS35P,1,Soil pit,0,10,A,5YR,6,6,5YR,5,6,CAN,1,GR,LS,85,VF,4,8.1,ST
CLHS35P,2,Soil pit,10,32,Bk1,5YR,6,6,5YR,5,6,CAN,5,GR,LS,85,VF,6,8.4,VE
CLHS35P,3,Soil pit/auger,32,77,C,5YR,5,6,5YR,4,6,SST,1,GR,LS,85,F,10,8.5,VE
CLHS35P,4,NA,77,77,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLHS36P,1,Soil pit,0,7,A,5YR,6,6,5YR,5,6,CAN,1,GR,LS,80,VF,5,8.1,VS
CLHS36P,2,Soil pit,7,40,Bk1,5YR,6,6,5YR,5,6,CAN,5,GR,LS,85,VF,7,8.6,VE
CLHS36P,3,Soil pit/Auger,40,92,Bk2,5YR,7,4,5YR,4,4,CAN,2.5,GR,LS,85,F,5,8.6,VE
CLHS36P,4,Auger,92,152,Bk3,5YR,7,4,5YR,4,4,SST,1,GR,LS,80,F,8,8.6,VE
CLHS37P,1,soil pit,0,7,A,7.5YR,7,4,7.5YR,4,4,SST,5,GR,LS,85,F,4,8,VE
CLHS37P,2,soil pit,7,17,C,7.5YR,8,2,7.5YR,5,4,SST,25,GR,LS,85,F,4,8.4,VE
CLHS37P,3,NA,17,17,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLHS38P,1,Soil pit,0,7,A,5YR,5,4,5YR,4,3,NA,0,NA,VFSL,72,VF,11,8,NE
CLHS38P,2,Soil pit/auger,7,85,AB,5YR,6,6,5YR,4,6,NA,0,NA,VFSL,75,VF,8,8.2,SL
CLHS38P,3,Auger,85,94,Bk,5YR,7,4,5YR,4,4,GR,40,F.M,FSL,77,F,9,8.3,VE
CLHS38P,4,NA,94,94,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
