"","ACHY","AMID","ARPU9","ARTR2","ARTR2.D","ATCA2","ATCA2.D","Bare.Soil","BOGR2","BOGR2.D","BRTE","CHLE4","CHVI8","CLLU2","ECCOC","ELEL5","EPVI","ERCI6","GRFA","GUSA2","GUSA2.D","HECO26","HECO26.D","JUOS","KRLA2","LAOC3","LEMO2","OPPO","OPPO.D","PEPU7","PIED","PLPA2","SALSO","SALSO.D","SPCO","SPCR","SPCR.D","CHVI8.D","HIJA"
"B3_1",1.33333333333333,0,0,0.666666666666667,2,0,0,18,23.3333333333333,2,0,0,0,0,0,0,0.333333333333333,0,0,8.33333333333333,0.666666666666667,17.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33333333333333,0.333333333333333,0,0
"B3_10",0,0,0,5.33333333333333,2.33333333333333,1,0,13.6666666666667,22.3333333333333,0.666666666666667,0,0,0,0,0,0.333333333333333,0,0,0,0.333333333333333,0.333333333333333,6,0.333333333333333,1.66666666666667,0.666666666666667,0,0,0,0,0,1.66666666666667,0,0,0.333333333333333,0,14,0,0,0
"B3_2",0,0,0,0,0.666666666666667,0,0,19.6666666666667,20.6666666666667,2.33333333333333,0,0,0,0,0,0.333333333333333,0,0,0,1.66666666666667,0,11.6666666666667,0.333333333333333,0,1.33333333333333,0,0,0.333333333333333,0,0,0,0,0,0,0,14.6666666666667,0,0,0
"B3_3",0,0,0,0,0,0.333333333333333,0,28.6666666666667,22.6666666666667,1.33333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0.666666666666667,0,0,0,0,3,0.666666666666667,0,10.6666666666667,1.33333333333333,0,0
"B3_4",0,0.333333333333333,0,0,0,1.33333333333333,0,11.6666666666667,34,1,0.333333333333333,0,0,0,0,0,0,2,0,0,0,2.66666666666667,0,0,0,0.666666666666667,0,8.66666666666667,0,0,0,0.333333333333333,0.333333333333333,0,0,26.6666666666667,0.333333333333333,0,0
"B3_5",0,0,0,0,0,0,0,23,12.3333333333333,0,0,0,0,0.333333333333333,0,0,0,0.666666666666667,0,0.333333333333333,0,0.666666666666667,0,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,4.33333333333333,0.333333333333333,0,30.6666666666667,1,0,0
"B3_6",0.666666666666667,0,0,0.333333333333333,7.66666666666667,1.33333333333333,0,13.6666666666667,29.3333333333333,2.66666666666667,0,0,0.333333333333333,0,0,0,0,0,0,0,0.333333333333333,16.6666666666667,1,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,10.6666666666667,0,0,0
"B3_7",1.33333333333333,0,0,0.666666666666667,4.66666666666667,1.66666666666667,0,15.6666666666667,25.3333333333333,1.33333333333333,0,0,0,0,0,0,0.666666666666667,0,0,7,2.33333333333333,19.6666666666667,0.333333333333333,0,0,0,0,0,0,0,1,0,0,0,0,1.66666666666667,0,0,0
"B3_8",0,0,0,0,0.666666666666667,0,0,18.3333333333333,37.6666666666667,2,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0,0,0.333333333333333,0,0,0,0,0,0,3.66666666666667,0.333333333333333,0,0
"B3_9",0,0.333333333333333,0,0,0,0,0,17,46.3333333333333,1,0.333333333333333,0,0,0,0,0,0,0,0.333333333333333,0,0,2.66666666666667,0.333333333333333,0,0,0.666666666666667,0,4.66666666666667,0,0,0,1.33333333333333,0,0,0,9.33333333333333,0.333333333333333,0,0
"B4_1",1.33333333333333,0,0,0.333333333333333,2,0.666666666666667,1,15.3333333333333,25.3333333333333,1.33333333333333,0,0,0,0,0,0,0,0,0,2,2,19.3333333333333,0.666666666666667,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0,0.333333333333333,7.66666666666667,0,0,0
"B4_10",0.666666666666667,0,0,0,1.66666666666667,2.66666666666667,0,29,14.3333333333333,1,0,0,0.333333333333333,0,0,0,0,0,0,3.33333333333333,1,25.6666666666667,0,0.333333333333333,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0
"B4_2",0.333333333333333,0,0.333333333333333,0.333333333333333,2.33333333333333,2,0,16,20.3333333333333,1,0.666666666666667,0,0,0,0,0,0,0,0,2.66666666666667,0.666666666666667,2,0,0,0,0,0,1.33333333333333,0,0.333333333333333,0,0,0,0,0,8.66666666666667,0,0,0
"B4_3",0,0,0,0.333333333333333,5.66666666666667,0.333333333333333,0,16.6666666666667,34.6666666666667,5,0,0,0,0,0,0,0,0,0,1,0.666666666666667,6.66666666666667,0,0,0,0,0.333333333333333,0,0,0,2,0,0,0,0,3.33333333333333,0,0,0
"B4_4",0.666666666666667,0,0,0,3.33333333333333,0,0,18.3333333333333,29,2.66666666666667,0,0,0,0,0,0,0,0,0,0,0.333333333333333,11,0.666666666666667,0.333333333333333,0,0,0,0.333333333333333,0,0,0,0,0,0,0,12.3333333333333,0,0,0
"B4_6",0,0,0,3.66666666666667,1.66666666666667,0,0,13.6666666666667,13.3333333333333,2,0,0,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,6.33333333333333,0,0,0.666666666666667,0,0,1,0,0,0,0,0,0,0,35.3333333333333,0.666666666666667,0,0
"B4_7",0,0,0,0,1,1.66666666666667,0,8,40,3,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0.333333333333333,0,0,1,0.333333333333333,0,0,0,0,0.333333333333333,0,15.3333333333333,1.33333333333333,0,0
"B4_8",0.666666666666667,0,0,0,0,4.33333333333333,0,12.3333333333333,0,0,8,0,0,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0,12.3333333333333,0,0,0,0,0,0.333333333333333,0,42.6666666666667,0.666666666666667,0,0
