,ACHY,AMID,ARPU9,ARTR2,ARTR2.D,ATCA2,ATCA2.D,Bare.Soil,BOGR2,BRTE,CHLE4,ECCOC,ELEL5,EPVI,ERCI6,GRFA,GUSA2,GUSA2.D,HECO26,JUOS,KRLA2,LEMO2,OPPO,OPPO.D,PEPU7,PHAU3,PIED,PIED.D,PLPA2,SALSO,SPCR,CLLU2,LAOC3,SALSO.D,SPCO,HIJA
42,0,0,0,2.222222222,3.333333333,2.222222222,0.555555556,15,26.11111111,0,0.555555556,0,0,0.555555556,0,0,1.666666667,0,22.22222222,1.666666667,0,0,1.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,6.111111111,0,0,0,17.22222222,19.44444444,0,1.111111111,0,0,0,0.555555556,4.444444444,0,0.555555556,15.55555556,0,0,0,2.222222222,0,0,0,0,0,0,0,3.333333333,0,0,0,0,0
44,0,0,0,0.555555556,5.555555556,0,0,17.22222222,10,0,0,0,0,0,0,0,14.44444444,0.555555556,14.44444444,7.777777778,0,0,0,0,0,0.555555556,6.111111111,0.555555556,0,0,7.222222222,0,0,0,0,0
47,1.666666667,0,0,0.555555556,3.333333333,1.111111111,0,17.77777778,28.88888889,0,0,0,0,0.555555556,0,0,2.777777778,2.222222222,7.777777778,0,0,0,0,0,0,0,10.55555556,0,0,0,2.222222222,0,0,0,0,0
48,1.666666667,0,0,6.666666667,1.111111111,1.111111111,1.666666667,17.22222222,16.66666667,0,0,0,0,0,0,0,4.444444444,0,12.77777778,0,0,0,0,0,0,0,0,0,0,0,13.88888889,0,0,0,0,0
50,2.777777778,0,0,5.555555556,3.888888889,6.111111111,0.555555556,17.77777778,0,0.555555556,0,0,0,0,0,0,0.555555556,0,0.555555556,6.666666667,0,0,0,0,0,0,18.88888889,0,0,0,10.55555556,0,0,0,0,0
57,1.111111111,0,0,2.222222222,7.777777778,0,1.666666667,13.88888889,6.666666667,0,0,0,0,0,0,0,0.555555556,0,33.33333333,0,0.555555556,0,0,0,0,0,0,0,0,0.555555556,0,0,0,0,0,0
59,0.555555556,0,0,0,3.333333333,0.555555556,1.111111111,21.66666667,11.11111111,0,0,0,0,0,0,0,0,0,3.333333333,0,9.444444444,0,0,0,0,0,0,0,0,0,16.11111111,0,0,0,0,0
60,0.555555556,0,0,1.111111111,7.222222222,2.222222222,0,16.11111111,5,0,0,0,0,0,0,0,0,0,1.666666667,0,6.666666667,0,0,0,0,0,0,0,0,0.555555556,27.77777778,0,0,0,0,0
61,2.777777778,0,0,0,0,1.111111111,0,11.66666667,13.88888889,0,0,0,0,0,0,0,3.888888889,0,0.555555556,20.55555556,0,0.555555556,0,0,0,0,9.444444444,2.222222222,0,0,0,0,0,0,0,0
67,2.222222222,0,0,0,0,8.888888889,1.111111111,8.333333333,25.55555556,3.333333333,0,0,0,0,0,0,0,0,11.66666667,2.777777778,0,0,0,0,0,0,0,3.333333333,0,0,11.11111111,0,0,0,0,0
68,0,0,0,0.555555556,1.666666667,3.333333333,2.222222222,19.44444444,18.33333333,1.111111111,0,0,0,0,0,0,0,0,0.555555556,0,3.888888889,0,0,0,0,0,0,0,0,0,18.33333333,0,0,0,0,0
73,0,0,0,0,3.333333333,1.666666667,1.111111111,13.33333333,31.11111111,2.222222222,0.555555556,0,0,0,0,0,0,0.555555556,26.66666667,0,0,0,0,0,0,0,0,0,0,0,3.888888889,0,0,0,0,0
77,5,0,0,0,0,1.666666667,0,7.222222222,19.44444444,1.111111111,0,0,0.555555556,0,0,0,0.555555556,1.111111111,22.22222222,2.777777778,0,0,0,0,0,0,9.444444444,1.111111111,0,0,1.111111111,0,0,0,0,0
80,2.777777778,0,0,1.666666667,3.333333333,0,0,20,39.44444444,0,0,0,0,1.111111111,0,0,0,2.222222222,15.55555556,0.555555556,0,0,0,0,0,0,0,0,0,0,1.111111111,0,0,0,0,0
