,ACHY,AMID,ARPU9,ARTR2,ARTR2.D,ATCA2,ATCA2.D,Bare.Soil,BOGR2,BRTE,CHLE4,CLLU2,ECCOC,ELEL5,EPVI,ERCI6,GRFA,JUOS,KRLA2,LAOC3,LEMO2,OPPO,OPPO.D,PEPU7,PIED,PLPA2,SALSO,SALSO.D,SPCO,HIJA,SPCR,GUSA2,GUSA2.D,HECO26
B2_1,0,1.333333333,0.333333333,0,0,0,0,22.33333333,24,0.333333333,0,0.333333333,0,0,0,0,0,0,3.333333333,2.666666667,0,5,0,0,0,0.333333333,0,0,0,0,20.33333333,0,0,2.333333333
B2_10,0,0,0,3,3.333333333,0,0,23.33333333,22,0,0,0,0,0,0,0,1.333333333,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,2,0,0,17.33333333
B2_2,0,0,0,0,3,2.333333333,0,14.66666667,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,8.333333333
B2_4,0,0,0,1,1,0,0,10,38,0.333333333,0,0,0,0,0,0,0.333333333,0,1.666666667,0,0,0,0,0,0,0,0.333333333,0,0,0,14,0,0,3.333333333
B2_5,1.333333333,0,0,0,2,0,0,11.66666667,36.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,19.66666667,0,0.333333333,6.333333333
B2_6,0.333333333,0,0,0,0.333333333,0.333333333,0,15.66666667,33,0,0,0,0,0,0,0,0.666666667,0,0.333333333,0,0,1.333333333,0,0,0,0.333333333,0,0,0,0,7.333333333,3,0,9.666666667
B2_7,0.333333333,0,0,0,6,0,0.666666667,15.66666667,35,0,0,0,0.333333333,0,0,0,0,0,0,0.666666667,0.333333333,0,0,0,0,0,0,0,0,0,11,0.666666667,0.333333333,5.666666667
B2_8,0,0,0,0,0,0,0,27.66666667,22.66666667,0,0,0,0,0,0,0,0,0,0,0,0,8,0.333333333,0,0,0,0,0,0,0,27,0,0,1.333333333
B2_9,0,0,0,1.666666667,2,0.333333333,0,23,37.33333333,0,0,0,0,0,0,0,0,0,1.333333333,0,0,0,0,0,0,0,0,0,0,0,10.33333333,0,0,6.666666667
B3_1,1.333333333,0,0,0.666666667,2,0,0,18,25.33333333,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.666666667,8.333333333,0.666666667,17.66666667
B3_10,0,0,0,5.333333333,2.333333333,1,0,13.66666667,23,0,0,0,0,0.333333333,0,0,0,1.666666667,0.666666667,0,0,0,0,0,1.666666667,0,0,0.333333333,0,0,14,0.333333333,0.333333333,6.333333333
B3_2,0,0,0,0,0.666666667,0,0,19.66666667,23,0,0,0,0,0.333333333,0,0,0,0,1.333333333,0,0,0.333333333,0,0,0,0,0,0,0,0,14.66666667,1.666666667,0,12
B3_3,0,0,0,0,0,0.333333333,0,28.66666667,24,1,0,0,0,0,0,0,0,0,0,0.666666667,0,0.666666667,0,0,0,0,3,0.666666667,0,0,12,0,0,0
B3_4,0,0.333333333,0,0,0,1.333333333,0,11.66666667,35,0.333333333,0,0,0,0,0,2,0,0,0,0.666666667,0,8.666666667,0,0,0,0.333333333,0.333333333,0,0,0,27,0,0,2.666666667
B3_5,0,0,0,0,0,0,0,23,12.33333333,0,0,0.333333333,0,0,0,0.666666667,0,0.333333333,0.333333333,0,0,0,0,0,0,0,4.333333333,0.333333333,0,0,31.66666667,0.333333333,0,0.666666667
B3_6,0.666666667,0,0,0.333333333,7.666666667,1.333333333,0,13.66666667,32,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,10.66666667,0.333333333,0.333333333,17.66666667
B3_7,1.333333333,0,0,0.666666667,4.666666667,1.666666667,0,15.66666667,26.66666667,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.666666667,7,2.333333333,20
B3_8,0,0,0,0,0.666666667,0,0,18.33333333,39.66666667,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0.333333333,0,0,0,0,0,0,0,4,0,0.333333333,0
B3_9,0,0.333333333,0,0,0,0,0,17,47.33333333,0.333333333,0,0,0,0,0,0,0.333333333,0,0,0.666666667,0,4.666666667,0,0,0,1.333333333,0,0,0,0,9.666666667,0,0,3
B4_1,1.333333333,0,0,0.333333333,2,0.666666667,1,15.33333333,26.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.333333333,0,0,0,0,0,0.333333333,0,7.666666667,2,2,20
B4_10,0.666666667,0,0,0,1.666666667,2.666666667,0,29,15.33333333,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,3.666666667,1,25.66666667
B4_2,0.333333333,0,0.333333333,0.333333333,2.333333333,2,0,16,21.33333333,0.666666667,0,0,0,0,0,0,0,0,0,0,0,1.333333333,0,0.333333333,0,0,0,0,0,0,8.666666667,2.666666667,0.666666667,2
B4_3,0,0,0,0.333333333,5.666666667,0.333333333,0,16.66666667,39.66666667,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,2,0,0,0,0,0,3.333333333,1,0.666666667,6.666666667
B4_4,0.666666667,0,0,0,3.333333333,0,0,18.33333333,31.66666667,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0.333333333,0,0,0,0,0,0,0,0,12.33333333,0,0.333333333,11.66666667
B4_6,0,0,0,3.666666667,1.666666667,0,0,13.66666667,15.33333333,0,0,0,0,0,0,0,0,0,0.666666667,0,0,1,0,0,0,0,0,0,0,0,36,0.333333333,0.333333333,6.333333333
B4_7,0,0,0,0,1,1.666666667,0,8,43,0,0,0,0,0,0,0,0,0,0.333333333,0,0,1,0.333333333,0,0,0,0,0.333333333,0,0,16.66666667,0,0,0.333333333
B4_8,0.666666667,0,0,0,0,4.333333333,0,12.33333333,0,8,0,0,0,0,0,0,0,0,0,0,0,12.33333333,0,0,0,0,0,0.333333333,0,0,43.33333333,0,0.333333333,0.333333333
B4_9,2,0,0,0,2,0.333333333,0,14.66666667,13.66666667,0,0,0,0,0.333333333,0,0,0,1,0,0,0,1.333333333,0.333333333,0,6.333333333,0,0,0,0,0,8.333333333,1,0.333333333,10.33333333
IL1_1,0,0,0,11,2.333333333,0,0,22.33333333,34.33333333,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,4.666666667,0,0,3.666666667
IL1_10,0,0,0,0,0,1.666666667,0,8,44.33333333,1.333333333,0,0,0,0,0,0,0,0,1.333333333,0,0,3.333333333,0,0,0,0,0,0,0,0,16.66666667,0,0,0.666666667
IL1_3,0,0,0,0,0.333333333,2.666666667,0,10,9.333333333,1.333333333,0,0,0,0,0,3,0,0,0,1,0,3.333333333,0,0,0,0,0,0,0,0,42.33333333,0,0,0.333333333
IL1_4,0.333333333,0,0,4.333333333,2,0,0,19.66666667,22.66666667,0,0,0,0.333333333,0.333333333,0.666666667,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9.333333333,10.33333333,0,11
IL1_5,2,0,0,0,2.333333333,1.666666667,0,21.66666667,11,0.333333333,0.666666667,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0.666666667,0,8,1,1.666666667,24.33333333
IL1_8,0,0,0,0.666666667,1.333333333,0.333333333,0,10.66666667,35.33333333,0.333333333,0,0.333333333,0,0.333333333,0,0.333333333,0,0,0,0,0,0.666666667,0,0,0,0,0,0.333333333,0,0,12.33333333,0,0,0
IL1_9,0,0,1,1,0.333333333,0,0,4.333333333,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.66666667,0,0,0,0,0,0,0,0,0.333333333
IL2_1,1.333333333,0,0,1.333333333,2,1.333333333,0,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.333333333,0,0,0,0,0,0,7,3.333333333,2,17.33333333
IL2_10,0,0,0,2,3.666666667,1.333333333,0,12.66666667,26,0,0,0,0.333333333,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,8.333333333,5,1,19
IL2_2,0,0,0,0,0.333333333,1,0,21.33333333,25,1,0,0,0,0.333333333,0,0.333333333,0,0,0.666666667,0,0,0.666666667,0.666666667,0,0,0,0,0,0,0,21,0,0,0.333333333
IL2_3,0.333333333,0,0.333333333,0.666666667,3,1,0,12.66666667,45.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0.333333333,0,0,0,0,16.33333333,1,0,6.333333333
IL2_4,0,0,0.333333333,0,1.333333333,0,0,19.33333333,4,1,0,0,0,0.333333333,0,0.333333333,0,0,0,0,0,2,0,0,0,0,0,0,1,0,27.33333333,0,0,13.66666667
IL2_5,0,0.333333333,0,0,0,0,0,13.66666667,8.666666667,0,0,0,0,0,0,1,0.333333333,0,1,0.666666667,0,4.666666667,0,0,0,1,0.333333333,0,0,0,44,0,0,1.333333333
IL2_7,1,0,0,6.333333333,5,0.333333333,0,21,22.33333333,0.333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.333333333,0,14.33333333
IL2_8,0,0,0.333333333,3,1.333333333,2,0,14.33333333,6.666666667,0.666666667,0,0,0.333333333,0,0,2.333333333,0,0,0,0.666666667,0,1,0,0,0,0,0,0,0,0,29.33333333,2.666666667,0.666666667,2.333333333
IL2_9,0.666666667,0,0.333333333,0,2.666666667,3,0,16.33333333,17,0,0,0,0,0,0.666666667,0,0,0,0,0,0,1.666666667,0.666666667,0,2,0.333333333,0,0,0,0,17.66666667,1,0,9.333333333
IL3_1,0,0,0,0,2,1,0,16.66666667,18.66666667,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,23,4.333333333,0.333333333,9.333333333
IL3_10,1,0,0,5.333333333,2.666666667,1.333333333,0,19.66666667,23.66666667,0,0,0.333333333,0,0,0.333333333,0,0,0,0.333333333,0,0,4.333333333,0,0,0,0,0,0,1,0,15,2,0,3.333333333
IL3_2,0,0,0,3.666666667,1.666666667,3.666666667,0.333333333,16.33333333,30.66666667,0,0,0,0,0,0,0.666666667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10.66666667,0,0,0
IL3_3,0,0,0,0,4.333333333,0.333333333,0,8,21,0,0,0,0,0,1,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0.333333333,0.666666667,1,38.66666667
IL3_4,0,0,0,7.666666667,2,0.333333333,0,19.33333333,26.66666667,0.333333333,0,0,0,0.333333333,0,0,0.333333333,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,6.333333333,2.333333333,0,10.66666667
IL3_6,0,0,0,4.666666667,2,0,0,23.33333333,25.66666667,0,0,0,0,0,0,0.666666667,0,0,0.666666667,0,0,0.333333333,0,0,0,0,0,0,0,0,12.66666667,0,0,2.333333333
IL3_7,0,0.333333333,0,1.333333333,1.666666667,1.666666667,0,14.66666667,33.66666667,3,0,0,0,0,0,0,0.333333333,0,0.333333333,0.333333333,0,0.333333333,0,0,0,0,0,0,0,0,7.666666667,2,0.333333333,14.33333333
IL3_9,0.333333333,0,0.333333333,7.333333333,4.333333333,0,0,19,20.33333333,0.333333333,0,0,0,0,0.333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.333333333,2,1.333333333,23.33333333
IL4_10,1.333333333,0,0,5.666666667,1.333333333,1.666666667,0.333333333,14.33333333,25,0,0,0,0,0,0,0,0,0,0,0.333333333,0,1.666666667,0,0,0,0,0,0,0,0,10.66666667,1,0,11.66666667
IL4_2,0.333333333,0,0,0.333333333,2.333333333,4.333333333,0.666666667,13.66666667,16.33333333,1,0,0,0,0,0,0,0,0,0,0.333333333,0,0.333333333,0,0,3,0,0,0,0,0,29,0.333333333,0.666666667,4
IL4_3,0,0,0,0,1,0.666666667,0,15,24.33333333,0,0,0,0,0,0,0,0,0,0.333333333,0,0,1.666666667,0,0,0,0,0,0,0,0,3.666666667,1,0,28
IL4_4,0,0,0,0,1.666666667,0.666666667,0,11.66666667,21.33333333,0,0,0,0.666666667,0,0.333333333,0,0,0,0,0,0,0.333333333,0.333333333,0,3.333333333,0,0,0,0,0,2.333333333,2.333333333,1.666666667,9.333333333
IL4_5,0.666666667,0,0,0.333333333,1.333333333,1.333333333,0,11.33333333,26,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,6,3,0.333333333,24.33333333
IL4_7,1.666666667,0,0,0,5.666666667,2.333333333,0,19.66666667,29,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,7,2.333333333,2,1,15
IL4_8,0,0,0,0.666666667,0.333333333,0,0,11,2,0,0,0,0,0,0,0,0,8.666666667,0,0,0.333333333,0,0,0.333333333,11.33333333,0,0,0,0,0,0,0.666666667,0,0
IL4_9,1,0,0,0.333333333,2.666666667,1.333333333,0,7.333333333,19.33333333,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.333333333,0,0,0,0,0,0,0,0,8,1,0,36
M1_1,0,1.666666667,0,0,0.666666667,7,0,15.66666667,0.666666667,2.333333333,0,0,0,0,0,0.666666667,0.666666667,0,1.666666667,6.333333333,0,0,0,0,0,1.333333333,0,0,0,0,26,0,0,0
M1_10,0,0.666666667,0,0,0,0,0,9,0,1.333333333,0.333333333,0,0,0.333333333,0,2.333333333,0.666666667,0,0,4.333333333,0,4.666666667,0,0,0,1,0,0,0,0,44,0,0,0
M1_2,1,0.666666667,0,2.333333333,3.666666667,0,0,14,2.666666667,0,0,0,0,0,0,1.333333333,0.666666667,0,3.666666667,9.333333333,0,0.333333333,0,0,0,0.666666667,0,0,0,0,23.66666667,0.666666667,0,6
M1_4,0,4.666666667,0,0.333333333,1.333333333,0,0,14,5.666666667,0.333333333,0,0.666666667,0,0,0,0,1,0,0.666666667,10.66666667,0,2,0,0,0,1,0,0,0,0,25,0,0,0
M1_5,1,0.333333333,0,1,5.333333333,1.666666667,0,14.33333333,24,0.666666667,0.333333333,0,0,0,0,0,0.666666667,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,26.33333333,0,0,4.333333333
M1_6,0,2,0,0,0,8.333333333,0.666666667,20.66666667,15.66666667,1.666666667,0,0,0,0,0,0,1,0,0.333333333,3.666666667,0,3.333333333,0,0,0,0.666666667,0,0,0,0,21,0,0,0
M1_7,0,1,0,0,0,12.33333333,0,10.33333333,0,18.66666667,0,0,0,0,0,2.333333333,0.333333333,0,0,3.333333333,0,2,0,0,0,1,0.333333333,0,0,0,25.33333333,0,0,0
M1_8,0,0,0,0,0,4,1.333333333,22.66666667,0,0.333333333,0,0,0,0,0,0.666666667,0,0,0,0,0,2.333333333,0,0,0,0,8,0.333333333,0,0,29.66666667,0,0,0
M2_1,2,0,0.333333333,1,5.333333333,0.666666667,0,17,37,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,11,3,0,9.333333333
M2_10,0,4,0,0.333333333,0,6.333333333,0,21.66666667,0,0,0,0,0,0,0,0,1,0,0,1.666666667,0,0,0,0,0,1.666666667,1.333333333,0,0,0,23.66666667,0,0,0
M2_3,0.333333333,0,0,0,6.666666667,1.333333333,0.666666667,9.666666667,39,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7.666666667,1.666666667,0.333333333,19.33333333
M2_5,0,2.666666667,0,0,0,3.666666667,0,17.33333333,28,0.333333333,0,1.666666667,0,0,0,0,1.333333333,0,0,1,0,1,0,0,0,0,0,0,0,0,11,0,0,0
M2_6,0,0.333333333,0,0,0,10.66666667,1.666666667,22.66666667,0,0.666666667,0,0,0.333333333,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0.333333333,1,0,0,0,25,0,0,0
M2_7,0,0,0,0,0,4.666666667,0,18.33333333,1.666666667,5,0,0,0,0,0,3.666666667,0,0,0,0.333333333,0,4,0,0,0,0,10,0.666666667,0,0,26,0,0,0
M2_8,0,8,0,0,0,3,0,16.33333333,10.66666667,0.666666667,0,0,0,0.333333333,0,0,0.666666667,0,1,3.666666667,0,1,0,0,0,3,0,0,0,0,34.33333333,0,0,0
M2_9,0,1.666666667,0,0,1.666666667,3.333333333,0,13,8.333333333,0,0,0,0,0,0,0.666666667,1.666666667,0,0.333333333,6.333333333,0,2.333333333,0,0,0,2.333333333,0,0,0,0,21.33333333,0,0,0.333333333
M3_1,0,0,0,0,0,0,0,17.66666667,36.33333333,0.333333333,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,19,0,0,0
M3_2,1.666666667,0,0,1.333333333,8.666666667,1,0,18,32,0,0,0,0,0.333333333,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,3,4.333333333,0,11.66666667
M3_3,7,0,0,0.666666667,0.333333333,2,1.333333333,15.33333333,29,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0.333333333,0,0,0,0,0,0,1,0,5,6.333333333,0.333333333,21
M3_5,0,0,0,0,6,0.666666667,0.666666667,8.333333333,43.66666667,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.333333333,0,0,0.333333333,0,0,0,0,17.66666667,0,0,5.666666667
M3_7,0,3,0,0.666666667,0.333333333,0,0,14.66666667,7.333333333,4,0,0.666666667,0,0,0,0,0.333333333,0,0.666666667,4.666666667,0,0.333333333,0.333333333,0,0,1.666666667,0,1.333333333,0.333333333,0,18.33333333,0,0,0
M3_8,2.333333333,0,0,0,8.666666667,3,0,17,28.33333333,0.666666667,0,0,0,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0.666666667,0,0,0,0,7.333333333,0.666666667,0.666666667,16.66666667
M4_2,4.666666667,0,0,1.666666667,0,2.333333333,0.333333333,11,23.66666667,0,0,0,0,0,0.333333333,0,0,0,1,0.333333333,0,0,0,0,0,0,0,0,0,0,13.66666667,8.333333333,1,13.66666667
M4_3,2.666666667,0,0,0,4.333333333,0.333333333,0,8.333333333,44.33333333,0,0,0,0.333333333,0,0.333333333,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,5,2.666666667,0.333333333,20.33333333
M4_4,0,1,0,0,0.333333333,0,0,21,39.33333333,0,0,0.666666667,0,0,0,0,0,0,1,0,0,4,0.333333333,0,0,0.666666667,0,0,0,0,7.333333333,0,0,5.666666667
M4_5,0,4.333333333,0,0,0,0,0,12.66666667,14,0,0,1,0,0,0,0,0,0,0,8,0,3.333333333,0,0,0,0.333333333,0,0,0,0,23.33333333,0,0.333333333,0.333333333
M4_6,2,0,0,0.666666667,6.333333333,2,0,15,23.66666667,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.66666667,3.666666667,0,7
M4_7,2.666666667,0,0.333333333,0,3,0.666666667,0,13.33333333,21.33333333,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.333333333,0,0.333333333,0,0,0,0,0,0,1.333333333,16.66666667,0.666666667,9.333333333
M4_9,0,0,0.333333333,11.66666667,1.333333333,3,0,36,29.33333333,0,0,0,0,0.666666667,0,0,0,0,0,0,0,5.666666667,0,0,0,0,0,0,0,0,3,2.333333333,0,0.333333333
