"","ACHY","AMID","ARPU9","ARTR2","ARTR2.D","ATCA2","ATCA2.D","Bare.Soil","BOGR2","BOGR2.D","BRTE","CHLE4","CHVI8","CLLU2","ECCOC","ELEL5","EPVI","ERCI6","GRFA","GUSA2","GUSA2.D","HECO26","HECO26.D","JUOS","KRLA2","LAOC3","LEMO2","OPPO","OPPO.D","PEPU7","PIED","PLPA2","SALSO","SALSO.D","SPCO","SPCR","SPCR.D","CHVI8.D","HIJA"
"IL1_10",0,0,0,0,0,0.0333333333333333,0,0.16,0.813333333333333,0.0733333333333333,0.0266666666666667,0,0,0,0,0,0,0,0,0,0,0.0133333333333333,0,0,0.0266666666666667,0,0,0.0666666666666667,0,0,0,0,0,0,0,0.333333333333333,0,0,0
"IL1_3",0,0,0,0,0.00666666666666667,0.0533333333333333,0,0.2,0.166666666666667,0.02,0.0266666666666667,0,0,0,0,0,0,0.06,0,0,0,0.00666666666666667,0,0,0,0.02,0,0.0666666666666667,0,0,0,0,0,0,0,0.793333333333333,0.0533333333333333,0,0
"IL1_4",0.00666666666666667,0,0,0.0866666666666667,0.04,0,0,0.393333333333333,0.446666666666667,0.00666666666666667,0,0,0.16,0,0.00666666666666667,0.00666666666666667,0.0133333333333333,0,0,0.0466666666666667,0,0.22,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0.186666666666667,0,0,0
"IL1_5",0.04,0,0,0,0.0466666666666667,0.0333333333333333,0,0.433333333333333,0.206666666666667,0.0133333333333333,0.00666666666666667,0.0133333333333333,0,0,0,0,0.0133333333333333,0,0,0.02,0.0333333333333333,0.48,0.00666666666666667,0,0,0,0,0,0,0,0,0,0.00666666666666667,0,0.0133333333333333,0.16,0,0,0
"IL1_8",0,0,0,0.0133333333333333,0.0266666666666667,0.00666666666666667,0,0.213333333333333,0.7,0.00666666666666667,0.00666666666666667,0,0,0.00666666666666667,0,0.00666666666666667,0,0.00666666666666667,0,0,0,0,0,0,0,0,0,0.0133333333333333,0,0,0,0,0,0.00666666666666667,0,0.233333333333333,0.0133333333333333,0,0
"IL1_9",0,0,0.02,0.02,0.00666666666666667,0,0,0.0866666666666667,0.106666666666667,0.0333333333333333,0,0,0,0,0,0,0,0,0,0,0,0.00666666666666667,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0
"IL2_1",0.0266666666666667,0,0,0.0266666666666667,0.04,0.0266666666666667,0,0.22,0.273333333333333,0.0266666666666667,0,0,0.02,0,0,0,0,0,0,0.0466666666666667,0.04,0.346666666666667,0,0,0,0,0,0,0,0.0266666666666667,0,0,0,0,0,0.14,0,0,0
"IL2_10",0,0,0,0.04,0.0733333333333333,0.0266666666666667,0,0.253333333333333,0.48,0.04,0,0,0.0666666666666667,0,0.00666666666666667,0,0,0,0,0.0333333333333333,0.02,0.38,0,0,0.00666666666666667,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0
"IL2_2",0,0,0,0,0.00666666666666667,0.02,0,0.426666666666667,0.48,0.02,0.02,0,0,0,0,0.00666666666666667,0,0.00666666666666667,0,0,0,0.00666666666666667,0,0,0.0133333333333333,0,0,0.0133333333333333,0.0133333333333333,0,0,0,0,0,0,0.413333333333333,0.00666666666666667,0,0
"IL2_3",0.00666666666666667,0,0.00666666666666667,0.0133333333333333,0.06,0.02,0,0.253333333333333,0.853333333333333,0.06,0,0,0,0,0,0,0,0,0,0.02,0,0.126666666666667,0,0,0,0,0,0.00666666666666667,0,0,0,0.00666666666666667,0,0,0,0.313333333333333,0.0133333333333333,0,0
