ident	Latitude	Longitude	y_proj	x_proj	comment	altitude
86-1	37.971468	-109.9204101	4203198.388	594824.1618	03-AUG-13 12:42:02PM	1882.373047
86-2	37.97140078	-109.920281	4203191.061	594835.5936	03-AUG-13 12:41:24PM	1882.373047
86-3	37.97127991	-109.9201605	4203177.772	594846.3287	03-AUG-13 12:40:47PM	1883.574707
86-4	37.97105704	-109.9204551	4203152.743	594820.7444	03-AUG-13 12:40:04PM	1883.574707
86-5	37.97116986	-109.9205583	4203165.156	594811.5289	03-AUG-13 12:39:28PM	1882.373047
86-6	37.97127622	-109.9206737	4203176.841	594801.2616	03-AUG-13 12:38:56PM	1880.931152
86P	37.97130715	-109.9204323	4203180.518	594822.4178	03-AUG-13 12:27:05PM	1882.132568
87	37.9557469	-109.927974	4201446.359	594179.8644	87	
88	37.95500418	-109.9255945	4201366.359	594389.8666	88	
88-1	37.968621	-109.9023835	4202901.007	596411.2579	03-AUG-13 8:49:19AM	1921.786621
88-2	37.96853048	-109.9022936	4202891.056	596419.269	03-AUG-13 8:48:46AM	1924.189941
88-3	37.96844834	-109.9021545	4202882.085	596431.5983	03-AUG-13 8:48:03AM	1928.996338
88-4	37.96828891	-109.9024425	4202864.098	596406.509	03-AUG-13 8:46:31AM	1930.438477
88-5	37.96835781	-109.9025459	4202871.636	596397.3335	03-AUG-13 8:50:26AM	1923.468994
88-6	37.96845596	-109.9026371	4202882.432	596389.202	03-AUG-13 8:51:04AM	1920.104492
88P	37.96845974	-109.9024042	4202883.092	596409.6503	03-AUG-13 8:30:37AM	1925.872314
89	37.9535573	-109.9449654	4201186.366	592689.8597	89	
89-1	37.96814483	-109.9512618	4202798.691	592118.4553	04-AUG-13 2:37:16PM	1841.036377
89-2	37.96808532	-109.9511555	4202792.193	592127.8654	04-AUG-13 2:36:33PM	1841.997803
89-3	37.96799387	-109.9509998	4202782.201	592141.6593	04-AUG-13 2:35:51PM	1843.679932
89-4	37.96776789	-109.9512222	4202756.907	592122.4089	04-AUG-13 2:34:09PM	1844.401123
89-5	37.96785456	-109.9513471	4202766.4	592111.3302	04-AUG-13 2:33:12PM	1841.757324
89-6	37.96794157	-109.9515056	4202775.897	592097.2915	04-AUG-13 2:31:57PM	1838.633301
89P	37.96796537	-109.9512951	4202778.746	592115.7566	04-AUG-13 2:08:03PM	1841.276855
9	38.01064133	-109.9387939	4207526.363	593159.8618	9	
90	37.9515992	-109.9477251	4200966.361	592449.8606	90	
90-1	37.96633551	-109.8917333	4202658.497	597349.7771	02-AUG-13 3:49:37PM	1937.407959
90-2	37.96643735	-109.8918345	4202669.691	597340.7557	02-AUG-13 3:49:12PM	1938.128906
90-3	37.96652922	-109.8919894	4202679.722	597327.0207	02-AUG-13 3:48:31PM	1938.369141
90-4	37.96676718	-109.8917618	4202706.364	597346.7037	02-AUG-13 3:47:42PM	1938.849854
90-5	37.96667322	-109.8916214	4202696.085	597359.1604	02-AUG-13 3:47:13PM	1938.128906
90-6	37.96657004	-109.8915141	4202684.748	597368.721	02-AUG-13 3:46:45PM	1937.407959
90P	37.96653743	-109.8917266	4202680.908	597350.0994	02-AUG-13 3:50:15PM	1937.888428
91	37.95098975	-109.9501239	4200896.361	592239.866	91	
91-1	37.96260623	-109.9118764	4202223.844	595585.2105	03-AUG-13 10:56:28AM	1913.855957
91-2	37.96267446	-109.9120191	4202231.268	595572.59	03-AUG-13 10:57:24AM	1914.817139
91-3	37.96271939	-109.912163	4202236.105	595559.8892	03-AUG-13 10:58:18AM	1914.576904
91-4	37.96293623	-109.9120285	4202260.303	595571.426	03-AUG-13 10:52:42AM	1916.018799
91-5	37.96290924	-109.9118701	4202257.471	595585.3772	03-AUG-13 10:53:31AM	1914.817139
91-6	37.962868	-109.9117506	4202253.017	595595.9231	03-AUG-13 10:54:39AM	1914.33667
92	37.95060963	-109.9083583	4200896.364	595909.8645	92	
92-1	37.96278619	-109.9362276	4202219.097	593445.8355	05-AUG-13 12:46:00PM	1851.370605
92-2	37.96266608	-109.9361211	4202205.877	593455.3463	05-AUG-13 12:46:29PM	1851.130371
92-3	37.96257639	-109.9359912	4202196.056	593466.8728	05-AUG-13 12:46:57PM	1850.649658
92-4	37.96240649	-109.9362765	4202176.918	593442.024	05-AUG-13 12:47:44PM	1850.169189
92-5	37.96251915	-109.9363682	4202189.326	593433.8259	05-AUG-13 12:48:15PM	1849.447998
92-6	37.96260154	-109.9364678	4202198.368	593424.9667	05-AUG-13 12:48:54PM	1849.447998
92P	37.96259224	-109.9362715	4202197.533	593442.2304	05-AUG-13 12:45:13PM	1851.851318
93	37.95037536	-109.9025571	4200876.358	596419.8648	93	
93-1	37.96231278	-109.9403111	4202162.48	593087.717	05-AUG-13 10:50:50AM	1864.828857
93-2	37.96215587	-109.940345	4202145.036	593084.9403	05-AUG-13 10:51:52AM	1867.472412
93-3	37.96204389	-109.9403498	4202132.606	593084.6547	05-AUG-13 10:52:48AM	1866.751465
93-4	37.96204833	-109.9407129	4202132.736	593052.7518	05-AUG-13 10:54:45AM	1866.270996
93-5	37.96218814	-109.940695	4202148.267	593054.151	05-AUG-13 10:56:14AM	1863.867676
93-6	37.96231555	-109.9406895	4202162.409	593054.4762	05-AUG-13 10:57:56AM	1861.224121
94	37.94923978	-109.8967695	4200756.365	596929.8598	94	
94-1	37.96120335	-109.9445849	4202035.119	592713.6792	05-AUG-13 9:05:20AM	1904.48291
94-2	37.96117947	-109.944794	4202032.261	592695.3379	05-AUG-13 9:03:10AM	1904.723389
94-3	37.96120319	-109.9449455	4202034.742	592681.9953	05-AUG-13 9:04:04AM	1905.444336
94-4	37.9614994	-109.9449683	4202067.586	592679.6202	05-AUG-13 9:01:41AM	1906.165283
94-5	37.96150192	-109.9447985	4202068.034	592694.535	05-AUG-13 9:00:34AM	1904.48291
94-6	37.96148415	-109.9446197	4202066.24	592710.2705	05-AUG-13 8:59:56AM	1900.878174
95	37.94823035	-109.8948497	4200646.361	597099.8648	95	
95-1	37.95886396	-109.953659	4201766.556	591919.463	04-AUG-13 4:32:10PM	1867.472412
95-2	37.95899279	-109.9535176	4201780.99	591931.7245	04-AUG-13 4:32:37PM	1868.193604
95-3	37.95905281	-109.9534401	4201787.725	591938.4536	04-AUG-13 4:33:01PM	1869.875732
95-4	37.9588679	-109.953151	4201767.494	591964.0808	04-AUG-13 4:33:42PM	1870.837158
95-5	37.9587928	-109.9532725	4201759.041	591953.4974	04-AUG-13 4:34:10PM	1870.116211
95-6	37.95869448	-109.9533757	4201748.03	591944.5555	04-AUG-13 4:34:37PM	1867.232178
96	37.94701774	-109.8809828	4200526.359	598319.8653	96	
97	37.94702729	-109.9205892	4200486.359	594839.865	97	
98	37.94640276	-109.9114935	4200426.362	595639.8625	98	
99	37.94433821	-109.8835272	4200226.367	598099.8647	99	
B1 1	37.94569474	-109.9200296	4200339.074	594890.7457	B1 1	
B1 10	37.95088925	-109.9204716	4200914.987	594845.232	B1 10	
B1 2	37.95668677	-109.9300035	4201548.593	594000.3662	B1 2	
B1 3	37.96868647	-109.9186389	4202891.564	594983.3253	B1 3	
B1 4	37.94909176	-109.9227877	4200713.188	594644.0403	B1 4	
B1 5	37.94969777	-109.9172258	4200786.093	595131.937	B1 5	
B1 6	37.95631729	-109.9259221	4201511.724	594359.401	B1 6	
B1 7	37.94910776	-109.9337918	4200703.841	593677.1806	B1 7	
