type	ident	Latitude	Longitude	y_proj	x_proj	comment	display	symbol	dist	proximity	color	altitude	depth	temp	time	wpt_class	sub_class	attrib	link	state	country	city	address	zip	facility	crossroad	ete	dtype	model	filename	ltime	magvar	geoidheight	desc	fix	sat	hdop	vdop	pdop	ageofdgpsdata	dgpsid	dir
WAYPOINT	45	37.98237646	-109.9426171	4204387.008	592858.8942	45		Flag	 Blue																					garmin GPSMap60CSX Software Version 4.20					45							
WAYPOINT	46	37.9814977	-109.8675927	4204367	599448.8935	46		Flag	 Blue																					garmin GPSMap60CSX Software Version 4.20					46							
WAYPOINT	47	37.98144716	-109.8623557	4204367	599908.8954	47		Flag	 Blue																					garmin GPSMap60CSX Software Version 4.20					47							
WAYPOINT	47-1	37.94905613	-109.8968828	4200736.511	596919.1783	22-JUL-13 11:51:46AM		City (Small)				1906.165283																	garmin GPSMap60CSX Software Version 4.20		7/22/2013 5:51			22-JUL-13 11:51:46AM								
WAYPOINT	47-2	37.94919846	-109.8969338	4200752.25	596914.5137	22-JUL-13 11:52:29AM		City (Small)				1905.68457																	garmin GPSMap60CSX Software Version 4.20		7/22/2013 5:52			22-JUL-13 11:52:29AM								
WAYPOINT	47-3	37.94931036	-109.8969884	4200764.609	596909.565	22-JUL-13 11:53:07AM		City (Small)				1908.088135																	garmin GPSMap60CSX Software Version 4.20		7/22/2013 5:53			22-JUL-13 11:53:07AM								
WAYPOINT	47-4	37.94940172	-109.8966419	4200775.106	596939.8897	22-JUL-13 11:53:54AM		City (Small)				1906.165283																	garmin GPSMap60CSX Software Version 4.20		7/22/2013 5:53			22-JUL-13 11:53:54AM								
WAYPOINT	47-5	37.949263	-109.8966153	4200759.742	596942.4065	22-JUL-13 11:54:28AM		City (Small)				1904.48291																	garmin GPSMap60CSX Software Version 4.20		7/22/2013 5:54			22-JUL-13 11:54:28AM								
WAYPOINT	47-6	37.94914641	-109.8965869	4200746.835	596945.0563	22-JUL-13 11:55:02AM		City (Small)				1904.963623																	garmin GPSMap60CSX Software Version 4.20		7/22/2013 5:55			22-JUL-13 11:55:02AM								
WAYPOINT	48	37.98130819	-109.8760216	4204337.001	598708.8965	48		Flag	 Blue																					garmin GPSMap60CSX Software Version 4.20					48							
WAYPOINT	48-1	37.94717029	-109.8811686	4200543.73	598302.3759	22-JUL-13 3:43:40PM		City (Small)				1945.098633																	garmin GPSMap60CSX Software Version 4.20		7/22/2013 9:43			22-JUL-13 3:43:40PM								
WAYPOINT	48-2	37.94715528	-109.8809964	4200542.247	598317.5231	22-JUL-13 3:44:12PM		City (Small)				1945.098633																	garmin GPSMap60CSX Software Version 4.20		7/22/2013 9:44			22-JUL-13 3:44:12PM								
WAYPOINT	48-3	37.94717364	-109.8808214	4200544.469	598332.8761	22-JUL-13 3:44:44PM		City (Small)				1945.579102																	garmin GPSMap60CSX Software Version 4.20		7/22/2013 9:44			22-JUL-13 3:44:44PM								
WAYPOINT	48-4	37.94689955	-109.8807367	4200514.146	598340.6798	22-JUL-13 3:45:40PM		City (Small)				1945.81958																	garmin GPSMap60CSX Software Version 4.20		7/22/2013 9:45			22-JUL-13 3:45:40PM								
WAYPOINT	48-5	37.94688958	-109.8809013	4200512.866	598326.2361	22-JUL-13 3:46:18PM		City (Small)				1945.579102																	garmin GPSMap60CSX Software Version 4.20		7/22/2013 9:46			22-JUL-13 3:46:18PM								
WAYPOINT	48-6	37.94690567	-109.8810523	4200514.492	598312.9434	22-JUL-13 3:46:52PM		City (Small)				1944.377441																	garmin GPSMap60CSX Software Version 4.20		7/22/2013 9:46			22-JUL-13 3:46:52PM								
WAYPOINT	49	37.98188478	-109.9582238	4204316.999	591488.8953	49		Flag	 Blue																					garmin GPSMap60CSX Software Version 4.20					49							
WAYPOINT	5	38.01627724	-109.9341559	4208157.002	593558.8966	5		Flag	 Blue																					garmin GPSMap60CSX Software Version 4.20					5							
WAYPOINT	50	37.98160524	-109.9370488	4204307.006	593348.8951	50		Flag	 Blue																					garmin GPSMap60CSX Software Version 4.20					50							
WAYPOINT	50-1	37.94451716	-109.8836512	4200246.733	598087.7681	22-JUL-13 2:00:39PM		City (Small)				1928.275391																	garmin GPSMap60CSX Software Version 4.20		7/22/2013 8:00			22-JUL-13 2:00:39PM								
WAYPOINT	50-2	37.94446293	-109.8834839	4200240.892	598102.5407	22-JUL-13 2:01:14PM		City (Small)				1928.996338																	garmin GPSMap60CSX Software Version 4.20		7/22/2013 8:01			22-JUL-13 2:01:14PM								
WAYPOINT	50-3	37.94442161	-109.8833312	4200236.467	598116.0147	22-JUL-13 2:01:49PM		City (Small)				1929.957764																	garmin GPSMap60CSX Software Version 4.20		7/22/2013 8:01			22-JUL-13 2:01:49PM								
WAYPOINT	50-4	37.94418214	-109.8834023	4200209.822	598110.0802	22-JUL-13 2:02:46PM		City (Small)				1929.717529																	garmin GPSMap60CSX Software Version 4.20		7/22/2013 8:02			22-JUL-13 2:02:46PM								
WAYPOINT	50-5	37.9442326	-109.8835665	4200215.248	598095.5924	22-JUL-13 2:03:24PM		City (Small)				1929.957764																	garmin GPSMap60CSX Software Version 4.20		7/22/2013 8:03			22-JUL-13 2:03:24PM								
WAYPOINT	50-6	37.94426311	-109.8837095	4200218.482	598082.9798	22-JUL-13 2:04:02PM		City (Small)				1929.957764																	garmin GPSMap60CSX Software Version 4.20		7/22/2013 8:04			22-JUL-13 2:04:02PM								
WAYPOINT	51	37.97946065	-109.8434854	4204167.003	601568.8984	51		Flag	 Blue																					garmin GPSMap60CSX Software Version 4.20					51							
WAYPOINT	51-1	38.01979085	-109.913715	4208567.62	595348.6771	31-JUL-13 3:16:26PM		City (Small)				1971.774658																	garmin GPSMap60CSX Software Version 4.20		7/31/2013 9:16			31-JUL-13 3:16:26PM								
WAYPOINT	51-2	38.01978967	-109.9138558	4208567.346	595336.3182	31-JUL-13 3:16:58PM		City (Small)				1979.946045																	garmin GPSMap60CSX Software Version 4.20		7/31/2013 9:16			31-JUL-13 3:16:58PM								
WAYPOINT	51-3	38.01972195	-109.9140412	4208559.641	595320.1313	31-JUL-13 3:17:41PM		City (Small)				1980.907471																	garmin GPSMap60CSX Software Version 4.20		7/31/2013 9:17			31-JUL-13 3:17:41PM								
WAYPOINT	51-4	38.01998111	-109.9141726	4208588.263	595308.2591	31-JUL-13 3:19:00PM		City (Small)				1981.147705																	garmin GPSMap60CSX Software Version 4.20		7/31/2013 9:19			31-JUL-13 3:19:00PM								
WAYPOINT	51-5	38.02001615	-109.9139945	4208592.333	595323.8483	31-JUL-13 3:19:50PM		City (Small)				1979.946045																	garmin GPSMap60CSX Software Version 4.20		7/31/2013 9:19			31-JUL-13 3:19:50PM								
WAYPOINT	51-6	38.02002554	-109.9138524	4208593.52	595336.3143	31-JUL-13 3:20:58PM		City (Small)				1977.783203																	garmin GPSMap60CSX Software Version 4.20		7/31/2013 9:20			31-JUL-13 3:20:58PM								
WAYPOINT	52	37.97962694	-109.8983641	4204126.999	596748.8994	52		Flag	 Blue																					garmin GPSMap60CSX Software Version 4.20					52							
WAYPOINT	52-1	38.01867102	-109.9131218	4208443.976	595402.1977	31-JUL-13 4:56:22PM		City (Small)				1975.139404																	garmin GPSMap60CSX Software Version 4.20		7/31/2013 10:56			31-JUL-13 4:56:22PM								
WAYPOINT	52-2	38.01860414	-109.9129657	4208436.715	595415.9914	31-JUL-13 4:55:46PM		City (Small)				1975.139404																	garmin GPSMap60CSX Software Version 4.20		7/31/2013 10:55			31-JUL-13 4:55:46PM								
WAYPOINT	52-3	38.01850355	-109.9127916	4208425.733	595431.3962	31-JUL-13 4:55:13PM		City (Small)				1975.620117																	garmin GPSMap60CSX Software Version 4.20		7/31/2013 10:55			31-JUL-13 4:55:13PM								
WAYPOINT	52-4	38.01827506	-109.9130156	4208400.15	595412.033	31-JUL-13 4:54:16PM		City (Small)				1975.860596																	garmin GPSMap60CSX Software Version 4.20		7/31/2013 10:54			31-JUL-13 4:54:16PM								
