ident,Latitude,Longitude,y_proj,x_proj,altitude,ident,Latitude,Longitude,y_proj,x_proj,altitude,,,POINT_X,POINT_Y,,,,,,,
Il2-1P,37.96023524,-109.9319236,4201941.023,593826.2038,1861.945068,IL2_2,37.95583734,-109.9448631,4201440.093,592695.019,1879.25,,,593763.8132,4203077.189,,,,,,,
Il2-2P,37.95583734,-109.9448631,4201440.093,592695.019,1879.248779,IL2_3,37.9531957,-109.9167747,4201175.312,595166.0929,1887.66,,,594363.554,4201367.273,,,,,,,
Il2-3P,37.9531957,-109.9167747,4201175.312,595166.0929,1887.660156,IL2_4,37.98176391,-109.9443618,4204317.303,592706.4499,1876.61,,,593813.7611,4201942.087,,,,,,,
IL2-4P,37.98176391,-109.9443617,4204317.303,592706.4499,1876.605225,IL2_5,37.95583927,-109.9301061,4201455.096,593991.4741,1870.12,,,592723.4231,4201426.975,,,,,,,
IL2-5P,37.95583927,-109.9301061,4201455.096,593991.4741,1870.116211,IL2_7,37.97387109,-109.9370998,4203448.802,593354.2168,1875.4,,,595166.3319,4201173.341,,,,,,,
Il2-7P,37.97387109,-109.9370997,4203448.802,593354.2168,1875.40332,IL2_8,37.95643816,-109.9402539,4201511.354,593099.1963,1891.27,,,592726.954,4204299.272,,,,,,,
Il2-8P,37.95643816,-109.9402539,4201511.354,593099.1963,1891.265137,IL2_9,37.97811359,-109.9322413,4203924.417,593775.5497,1868.67,,,593991.7266,4201455.178,,,,,,,
Il2-9P,37.97811359,-109.9322413,4203924.417,593775.5497,1868.674072,IL2_10,37.96001924,-109.9309682,4201918.019,593910.4067,1873,,,593639.8775,4201368.79,,,,,,,
Il3-10P,37.97926753,-109.9438768,4204040.797,592752.1843,1885.497314,IL3_1,37.95414923,-109.9217653,4201276.025,594726.4107,1887.66,,,593353.4122,4203444.228,,,,,,,
Il3-1P,37.95414923,-109.9217653,4201276.025,594726.4107,1887.660156,IL3_2,37.95977667,-109.9457234,4201876.328,592614.4894,1884.78,,,593097.9911,4201493.531,,,,,,,
Il3-2P,37.95977667,-109.9457234,4201876.328,592614.4894,1884.776367,IL3_3,37.98205535,-109.9456935,4204348.314,592589.1287,1875.88,,,593763.4315,4203912.89,,,,,,,
Il3-3P,37.98205535,-109.9456935,4204348.314,592589.1287,1875.884033,IL3_4,37.94623009,-109.9217592,4200397.355,594737.1186,1905.92,,,593908.4465,4201917.29,,,,,,,
IL3-4P,37.94623009,-109.9217592,4200397.355,594737.1186,1905.924805,IL3_6,37.95630949,-109.9421314,4201495.203,592934.4104,1889.34,,,594728.116,4201274.417,,,,,,,
Il3-6P,37.9563095,-109.9421314,4201495.203,592934.4104,1889.342529,IL3_7,37.95726713,-109.9469453,4201596.666,592510.2938,1884.78,,,592615.2429,4201854.541,,,,,,,
IL3-7P,37.95726713,-109.9469453,4201596.666,592510.2938,1884.776367,IL3_9,37.98065356,-109.944813,4204193.653,592668.2136,1877.81,,,592592.8012,4204356.849,,,,,,,
Il3-9P,37.98065356,-109.944813,4204193.653,592668.2136,1877.806885,IL3_10,37.97926753,-109.9438768,4204040.797,592752.1843,1885.5,,,594737.1753,4200394.362,,,,,,,
Il4-10P,37.97925353,-109.9387363,4204044.378,593203.666,1895.831299,IL4_2,37.96824114,-109.9247647,4202836.562,594444.8461,1867.95,,,593787.7026,4203464.561,,,,,,,
Il4-2P,37.96824114,-109.9247647,4202836.562,594444.8461,1867.953125,IL4_3,37.95492447,-109.922852,4201360.938,594629.9419,1882.85,,,592936.4353,4201493.771,,,,,,,
Il4-3P,37.95492447,-109.922852,4201360.938,594629.9419,1882.853516,IL4_4,37.95706672,-109.941061,4201580.29,593027.4904,1893.67,,,592491.6174,4201587.769,,,,,,,
Il4-4P,37.95706672,-109.941061,4201580.29,593027.4904,1893.668213,IL4_5,37.95924844,-109.9301552,4201833.314,593982.814,1870.84,,,593722.6701,4203085.949,,,,,,,
Il4-5P,37.95924844,-109.9301552,4201833.314,593982.814,1870.837158,IL4_7,37.97278027,-109.9312851,4203333.614,593866.3161,1869.15,,,592683.4925,4204188.289,,,,,,,
Il4-7P,37.97278027,-109.9312851,4203333.614,593866.3161,1869.154785,IL4_8,37.96950722,-109.9237093,4202978.113,594535.9246,1885.5,,,592755.2908,4204025.371,,,,,,,
Il4-8P,37.96950722,-109.9237093,4202978.113,594535.9246,1885.497314,IL4_9,37.95729588,-109.9318476,4201614.959,593836.6227,1888.38,,,592984.214,4201609.867,,,,,,,
Il4-9P,37.95729588,-109.9318476,4201614.959,593836.6227,1888.381104,IL4_10,37.97925353,-109.9387363,4204044.378,593203.666,1895.83,,,594445.2082,4202827.327,,,,,,,
M1-10P,37.95085372,-109.9331961,4200898.805,593726.3351,1878.768066,M1_1,37.94830117,-109.9263933,4200622.452,594327.2939,1890.78,,,594631.9474,4201359.127,,,,,,,
M1-1P,37.94830117,-109.9263933,4200622.452,594327.2939,1890.784424,M1_2,37.94755275,-109.9269675,4200538.829,594277.7958,1894.87,,,593034.1153,4201572.808,,,,,,,
M1-2P,37.94755275,-109.9269675,4200538.829,594277.7958,1894.869873,M1_4,37.94896795,-109.9296886,4200693.103,594036.906,1888.38,,,593983.2677,4201830.742,,,,,,,
M1-4P,37.94896795,-109.9296886,4200693.103,594036.906,1888.381104,M1_5,37.95943905,-109.9273559,4201857.291,594228.4883,1863.87,,,592338.96,4203852.253,,,,,,,
M1-5P,37.95943905,-109.9273559,4201857.291,594228.4883,1863.867676,M1_6,37.95013195,-109.9264233,4200825.557,594322.3165,1894.63,,,593866.1442,4203315.861,,,,,,,
M1-6P,37.95013195,-109.9264233,4200825.557,594322.3165,1894.629639,M1_7,37.94750079,-109.9293084,4200530.696,594072.1897,1894.87,,,594535.6535,4202977.444,,,,,,,
M1-7P,37.94750079,-109.9293084,4200530.696,594072.1897,1894.869873,M1_8,37.95584883,-109.91891,4201467.513,594975.0762,1875.16,,,593836.905,4201612.89,,,,,,,
M1-8P,37.95584883,-109.91891,4201467.513,594975.0762,1875.162842,M1_10,37.95085372,-109.9331961,4200898.805,593726.3351,1878.77,,,593194.468,4204062.008,,,,,,,
M2-10P,37.95237537,-109.9274837,4201073.404,594226.2837,1883.814941,M2_1,37.95659406,-109.9212695,4201547.798,594766.8271,1872.76,,,594890.743,4200339.083,,,,,,,
M2-1P,37.95659406,-109.9212695,4201547.798,594766.8271,1872.759766,M2_3,37.95942748,-109.9288212,4201854.526,594099.7752,1864.11,,,594000.3652,4201548.599,,,,,,,
M2-3P,37.95942748,-109.9288212,4201854.526,594099.7752,1864.10791,M2_5,37.94963834,-109.9262644,4200770.949,594336.9106,1892.71,,,594983.325,4202891.571,,,,,,,
M2-5P,37.94963834,-109.9262644,4200770.949,594336.9106,1892.707031,M2_6,37.95896857,-109.9248354,4201807.642,594450.5101,1859.54,,,594644.0365,4200713.194,,,,,,,
M2-6P,37.95896857,-109.9248354,4201807.642,594450.5101,1859.541748,M2_7,37.95552076,-109.9177943,4201432.25,595073.519,1873.24,,,595131.9296,4200786.097,,,,,,,
M2-7P,37.95552076,-109.9177943,4201432.25,595073.519,1873.240479,M2_8,37.94855163,-109.9292061,4200647.396,594079.8343,1885.74,,,594359.3963,4201511.732,,,,,,,
M2-8P,37.94855163,-109.9292061,4200647.396,594079.8343,1885.737549,M2_9,37.94838424,-109.9282748,4200629.765,594161.8754,1894.87,,,593677.176,4200703.848,,,,,,,
M2-9P,37.94838424,-109.9282748,4200629.765,594161.8754,1894.869873,M2_10,37.95237537,-109.9274837,4201073.404,594226.2837,1883.81,,,593686.0851,4200982.109,,,,,,,
M3-1P,37.95327491,-109.9297001,4201170.974,594030.4064,1875.40332,M3_1,37.95327491,-109.9297001,4201170.974,594030.4064,1875.4,,,595311.8252,4200684.856,,,,,,,
M3-2P,37.95791245,-109.9253478,4201689.94,594406.8491,1881.892334,M3_2,37.95791245,-109.9253478,4201689.94,594406.8491,1881.89,,,594845.2249,4200914.987,,,,,,,
M3-3P,37.95821177,-109.9216125,4201726.944,594734.6165,1871.79834,M3_3,37.95821177,-109.9216125,4201726.944,594734.6165,1871.8,,,593960.1043,4201057.318,,,,,,,
M3-5P,37.95772252,-109.9221397,4201672.122,594688.9278,1874.922607,M3_5,37.95772252,-109.9221397,4201672.122,594688.9278,1874.92,,,595422.2413,4200843.546,,,,,,,
M3-7P,37.94856981,-109.9296931,4200648.923,594037.0232,1891.024658,M3_7,37.94856981,-109.9296931,4200648.923,594037.0232,1891.02,,,593913.6272,4201002.135,,,,,,,
M3-8P,37.9589368,-109.927981,4201800.932,594174.2131,1867.712891,M3_8,37.9589368,-109.927981,4201800.932,594174.2131,1867.71,,,594989.3983,4200641.042,,,,,,,
M4-2P,37.95881325,-109.9256025,4201789.631,594383.3255,1866.270996,M4_2,37.95881325,-109.9256025,4201789.631,594383.3255,1866.27,,,594104.919,4203385.044,,,,,,,
M4-3P,37.95754457,-109.9231026,4201651.399,594604.57,1867.953125,M4_3,37.95754457,-109.9231026,4201651.399,594604.57,1867.95,,,592236.8591,4201497.28,,,,,,,
