id,top,bottom,Horizon,DryHue,DryValue,DryChroma,MoistHue,MoistValue,MoistChroma,Texture,FGr,Gr,CoGr,CB,CH,SandPercent,SandSize,ClayPercent,pH,Effervescence,Elevation,Elevation,Landform,Aspect,Slope,SlopeShape,ParentMaterial1,ParentMaterial2,BedrockGeology1,BedrockGeology2,SoilDepthClass,CarbonateStage,BioticCrustClass
B2_8,58,131,C,7.5YR,6,4,7.5YR,4,4,SL,NA,NA,NA,NA,NA,70,VF,12,8.3,VE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B2_8,131,156,Ab,5YR,5,4,5YR,3,4,L,NA,NA,NA,NA,NA,50,VF,18,8.1,VE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B2_9,0,5,A,5YR,5,6,5YR,4,4,SL,1,NA,NA,NA,NA,60,F,7,7.5,NE,6215,1894.355035,BS,100,5,VL,Residuum,NA,Sandstone,NA,Shallow,1,1
B2_9,5,17,B,7.5YR,5,4,7.5YR,4,4,SL,4,NA,NA,NA,NA,60,F,7,7.6,SL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B2_9,17,27,Cr,7.5YR,6,5,7.5YR,4,4,SL,4,5,NA,NA,NA,70,F,7,7.8,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B2_9,27,27,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B2_10,0,5,A,7.5YR,5,4,7.5YR,3,4,SL,NA,NA,NA,NA,NA,50,VF,5,6.4,NE,6169,1880.334065,SUMMIT,210,1,VV,Eolian,Residuum,Sandstone,NA,Very Deep,1,1
B2_10,5,20,B,7.5YR,4,6,7.5YR,3,4,L,NA,NA,NA,NA,NA,45,VF,8,6.4,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B2_10,20,175,B2,7.5YR,6,4,7.5YR,4,4,L,2,5,NA,NA,NA,50,VF,8,8.2,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B2_10,175,200,CB,7.5YR,7,4,7.5YR,5,4,LS,5,5,NA,NA,NA,75,MIX,3,8.6,VE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B3_1,0,6,A,5YR,6,6,5YR,4,4,SL,NA,NA,NA,NA,NA,60,F,5,7.6,SL,6124,1866.617898,SH,310,6,VC,Eolian,NA,Sandstone,NA,Moderately Deep,1,1
B3_1,6,13,B,5YR,6,6,5YR,4,6,SL,NA,NA,NA,NA,1,65,F,7,7.6,SL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B3_1,13,52,Bk,5YR,7,3,5YR,6,4,L,NA,NA,NA,NA,NA,45,F,10,8.2,VE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B3_1,52,81,B',5YR,7,4,5YR,5,6,SL,NA,NA,NA,NA,NA,74,MIX,5,8.4,VE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B3_1,81,81,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B3_2,0,4,A,7.5YR,5,4,7.5YR,3,4,SL,2,NA,NA,NA,NA,55,F,5,7.6,SL,6202,1890.392587,SH,250,4,VV,Eolian,Residuum,Sandstone,NA,Moderately Deep,1,0
B3_2,4,10,B,7.5YR,5,4,7.5YR,3,4,SL,1,NA,NA,NA,NA,45,F,5,7.8,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B3_2,10,40,B2,5YR,6,4,5YR,4,4,SL,2,NA,NA,NA,NA,50,F,5,8.1,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B3_2,40,67,Cr,5YR,8,2,5YR,7,4,SL,3,4,NA,NA,NA,55,MIX,3,8.6,VE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B3_2,67,67,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B3_3,0,5,A,7.5YR,6,4,7.5YR,4,4,SL,NA,NA,NA,NA,NA,50,F,5,7.6,SL,6161,1877.895635,BS,90,2,LL,Eolian,NA,Sandstone,NA,Very Deep,0,0
B3_3,5,13,B,7.5YR,6,4,7.5YR,4,4,SL,NA,NA,NA,NA,NA,65,VF,10,8,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B3_3,13,60,B2,7.5YR,7,4,7.5YR,5,4,SL,NA,NA,NA,NA,NA,55,F,7,8,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B3_3,60,135,B3,7.5YR,7,4,7.5YR,6,4,SL,NA,NA,NA,NA,NA,50,F,5,8.2,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B3_3,135,165,Bt,7.5YR,6,4,7.5YR,5,4,SiL,NA,NA,NA,NA,NA,20,VF,20,8.2,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B3_3,165,200,Ab,5YR,6,6,5YR,4,6,SL,NA,NA,NA,NA,NA,65,F,5,7.5,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B3_4,0,7,A,7.5YR,6,4,7.5YR,4,4,SL,NA,NA,NA,NA,NA,70,F,3,7.6,NE,6147,1873.628383,TS,100,5,LC,Eolian,Residuum,Sandstone,NA,Deep,0,0
B3_4,7,21,B,5YR,6,6,5YR,5,6,SL,NA,NA,NA,NA,NA,65,F,3,7.8,SL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B3_4,21,127,B2,5YR,7,6,5YR,5,6,SL,2,NA,NA,NA,NA,70,F,3,8.2,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B3_4,127,148,Cr,5YR,8,3,5YR,6,4,LS,7,1,NA,NA,NA,75,F,3,8.6,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B3_4,148,148,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B3_5,0,5,A,7.5YR,6,6,7.5YR,4,6,L,NA,NA,NA,NA,NA,45,VF,15,7.8,ST,6213,1893.745428,GULLY,35,1,LC,Eolian,Alluvium,Sandstone,NA,Very Deep,1,0
B3_5,5,14,Ap,7.5YR,5,4,7.5YR,4,4,L,NA,NA,NA,NA,NA,50,VF,15,7.6,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B3_5,14,49,B,7.5YR,4,4,7.5YR,3,4,SL,NA,NA,NA,NA,NA,60,VF,18,7.8,SL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B3_5,49,64,2B,7.5YR,5,4,7.5YR,4,4,L,NA,5,NA,NA,NA,35,VF,19,8,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B3_5,64,148,2B2,7.5YR,5,4,7.5YR,4,4,L,NA,NA,NA,NA,NA,35,VF,18,8,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B3_5,148,178,3B,7.5YR,6,6,7.5YR,4,6,SL,NA,NA,NA,NA,NA,70,VF,7,8.2,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B3_6,0,5,A,7.5YR,6,4,7.5YR,4,3,SL,NA,NA,NA,NA,NA,70,F,5,7.6,VS,6128,1867.837113,SH,270,6,VV,Eolian,NA,Sandstone,NA,Very Deep,1,1
B3_6,5,18,B,7.5YR,6,4,7.5YR,4,4,SL,1,NA,NA,NA,NA,65,F,5,8.2,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B3_6,18,80,Bt,5YR,7,6,5YR,5,6,SL,NA,1,NA,NA,NA,55,F,18,8.2,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
