"id","Elevation","Aspect","Slope","SlopeShape","CarbonateStage","BioticCrustClass","DepthClass","PedonDepth","Depth200","H1.DryRed","H1.DryValue","H1.DryCClass","H1.MoistRed","H1.MoistValue","H1.MoistCClass","H1.Texture","H1.SandPercent","H1.SandSize","H1.ClayPercent","H1.pH","H1.EfferScale","H1.Depth","H1.DWA_AWC","Tot.DryRed","Tot.DryValue","Tot.DryCClass","Tot.MoistRed","Tot.MoistValue","Tot.MoistCClass","Tot.Texture","Tot.SandSize","Tot.EfferScale","DWAClay","DWASand","DWApH","DWA.AWHC","MaxClay","MaxSand","MaxpH","MaxDryValue","MaxAWHC","MaxEffervescence"
"B2_2",1881.55328,0,4,"LV",0,2,"VeryDeep",200,1,"2",6,"2","2",5,"2","SL",50,"F",5,7.8,"2",4,0.2994008344,"3","8","2","3","7","2","SL","F","4",4.7,65.8,8.265,9.678883417145,7,80,8.4,8,14.97004172,"4"
"B2_4",1896.488661,91,1,"LV",1,1,"VeryDeep",107,0,"2",6,"3","2",4,"2","SL",65,"VF",5,7.3,"0",4,0.2092885234,"3","6","3","2","4","2","SL","F","3",5.39252336448598,67.4766355140187,8.19439252336449,8.95325987,7,80,8.6,8,14.97004172,"4"
"B2_5",1876.066813,200,4,"LV",0,1,"Deep",185,0,"2",6,"2","2",4,"2","SL",60,"F",5,7.4,"2",7,0.764575609065421,"3","7","3","3","5","3","SL","F","3",5,69.6216216216216,8.32972972972973,9.25110086766486,5,70,8.6,8,9.155303766,"4"
"B2_6",1876.981224,10,3,"CC",1,1,"VeryDeep",200,1,"2",6,"2","2",4,"2","SL",55,"VF",5,7.2,"0",6,0.425031511135135,"2","7","2","2","5","2","SL","MIX","3",9.055,63.6,8.178,10.4996117262,23,70,8.6,7,12.70284261,"4"
"B2_7",1865.703487,0,10,"CL",1,1,"VeryDeep",106,0,"2",6,"2","2",4,"2","SL",60,"F",5,7.8,"2",7,0.40904795085,"2","7","2","2","5","3","SL","F","3",6.30188679245283,60,8.21037735849057,11.5926451426415,7,60,8.3,7,11.68708431,"3"
"B2_8",1878.810046,250,3,"CL",0,1,"Deep",156,0,"3",6,"2","3",4,"2","SL",75,"VF",11,8.1,"3",7,0.558766195915094,"3","6","2","3","4","2","SL","VF","4",12.3653846153846,68.6538461538462,8.22628205128205,9.65455767230769,18,75,8.3,6,12.70284261,"4"
"B2_9",1894.355035,100,5,"LV",1,1,"VeryDeep",27,0,"3",5,"3","3",4,"2","SL",60,"F",7,7.5,"0",5,0.369936020833333,"2","5","2","2","4","2","SL","F","2",7,63.7037037037037,7.65555555555556,10.7062380774074,7,70,7.8,6,11.54200385,"3"
"B3_1",1866.617898,310,6,"CV",1,1,"ModeratelyDeep",81,0,"3",6,"3","3",4,"2","SL",60,"F",5,7.6,"2",6,0.865709948888889,"3","7","2","3","6","2","SL","F","4",7.58024691358025,58.2222222222222,8.17530864197531,12.2262520743457,10,74,8.4,7,15.90292714,"4"
"B3_10",1895.57425,250,5,"CV",1,2,"VeryDeep",42,0,"2",5,"2","2",4,"2","SL",45,"F",5,7.8,"2",8,0.686370132,"2","7","2","2","5","2","LS","F","3",6.80952380952381,70.4761904761905,7.96190476190476,8.47807309590476,15,80,8,7,9.885726076,"3"
"B3_2",1890.392587,250,4,"VV",1,0,"Shallow",67,0,"2",5,"2","2",3,"2","SL",55,"F",5,7.6,"2",4,1.24810840571429,"3","6","2","3","4","2","SL","F","3",4.19402985074627,51.865671641791,8.24477611940299,14.4192486344776,5,55,8.6,8,17.1592533,"4"
"B3_3",1877.895635,90,2,"LL",0,0,"ModeratelyDeep",200,1,"2",6,"2","2",4,"2","SL",50,"F",5,7.6,"2",5,1.11716729253731,"2","7","2","2","5","2","SL","F","3",7.92,49.9,8.0075,14.33118874595,20,65,8.2,7,20.52934586,"3"
"B3_4",1873.628383,100,5,"CL",0,0,"VeryDeep",148,0,"2",6,"2","2",4,"2","SL",70,"F",3,7.6,"0",7,0.315847167405,"3","7","3","3","5","3","SL","F","3",3,70.2364864864865,8.19054054054054,8.88892652880405,3,75,8.6,8,10.49185197,"3"
"B3_5",1893.745428,35,1,"CL",1,0,"Deep",178,0,"2",6,"3","2",4,"3","L",45,"VF",15,7.8,"3",5,0.496164922297297,"2","5","2","2","4","2","L","VF","3",15.9943820224719,46.8539325842697,7.9685393258427,14.5486931173595,19,70,8.2,6,17.54675254,"3"
"B3_6",1867.837113,270,6,"VV",1,1,"VeryDeep",169,0,"2",6,"2","2",4,"2","SL",70,"F",5,7.6,"1",5,0.257171454101124,"3","7","3","3","5","3","SL","F","3",10.8224852071006,58.8461538461538,8.46863905325444,11.4651405935503,18,65,8.8,8,11.75090901,"3"
"B3_7",1874.847598,260,5,"CC",0,2,"VeryDeep",135,0,"2",6,"3","2",4,"2","SL",65,"F",3,7.6,"0",6,0.37249178591716,"3","6","3","3","5","3","SL","F","3",4.8962962962963,73.2592592592593,8.23407407407407,7.8082994793037,7,80,8.4,8,9.285436264,"3"
"B3_8",1878.200439,246,1,"LV",0,2,"Deep",95,0,"2",5,"3","2",3,"2","SL",70,"VF",5,7.3,"0",5,0.339085324666667,"2","5","3","2","3","2","SL","VF","2",9.73684210526316,70.3157894736842,8.21157894736842,9.23551830412632,10,75,8.4,7,11.35524954,"4"
"B3_9",1874.847598,35,5,"CL",0,4,"ModeratelyDeep",200,1,"2",5,"2","2",4,"2","SL",70,"F",5,7.6,"1",7,0.674601330126316,"2","6","2","3","5","2","LS","F","3",5.7,79.65,8.372,5.416702920955,7,80,8.4,7,5.635062899,"3"
"B4_1",1888.258961,190,4,"CL",0,5,"VeryShallow",11,0,"2",6,"2","2",4,"2","SL",70,"F",5,7.8,"3",11,9.155303766,"2","6","2","2","4","2","SL","F","3",5,70,7.8,9.155303766,NA,NA,NA,NA,NA,NA
"B4_10",1874.542794,230,1,"LV",3,1,"VeryShallow",56,0,"3",5,"2","3",4,"2","LS",80,"F",8,8.1,"3",5,4.23129319357143,"3","7","2","2","6","2","SL","F","4",10.9285714285714,75.4464285714286,8.19107142857143,8.26966733717857,12,75,8.2,7,8.638339797,"4"
"B4_2",1881.248476,110,11,"VV",0,2,"ModeratelyDeep",7,0,"2",6,"2","2",4,"2","SL",60,"F",5,7.6,"2",7,1.46088553875,"2","6","2","2","4","2","SL","F","2",5,60,7.6,11.68708431,NA,NA,NA,NA,NA,NA
"B4_3",1877.590832,210,6,"VV",0,1,"VeryShallow",69,0,"2",5,"2","2",3,"2","SL",60,"F",3,7.6,"2",5,8.45920303571429,"2","6","2","2","4","3","SL","F","3",3,70.2898550724638,7.80579710144927,8.7749040714058,3,80,8,7,9.024204783,"3"
"B4_4",1890.697391,220,5,"CL",0,0,"ModeratelyDeep",153,0,"2",5,"2","2",3,"2","SL",60,"F",5,7.8,"3",5,0.846890167391304,"2","6","2","2","5","2","SL","F","4",4.79084967320261,64.8366013071895,8.35163398692811,10.4325685564118,7,75,8.6,7,11.68708431,"4"
"B4_6",1880.638869,160,6,"VV",0,2,"VeryDeep",47,0,"2",5,"2","2",3,"2","SL",65,"F",5,7.6,"2",6,0.41036965372549,"2","6","2","2","4","2","SL","F","3",5,69.3617021276596,7.77446808510638,9.32242577502128,5,70,7.8,6,9.155303766,"3"
"B4_7",1877.590832,310,1,"LL",0,1,"Shallow",176,0,"1",6,"2","2",4,"2","SL",75,"VF",5,7.4,"0",5,0.79046106606383,"2","6","2","2","4","2","SL","F","4",5.98863636363636,77.3863636363636,8.22159090909091,6.47549700490909,7,80,8.5,8,7.768319141,"4"
"B4_8",1888.258961,200,5,"VV",0,0,"VeryDeep",200,1,"2",6,"2","2",4,"2","SL",65,"F",5,7.8,"2",6,0.35674180125,"2","7","2","2","5","2","SL","F","3",5,67.05,8.176,9.92249812852,5,70,8.2,7,11.68708431,"3"
"B4_9",1891.611802,260,10,"VV",0,4,"VeryDeep",7,0,"2",6,"2","2",5,"2","SL",60,"F",5,7.8,"2",7,0.40904795085,"2","6","2","2","5","2","SL","F","2",5,60,7.8,11.68708431,NA,NA,NA,NA,NA,NA
"IL1_1",1871.189954,110,12,"CV",0,2,"Shallow",40,0,"2",6,"2","2",4,"2","SL",60,"VF",5,6.6,"0",4,1.168708431,"2","5","3","2","4","2","SL","VF","2",5,62,7.64,11.198021054,5,65,8.2,7,11.68708431,"4"
"IL1_10",1878.200439,200,12,"CC",0,1,"VeryShallow",95,0,"2",6,"2","2",4,"2","SL",60,"F",7,7.8,"1",5,7.21375240625,"2","6","2","2","4","2","SL","F","3",7,62.2105263157895,8.08421052631579,11.0431836467789,7,70,8.1,6,11.54200385,"3"
"IL1_3",1884.90612,270,1,"LL",1,3,"ModeratelyDeep",200,1,"2",6,"2","2",4,"2","SL",70,"F",7,8.2,"3",7,0.684190040505263,"2","6","2","2","4","2","SL","F","3",7,60.725,7.97,11.46487441644,7,65,8.1,6,12.83080608,"3"
"IL1_4",1878.505243,110,4,"CC",1,2,"VeryDeep",96,0,"2",5,"2","2",3,"2","SL",65,"VF",7,7.6,"0",7,0.3654925778,"2","8","2","2","4","2","SL","CO","4",6.125,57.96875,8.40416666666667,12.3605896669792,7,65,8.6,8,14.56164285,"4"
"IL1_5",1875.762009,310,4,"VV",1,2,"ModeratelyDeep",121,0,"2",6,"2","2",4,"2","SL",60,"F",5,6.5,"0",8,0.9739236925,"2","7","2","2","5","2","SL","F","3",7.97520661157025,67.0247933884298,8.02809917355372,9.82662017304959,10,80,8.4,8,11.35524954,"4"
"IL1_8",1876.981224,200,2,"LV",1,2,"Deep",148,0,"2",5,"2","2",4,"2","SL",70,"VF",7,7.2,"0",7,0.537173998743802,"2","6","2","2","4","2","SL","F","3",6.82432432432432,68.0405405405405,8.03783783783784,9.55638788325,7,80,8.3,6,11.54200385,"4"
"IL1_9",1863.874665,190,18,"VV",1,5,"Deep",8,0,"2",5,"2","2",4,"2","SL",65,"MIX",10,7.8,"3",8,0.56385968972973,"2","5","2","2","4","2","SL","MIX","3",10,65,7.8,10.43140426,NA,NA,NA,NA,NA,NA
"IL2_1",1862.045842,280,7,"LV",0,5,"VeryShallow",9,0,"2",6,"2","2",4,"2","SL",70,"F",5,7.8,"3",9,9.155303766,"2","6","2","2","4","2","SL","F","3",5,70,7.8,9.155303766,NA,NA,NA,NA,NA,NA
"IL2_10",1873.018776,10,5,"CL",0,1,"ModeratelyDeep",74,0,"2",6,"2","2",4,"2","SL",70,"F",7,6.6,"0",5,0.829056809285714,"2","6","2","2","5","2","SL","F","3",6.86486486486486,74.1891891891892,8.07027027027027,8.00554539756757,7,75,8.4,8,9.285436264,"3"
"IL2_2",1879.11485,260,3,"LV",1,1,"ModeratelyDeep",58,0,"2",6,"2","2",3,"2","SL",60,"VF",5,7.6,"2",5,0.789667858783784,"2","6","3","2","4","3","SL","F","3",6.12068965517241,51.9827586206897,8.19310344827586,14.1245508115517,10,55,8.4,7,14.97004172,"4"
"IL2_3",1887.649354,90,4,"LV",0,0,"ModeratelyDeep",200,1,"2",6,"2","2",4,"2","SL",55,"F",7,6.4,"0",4,0.884883177931035,"3","7","2","3","5","2","SL","F","3",6.29,51.1,8.058,14.3717335207,10,60,8.6,8,14.97004172,"4"
"IL2_4",1876.67642,290,3,"CL",1,1,"VeryDeep",43,0,"2",5,"2","2",3,"2","SL",65,"F",7,7.6,"2",8,0.4177058032,"2","5","2","2","4","2","SL","F","3",7,53.953488372093,7.9953488372093,13.7233382044186,7,60,8.2,5,16.67161622,"3"
"IL2_5",1869.970739,70,3,"VV",0,0,"Shallow",200,1,"2",6,"2","2",4,"2","SL",70,"F",5,7.6,"0",6,1.2774842464186,"3","6","2","3","4","2","LS","F","3",19.195,60.5,8.154,9.399306721455,38,80,8.2,8,12.62060452,"3"
"IL2_7",1875.457206,130,4,"LL",1,1,"VeryDeep",59,0,"2",5,"2","2",4,"2","SL",70,"F",7,7.6,"1",7,0.32499026924,"2","5","3","2","4","2","SL","F","4",7.50847457627119,70,8.0135593220339,9.32066985518644,10,70,8.6,7,9.493314452,"4"
"IL2_8",1891.306998,180,3,"CC",1,1,"ModeratelyDeep",46,0,"3",6,"2","3",4,"2","SL",60,"F",5,7,"0",6,1.18851704847458,"3","6","3","3","4","2","SL","VF","3",5,55.6521739130435,7.6,12.9201747013043,5,55,8.2,8,13.10513826,"4"
"IL2_9",1868.751524,210,10,"VV",1,2,"Shallow",56,0,"2",5,"2","2",3,"2","SL",75,"F",5,7.8,"2",8,1.29223200365217,"2","6","2","3","4","3","SL","F","3",5,62.1428571428571,8.14285714285714,11.0789771258571,5,60,8.2,6,11.68708431,"3"
"IL3_1",1887.649354,70,2,"LL",1,1,"Shallow",34,0,"2",5,"2","2",3,"2","SiL",40,"F",5,7.6,"2",6,3.43583192470588,"3","6","2","3","4","2","SiL","F","3",6.64705882352941,40,7.92352941176471,19.0384691847059,7,40,8.1,6,18.94605953,"3"
"IL3_10",1885.515728,290,5,"LV",1,4,"Deep",154,0,"2",6,"2","2",4,"2","SL",55,"F",5,7,"2",7,0.865433658679245,"2","7","2","2","5","2","SL","F","3",5.02597402597403,67.3701298701299,8.15909090909091,9.84387818974026,7,75,8.6,8,10.46442617,"4"
"IL3_2",1884.90612,200,6,"LV",0,2,"VeryDeep",181,0,"1",5,"2","1",3,"2","LS",75,"F",5,7.6,"0",5,0.241244611071429,"2","5","3","2","4","2","LS","F","4",5,79.8618784530387,8.23977900552486,5.14460266294475,5,80,8.4,6,5.079667113,"4"
"IL3_3",1875.762009,300,5,"LV",1,3,"VeryDeep",200,1,"2",6,"2","2",4,"2","SL",65,"VF",5,7.4,"0",6,0.346887055359116,"2","7","3","2","5","3","SL","VF","3",5.94,68.15,8.262,9.5556848126,7,75,8.4,7,11.68708431,"3"
"IL3_4",1905.937576,14,3,"VV",1,3,"VeryDeep",146,0,"2",5,"2","2",3,"2","SL",35,"F",12,6.6,"0",4,0.3900828724,"2","6","2","2","4","2","SL","F","4",14.4794520547945,58.9383561643836,7.58630136986301,11.8641465398082,18,75,8.2,6,15.39771965,"4"
"IL3_6",1889.478176,180,5,"LL",1,1,"Deep",74,0,"2",5,"2","2",4,"2","SL",70,"F",7,7.6,"0",7,0.445192149643836,"2","5","3","3","4","2","SL","F","3",7,70,8.09189189189189,9.285436264,7,70,8.3,7,9.285436264,"4"
"IL3_7",1884.90612,230,5,"CC",1,1,"ModeratelyDeep",27,0,"2",5,"2","2",4,"2","SL",70,"F",7,7.4,"0",4,0.50191547372973,"3","5","3","2","4","2","SL","F","3",7,62.962962962963,7.98148148148148,10.8733912319259,7,70,8.1,5,11.54200385,"3"
"IL3_9",1877.895635,150,2,"CL",1,1,"Shallow",106,0,"2",6,"2","2",4,"2","LS",80,"F",7,7.8,"1",6,1.25223619977778,"2","6","3","2","5","3","SL","F","3",6.60377358490566,71.5566037735849,8.21698113207547,8.71129110085849,7,75,8.4,8,9.285436264,"4"
"IL4_10",1895.879054,90,10,"VV",1,5,"Shallow",200,1,"2",6,"2","2",4,"2","SL",60,"VF",3,7.4,"2",7,2.5906309296875,"2","8","3","2","5","2","SL","VF","3",3,69.55,8.168,8.941012396325,3,75,8.4,8,10.49185197,"4"
"IL4_2",1867.837113,240,5,"VV",0,2,"VeryDeep",200,1,"2",7,"2","2",5,"2","SL",70,"F",5,7.8,"2",7,0.32043563181,"2","8","2","2","6","2","SL","F","3",5,71.4,8.316,8.33695802093,5,80,8.4,8,10.46442617,"3"
"IL4_3",1882.772495,60,8,"LV",1,1,"VeryDeep",25,0,"2",5,"2","2",3,"2","SiL",40,"F",3,7.8,"2",6,0.5970825189,"3","6","2","3","4","2","L","F","3",12.12,36.2,8.028,18.8467814512,15,35,8.1,6,18.5133175,"3"
"IL4_4",1893.745428,200,5,"CL",1,6,"Shallow",15,0,"3",7,"3","3",5,"2","SL",65,"MIX",7,7.6,"2",7,2.9239406224,"3","6","3","3","5","2","SL","MIX","3",7,67.6666666666667,7.70666666666667,9.8254670448,7,70,7.8,6,9.285436264,"3"
"IL4_5",1870.88515,80,8,"VV",1,1,"VeryShallow",23,0,"2",6,"2","2",4,"2","SL",75,"F",7,7.8,"2",6,3.1073276564,"2","5","3","2","4","2","LS","F","3",5.52173913043478,78.695652173913,8.02173913043478,5.78105459856522,5,80,8.1,5,5.079667113,"3"
"IL4_7",1869.056328,180,1,"VV",0,1,"VeryShallow",200,1,"2",5,"2","2",3,"2","SL",60,"F",3,7.4,"2",6,3.08944806521739,"3","6","2","3","4","2","SL","F","3",7.355,63.125,8.176,10.82794286005,10,70,8.2,7,11.54200385,"3"
"IL4_8",1885.515728,260,11,"VV",0,6,"VeryDeep",10,0,"2",7,"2","2",5,"2","SL",70,"F",5,8.1,"2",10,0.4577651883,"2","7","2","2","5","2","SL","F","2",5,70,8.1,9.155303766,NA,NA,NA,NA,NA,NA
"IL4_9",1888.258961,300,8,"CC",0,0,"VeryShallow",32,0,"2",6,"2","2",4,"2","SL",65,"F",5,7.6,"2",9,9.417983553,"2","6","2","2","4","2","SL","F","3",3.5625,65,7.74375,10.48413846375,3,65,7.8,6,10.49185197,"3"
"M1_1",1890.697391,191,3,"CC",0,0,"VeryDeep",182,0,"2",6,"2","2",4,"2","LS",80,"F",7,7.8,"1",8,0.247695072483516,"2","7","2","2","5","2","SL","F","3",7.85714285714286,70.7142857142857,8.31428571428571,8.93557960051648,10,75,8.6,7,10.43140426,"3"
"M1_10",1878.810046,320,5,"LL",1,0,"VeryDeep",200,1,"2",6,"2","2",4,"2","SL",70,"F",7,7.3,"1",6,0.325804781192982,"2","6","2","2","4","2","SL","F","2",7.26,68.85,8.016,9.38403153789,10,75,8.1,7,11.35524954,"3"
"M1_2",1894.964643,321,2,"LL",1,1,"VeryDeep",187,0,"2",5,"2","2",4,"2","SL",70,"F",5,8,"2",4,0.18310607532,"2","6","2","2","4","2","SL","F","4",5,70,8.19572192513369,9.155303766,5,70,8.2,7,9.155303766,"4"
"M1_4",1888.258961,270,2,"LV",1,1,"VeryDeep",171,0,"1",5,"2","2",4,"1","LS",80,"F",5,7.6,"0",4,0.108655981026738,"2","7","2","2","5","3","LS","M","3",5.33918128654971,79.1520467836257,8.24678362573099,5.53563733997076,7,80,8.4,7,7.768319141,"3"
"M1_5",1863.874665,220,1,"CC",0,0,"VeryDeep",131,0,"2",6,"2","2",4,"2","SL",60,"F",7,6.6,"0",6,0.40498259122807,"3","6","2","3","4","2","L","F","3",18.2213740458015,44.7328244274809,7.99236641221374,14.3778882626718,25,65,8.2,7,17.61520455,"3"
"M1_6",1894.659839,0,2,"CC",1,1,"Deep",181,0,"2",7,"2","2",4,"2","SL",70,"VF",5,7.6,"2",9,0.628990335068702,"2","8","2","2","6","2","SL","VF","4",6.90055248618784,74.7513812154696,8.27403314917127,7.83728522732597,7,75,8.4,8,7.768319141,"4"
"M1_7",1894.964643,340,5,"LV",1,1,"VeryDeep",200,1,"2",5,"2","2",4,"1","SL",70,"F",5,7.5,"3",8,0.404654310099447,"2","5","2","2","4","2","SL","F","3",7.375,65.25,7.79,10.20027800865,10,70,8,6,11.35524954,"3"
"M1_8",1875.152402,330,1,"CL",1,0,"VeryDeep",171,0,"2",5,"2","2",3,"2","SL",75,"F",7,8,"3",7,0.271891169935,"2","7","2","2","4","2","SL","F","3",6.7719298245614,72.3976608187134,8,8.45467021060819,10,75,8,7,9.493314452,"3"
"M2_1",1872.713972,60,5,"CV",1,1,"Deep",112,0,"2",6,"3","2",4,"2","SL",70,"F",15,6.6,"0",4,0.353061645571429,"2","6","3","2","5","3","SL","F","3",12.5446428571429,67.6339285714286,8.12857142857143,9.97589747655357,15,70,8.6,8,10.48349657,"4"
"M2_10",1883.686906,350,3,"LL",0,1,"VeryDeep",200,1,"2",6,"2","2",6,"2","SL",75,"F",5,7.6,"2",6,0.2476778007,"2","7","2","2","7","2","LS","F","3",3.56,74.025,8.0855,7.47861196538,5,80,8.2,8,9.155303766,"3"
"M2_3",1864.179468,40,5,"LL",0,1,"VeryDeep",63,0,"2",5,"2","2",4,"2","LS",80,"F",7,7.4,"0",5,0.140876572475,"2","6","2","2","4","2","LS","F","3",9.19047619047619,80,7.98730158730159,6.28363243166667,10,80,8.6,7,6.523321172,"3"
"M2_5",1892.831017,20,1,"LV",1,1,"ModeratelyDeep",176,0,"2",6,"2","2",3,"2","SL",70,"F",5,7.6,"1",4,0.581289128,"2","7","2","2","4","2","SL","VF","3",5.84090909090909,69.4886363636364,8.23409090909091,9.23385514539773,7,75,8.4,7,11.68708431,"3"
"M2_6",1859.607413,10,4,"LL",1,0,"VeryDeep",186,0,"2",6,"2","2",4,"2","SL",70,"F",5,7.4,"3",7,0.364131399784091,"3","7","2","3","4","2","SL","F","3",10.5698924731183,63.3064516129032,7.54516129032258,9.97783041245699,18,80,7.6,7,14.05416649,"3"
"M2_7",1873.32358,310,1,"LV",0,1,"VeryDeep",200,1,"2",5,"2","2",5,"2","SL",60,"F",5,8.1,"3",8,0.502670292903226,"2","7","2","2","7","2","LS","F","3",5.48,78,8.035,5.9892402876,7,80,8.1,7,7.768319141,"3"
"M2_8",1885.820532,240,4,"LV",0,0,"VeryDeep",200,1,"2",6,"2","2",4,"1","SL",75,"F",5,7.6,"2",6,0.22291002063,"2","6","2","2","4","2","SL","F","3",4.98,68.475,8.155,8.89558648368,7,80,8.2,7,11.54200385,"3"
"M2_9",1894.964643,310,2,"VV",1,1,"VeryDeep",180,0,"1",6,"2","2",3,"2","LS",80,"F",5,7.4,"0",5,0.126991677825,"2","7","2","2","5","2","LS","F","3",6.94444444444444,76.5555555555556,8.23444444444445,6.876986064,7,80,8.4,7,9.285436264,"3"
"M3_1",1875.457206,0,3,"LL",0,2,"VeryDeep",186,0,"2",6,"2","2",4,"2","SL",55,"F",5,7.6,"2",8,0.563661860645161,"3","7","2","3","5","2","SL","F","3",4.06451612903226,70.241935483871,8.25860215053763,8.72779143796774,5,75,8.6,7,11.68708431,"3"
"M3_2",1881.858083,70,5,"CC",1,1,"ModeratelyDeep",91,0,"2",5,"2","2",4,"2","SL",60,"F",7,7,"0",5,0.634176035714286,"3","6","2","3","4","2","SL","F","3",6.31868131868132,71.5934065934066,8.21978021978022,8.26917029715385,7,80,8.6,8,10.44264508,"3"
"M3_3",1871.799561,5,5,"VV",0,2,"VeryDeep",170,0,"2",6,"2","2",4,"2","SL",65,"F",5,7.6,"2",7,0.430888136411765,"2","7","3","2","5","2","SL","F","4",5,72.2352941176471,8.27294117647059,8.34989456956471,5,75,8.4,7,10.46442617,"4"
"M3_5",1874.847598,310,3,"VV",1,1,"VeryDeep",183,0,"2",6,"2","2",4,"2","SL",55,"F",12,7.6,"1",7,0.468388574863388,"2","7","2","2","5","2","SL","F","3",3.58469945355191,69.3989071038251,8.39672131147541,8.94379853272678,5,75,8.8,7,14.97004172,"3"
"M3_7",1891.002195,240,3,"LV",1,1,"VeryDeep",189,0,"2",6,"2","2",6,"2","LS",85,"F",5,8,"1",6,0.0807223174603175,"2","6","2","2","6","2","LS","F","3",5,75.3174603174603,8.22433862433862,7.17916627574603,5,80,8.4,6,9.155303766,"3"
"M3_8",1867.837113,340,2,"LV",1,1,"VeryDeep",186,0,"2",6,"2","2",4,"2","SL",55,"F",7,7.4,"1",6,0.413896970322581,"3","8","2","3","5","2","SL","F","3",11.1666666666667,60.6182795698925,8.4247311827957,11.1799622265914,15,70,8.8,8,11.96809109,"3"
"M4_2",1866.313094,40,15,"VV",0,3,"VeryDeep",200,1,"2",6,"2","2",4,"2","SL",60,"F",3,7.4,"1",8,0.47371537,"2","6","2","2","5","2","SL","F","3",3.77,64.35,8.209,10.698729715675,5,70,8.4,8,14.97004172,"4"
