id,maxClay,minClay,maxSand,minSand,maxDepth,maxpH,minpH,maxDryValue,minDryValue,maxDryChroma,minDryChroma,maxMoistValue,minMoistValue,maxMoistChroma,minMoistChroma,Surface,Subsurface,Depth50,Depth100,Depth150,Depth200,AWC25,AWC50,AWC100,MaxAWC,TotalAWC,Elevation,Slope,SlopeShape,CarbonateStage,BioticCrustClass
IL4_9,5,3,65,65,32,7.8,7.6,6,6,4,4,5,4,4,4,4,4,0,0,0,0,10.48197868,10.48413846,10.48413846,10.49185197,31.44813011,1888.258961,8,CC,0,0
M1_1,10,7,80,65,182,8.6,7.8,7,6,5,4,5,4,4,3,3,4,1,1,1,0,7.085677144,7.426998142,8.396584177,10.43140426,33.12022256,1890.697391,3,CC,0,0
M1_10,10,5,75,60,200,8.1,7.3,7,6,4,4,5,4,4,3,3,4,1,1,1,1,9.285436264,9.285436264,9.285436264,11.35524954,37.35645609,1878.810046,5,LL,1,0
M1_2,5,5,70,70,187,8.2,8,7,5,4,4,5,4,4,3,3,4,1,1,1,0,9.155303766,9.155303766,9.155303766,9.155303766,36.62121506,1894.964643,2,LL,1,1
M1_4,7,5,80,75,171,8.4,7.6,7,5,4,3,5,4,6,2,2,4,1,1,1,0,5.079667113,5.240986235,5.859376201,7.768319141,23.00732048,1888.258961,2,LV,1,1
M1_5,25,7,65,30,131,8.2,6.6,7,6,6,4,5,4,6,4,4,6,1,1,0,0,10.69794816,10.56467621,13.37432021,17.61520455,53.79610213,1863.874665,1,CC,0,0
M1_6,7,5,75,70,181,8.4,7.6,8,7,6,4,6,4,4,4,4,4,1,1,1,0,8.267633606,8.017976374,7.893147757,9.155303766,24.69194205,1894.659839,2,CC,1,1
M1_7,10,5,70,60,200,8,7.5,6,5,4,3,4,4,4,2,2,3,1,1,1,1,9.155303766,9.155303766,9.155303766,11.35524954,38.82116084,1894.964643,5,LV,1,1
M1_8,10,5,75,70,171,8,8,7,5,4,4,4,3,4,3,3,4,1,1,1,0,8.86064347,9.073039867,9.181948905,9.493314452,33.97740388,1875.152402,1,CL,1,0
M2_1,15,10,70,65,112,8.6,6.6,8,6,6,3,6,4,6,4,4,6,1,1,0,0,10.30863872,9.900976587,9.914985585,10.48349657,40.34603367,1872.713972,5,CV,1,1
M2_10,5,3,80,70,200,8.2,7.6,8,6,4,4,8,6,4,4,4,4,1,1,1,1,6.056369571,6.574376648,6.833380186,9.155303766,42.41625854,1883.686906,3,LL,0,1
M2_3,10,7,80,80,63,8.6,7.4,7,5,4,4,5,4,6,3,3,3,1,0,0,0,6.06142687,6.292374021,6.283632432,6.523321172,23.42850987,1864.179468,5,LL,0,1
M2_5,7,5,75,60,176,8.4,7.6,7,6,4,3,5,3,4,4,4,4,1,1,1,0,7.990236681,8.267633606,9.015282351,11.68708431,45.53433012,1892.831017,1,LV,1,1
M2_6,18,5,80,45,186,7.6,7.4,7,5,4,3,5,4,4,3,4,4,1,1,1,0,7.91332555,7.671829785,7.728611299,14.05416649,45.21278584,1859.607413,4,LL,1,0
M2_7,7,5,80,60,200,8.1,8,7,5,4,4,7,5,4,4,4,4,1,1,1,1,7.194040616,6.136853865,6.414856097,11.68708431,29.61473768,1873.32358,1,LV,0,1
M2_8,7,3,80,60,200,8.2,7.6,7,6,4,3,5,4,4,2,2,4,1,1,1,1,5.243917044,5.761924121,6.427153922,11.54200385,30.61819117,1885.820532,4,LV,0,0
M2_9,7,5,80,70,180,8.4,7.4,7,6,6,4,5,3,4,3,3,4,1,1,1,0,8.444282434,8.864859349,7.870524596,9.285436264,20.00016628,1894.964643,2,VV,1,1
M3_1,5,3,75,55,186,8.6,7.6,7,6,4,4,6,4,6,3,3,6,1,1,1,0,12.14086157,10.53556277,9.309074055,13.10513826,48.13229378,1875.457206,3,LL,0,2
M3_2,7,5,80,60,91,8.6,7,8,5,6,1,6,4,4,4,4,4,1,0,0,0,10.66251683,10.04340908,8.269170297,11.54200385,36.34975231,1881.858083,5,CC,1,1
M3_3,5,5,75,65,170,8.4,7.6,7,6,6,4,5,4,4,4,4,4,1,1,1,0,9.888412312,9.521858039,8.993586954,10.46442617,37.51449013,1871.799561,5,VV,0,2
M3_5,12,3,75,50,183,8.8,7.6,7,5,6,4,5,3,6,4,4,6,1,1,1,0,14.20703441,11.2799217,9.186152714,14.97004172,43.33164583,1874.847598,3,VV,1,1
M3_7,5,5,85,70,189,8.4,8,6,6,4,4,6,6,4,4,4,4,1,1,1,0,7.568291582,7.844306751,7.637320386,9.155303766,24.2080579,1891.002195,3,LV,1,1
M3_8,15,5,70,55,186,8.8,7.4,8,6,6,3,7,4,6,3,3,6,1,1,1,0,11.17182039,10.92838665,11.27051482,12.83080608,67.76594973,1867.837113,2,LV,1,1
M4_2,5,3,70,50,200,8.4,7.4,8,6,4,4,6,3,4,4,4,4,1,1,1,1,10.65687266,9.856270599,9.757086396,14.97004172,74.97291744,1866.313094,15,VV,0,3
M4_3,23,5,70,40,188,8.6,7.8,8,6,6,2,8,4,6,4,4,6,1,1,1,0,9.196946165,9.241191215,9.204754115,14.5825984,63.81887734,1867.837113,2,LV,1,1
M4_4,5,3,80,60,176,8.2,7.8,8,6,6,3,6,4,6,4,4,4,1,1,1,0,11.44255268,10.73777239,8.915078057,11.68708431,33.79736378,1879.724457,4,LL,0,1
M4_5,10,5,80,75,190,8.4,7.6,7,6,6,4,6,4,6,3,3,4,1,1,1,0,5.592470653,5.712480167,6.740399654,8.284689241,21.1326755,1879.11485,2,VV,1,1
M4_6,20,3,70,60,159,8.4,6.8,7,5,6,4,5,4,6,3,3,6,1,1,1,0,10.19832253,10.34508725,10.41846961,11.03755795,41.10810778,1858.693002,5,VV,1,2
M4_7,15,3,75,50,73,8.6,8,8,5,4,2,7,3,6,4,4,6,1,0,0,0,14.10400231,13.0360467,11.83129088,14.97004172,47.13565479,1873.018776,10,LV,1,2
M4_9,25,7,55,45,67,8.4,7.6,7,5,4,4,5,3,6,4,4,4,1,0,0,0,12.88923555,12.79603908,12.77812192,12.97694987,51.48754843,1882.467691,0,LL,0,0
