"","DWAClay","DWASand","DWApH","H1.DWA_AWC","H1.ClayPercent","H1.SandPercent","H1.Texture","H1.SandSize","H1.pH","H1.EfferScale","H1.MoistRed","H1.MoistCClass","H1.MoistValue","Tot.MoistRed","Tot.MoistCClass","Tot.MoistValue","MaxEffervescence","Elevation","CarbonateStage","BioticCrustClass","PedonDepth","Depth200","DepthClass","SlopeShape"
"IL1_8",6.82432432432432,68.0405405405405,8.03783783783784,0.537173998743802,7,70,"SL","VF",7.2,0,2,2,4,2,2,4,4,1876.981224,1,2,121,0,"Deep","LV"
"IL1_9",10,65,7.8,0.56385968972973,10,65,"SL","MIX",7.8,3,2,2,4,2,2,4,3,1863.874665,1,5,148,0,"Deep","VV"
"IL2_1",5,70,7.8,9.155303766,5,70,"SL","F",7.8,3,2,2,4,2,2,4,3,1862.045842,0,5,9,0,"VeryShallow","LV"
"IL2_10",6.86486486486486,74.1891891891892,8.07027027027027,0.829056809285714,7,70,"SL","F",6.6,0,2,2,4,2,2,5,3,1873.018776,0,1,56,0,"ModeratelyDeep","CL"
"IL2_2",6.12068965517241,51.9827586206897,8.19310344827586,0.789667858783784,5,60,"SL","VF",7.6,2,2,2,3,2,3,4,4,1879.11485,1,1,74,0,"ModeratelyDeep","LV"
"IL2_3",6.29,51.1,8.058,0.884883177931035,7,55,"SL","F",6.4,0,2,2,4,3,2,5,4,1887.649354,0,0,58,0,"ModeratelyDeep","LV"
"IL2_4",7,53.953488372093,7.9953488372093,0.4177058032,7,65,"SL","F",7.6,2,2,2,3,2,2,4,3,1876.67642,1,1,200,1,"VeryDeep","CL"
"IL2_5",19.195,60.5,8.154,1.2774842464186,5,70,"SL","F",7.6,0,2,2,4,3,2,4,3,1869.970739,0,0,43,0,"Shallow","VV"
"IL2_7",7.50847457627119,70,8.0135593220339,0.32499026924,7,70,"SL","F",7.6,1,2,2,4,2,2,4,4,1875.457206,1,1,200,1,"VeryDeep","LL"
"IL2_8",5,55.6521739130435,7.6,1.18851704847458,5,60,"SL","F",7,0,3,2,4,3,2,4,4,1891.306998,1,1,59,0,"ModeratelyDeep","CC"
"IL2_9",5,62.1428571428571,8.14285714285714,1.29223200365217,5,75,"SL","F",7.8,2,2,2,3,3,3,4,3,1868.751524,1,2,46,0,"Shallow","VV"
"IL3_1",6.64705882352941,40,7.92352941176471,3.43583192470588,5,40,"SiL","F",7.6,2,2,2,3,3,2,4,3,1887.649354,1,1,34,0,"Shallow","LL"
"IL3_10",5.02597402597403,67.3701298701299,8.15909090909091,0.865433658679245,5,55,"SL","F",7,2,2,2,4,2,2,5,4,1885.515728,1,4,106,0,"Deep","LV"
"IL3_2",5,79.8618784530387,8.23977900552486,0.241244611071429,5,75,"LS","F",7.6,0,1,2,3,2,2,4,4,1884.90612,0,2,154,0,"VeryDeep","LV"
"IL3_3",5.94,68.15,8.262,0.346887055359116,5,65,"SL","VF",7.4,0,2,2,4,2,3,5,3,1875.762009,1,3,181,0,"VeryDeep","LV"
"IL3_4",14.4794520547945,58.9383561643836,7.58630136986301,0.3900828724,12,35,"SL","F",6.6,0,2,2,3,2,2,4,4,1905.937576,1,3,200,1,"VeryDeep","VV"
"IL3_6",7,70,8.09189189189189,0.445192149643836,7,70,"SL","F",7.6,0,2,2,4,3,2,4,4,1889.478176,1,1,146,0,"Deep","LL"
"IL3_7",7,62.962962962963,7.98148148148148,0.50191547372973,7,70,"SL","F",7.4,0,2,2,4,2,2,4,3,1884.90612,1,1,74,0,"ModeratelyDeep","CC"
"IL3_9",6.60377358490566,71.5566037735849,8.21698113207547,1.25223619977778,7,80,"LS","F",7.8,1,2,2,4,2,3,5,4,1877.895635,1,1,27,0,"Shallow","CL"
"IL4_10",3,69.55,8.168,2.5906309296875,3,60,"SL","VF",7.4,2,2,2,4,2,2,5,4,1895.879054,1,5,32,0,"Shallow","VV"
"IL4_2",5,71.4,8.316,0.32043563181,5,70,"SL","F",7.8,2,2,2,5,2,2,6,3,1867.837113,0,2,200,1,"VeryDeep","VV"
"IL4_3",12.12,36.2,8.028,0.5970825189,3,40,"SiL","F",7.8,2,2,2,3,3,2,4,3,1882.772495,1,1,200,1,"VeryDeep","LV"
"IL4_4",7,67.6666666666667,7.70666666666667,2.9239406224,7,65,"SL","MIX",7.6,2,3,2,5,3,2,5,3,1893.745428,1,6,25,0,"Shallow","CL"
"IL4_5",5.52173913043478,78.695652173913,8.02173913043478,3.1073276564,7,75,"SL","F",7.8,2,2,2,4,2,2,4,3,1870.88515,1,1,15,0,"VeryShallow","VV"
"IL4_7",7.355,63.125,8.176,3.08944806521739,3,60,"SL","F",7.4,2,2,2,3,3,2,4,3,1869.056328,0,1,23,0,"VeryShallow","VV"
"IL4_8",5,70,8.1,0.4577651883,5,70,"SL","F",8.1,2,2,2,5,2,2,5,2,1885.515728,0,6,200,1,"VeryDeep","VV"
"IL4_9",3.5625,65,7.74375,9.417983553,5,65,"SL","F",7.6,2,2,2,4,2,2,4,3,1888.258961,0,0,10,0,"VeryShallow","CC"
"M1_1",7.85714285714286,70.7142857142857,8.31428571428571,0.247695072483516,7,80,"LS","F",7.8,1,2,2,4,2,2,5,3,1890.697391,0,0,182,0,"VeryDeep","CC"
"M1_10",7.26,68.85,8.016,0.325804781192982,7,70,"SL","F",7.3,1,2,2,4,2,2,4,3,1878.810046,1,0,171,0,"VeryDeep","LL"
"M1_2",5,70,8.19572192513369,0.18310607532,5,70,"SL","F",8,2,2,2,4,2,2,4,4,1894.964643,1,1,200,1,"VeryDeep","LL"
