"id","Elevation","Aspect","Slope","CarbonateStage","BioticCrustClass","PedonDepth","Depth200","H1.DryRed","H1.DryValue","H1.DryCClass","H1.MoistRed","H1.MoistValue","H1.MoistCClass","H1.SandPercent","H1.ClayPercent","H1.pH","H1.EfferScale","H1.Depth","H1.DWA_AWC","Tot.DryRed","Tot.DryValue","Tot.DryCClass","Tot.MoistRed","Tot.MoistValue","Tot.MoistCClass","Tot.EfferScale","DWAClay","DWASand","DWApH","DWA.AWHC","Sand.50","Clay.50","pH.50","DryValue.50","EfferScale.50","AWHC.50","MaxClay","MaxSand","MaxpH","MaxDryValue","MaxAWHC","MaxEffervescence","SlopeShape","DepthClass","H1.Texture","H1.SandSize","Tot.Texture","Tot.SandSize"
"IL2_5",1869.970739,70,3,0,0,43,0,"2",6,"2","2",4,"2",70,5,7.6,"0",6,1.2774842464186,"3","6","2","3","4","2","3",19.195,60.5,8.154,9.399306721455,50,30,8.2,6,"3",11.78548214,38,80,8.2,8,12.62060452,"3","VV","Shallow","SL","F","LS","F"
"IL2_7",1875.457206,130,4,1,1,200,1,"2",5,"2","2",4,"2",70,7,7.6,"1",7,0.32499026924,"2","5","3","2","4","2","4",7.50847457627119,70,8.0135593220339,9.32066985518644,70,7,8,6,"4",9.285436264,10,70,8.6,7,9.493314452,"4","LL","VeryDeep","SL","F","SL","F"
"IL2_8",1891.306998,180,3,1,1,59,0,"3",6,"2","3",4,"2",60,5,7,"0",6,1.18851704847458,"3","6","3","3","4","2","3",5,55.6521739130435,7.6,12.9201747013043,55,5,8.2,8,"4",13.10513826,5,55,8.2,8,13.10513826,"4","CC","ModeratelyDeep","SL","F","SL","VF"
"IL2_9",1868.751524,210,10,1,2,46,0,"2",5,"2","2",3,"2",75,5,7.8,"2",8,1.29223200365217,"2","6","2","3","4","3","3",5,62.1428571428571,8.14285714285714,11.0789771258571,60,5,8.2,6,"3",11.68708431,5,60,8.2,6,11.68708431,"3","VV","Shallow","SL","F","SL","F"
"IL3_1",1887.649354,70,2,1,1,34,0,"2",5,"2","2",3,"2",40,5,7.6,"2",6,3.43583192470588,"3","6","2","3","4","2","3",6.64705882352941,40,7.92352941176471,19.0384691847059,40,7,8.1,6,"3",18.94605953,7,40,8.1,6,18.94605953,"3","LL","Shallow","SiL","F","SiL","F"
"IL3_10",1885.515728,290,5,1,4,106,0,"2",6,"2","2",4,"2",55,5,7,"2",7,0.865433658679245,"2","7","2","2","5","2","3",5.02597402597403,67.3701298701299,8.15909090909091,9.84387818974026,70,5,8.1,7,"2",9.155303766,7,75,8.6,8,10.46442617,"4","LV","Deep","SL","F","SL","F"
"IL3_2",1884.90612,200,6,0,2,154,0,"1",5,"2","1",3,"2",75,5,7.6,"0",5,0.241244611071429,"2","5","3","2","4","2","4",5,79.8618784530387,8.23977900552486,5.14460266294475,80,5,8.2,5,"4",5.079667113,5,80,8.4,6,5.079667113,"4","LV","VeryDeep","LS","F","LS","F"
"IL3_3",1875.762009,300,5,1,3,181,0,"2",6,"2","2",4,"2",65,5,7.4,"0",6,0.346887055359116,"2","7","3","2","5","3","3",5.94,68.15,8.262,9.5556848126,75,7,8.2,7,"3",7.768319141,7,75,8.4,7,11.68708431,"3","LV","VeryDeep","SL","VF","SL","VF"
"IL3_4",1905.937576,14,3,1,3,200,1,"2",5,"2","2",3,"2",35,12,6.6,"0",4,0.3900828724,"2","6","2","2","4","2","4",14.4794520547945,58.9383561643836,7.58630136986301,11.8641465398082,70,12,7.6,6,"4",9.643319988,18,75,8.2,6,15.39771965,"4","VV","VeryDeep","SL","F","SL","F"
"IL3_6",1889.478176,180,5,1,1,146,0,"2",5,"2","2",4,"2",70,7,7.6,"0",7,0.445192149643836,"2","5","3","3","4","2","3",7,70,8.09189189189189,9.285436264,70,7,8.3,7,"4",9.285436264,7,70,8.3,7,9.285436264,"4","LL","Deep","SL","F","SL","F"
