"id","top","bottom","Horizon","DryRed","DryValue","DryCClass","MoistRed","MoistValue","MoistCClass","Texture","SandPercent","SandSize","ClayPercent","pH","EfferScale","Theta_fc","Theta_pwp","AWHC","HzNum",".id","Depth","DryHue","MoistHue","DryChroma","MoistChroma","Effervescence"
"B1_9",180,180,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,NA,NA,NA,NA,NA
"B1_10",0,4,"A","2",5,"2","2",3,"2","SL",50,"VF",5,7.8,"1",0.210873721,0.061173304,14.97004172,NA,1,4,"7.5YR","7.5YR","4",3,"VS"
"B1_10",4,21,"B","3",5,"3","3",4,"2","SiL",30,"VF",7,8,"2",0.288987813,0.063144376,22.58434366,NA,2,17,"5YR","5YR","6",4,"SL"
"B1_10",21,28,"B2","2",5,"2","3",4,"2","SL",75,"F",15,8,"3",0.166867273,0.075113473,9.175379918,NA,3,7,"7.5YR","5YR","4",4,"ST"
"B1_10",28,44,"Cr","2",6,"2","2",4,"2","SL",70,"F",5,8.2,"4",0.144918306,0.053365269,9.155303766,NA,4,16,"7.5YR","7.5YR","4",4,"VE"
"B2_1",0,7,"A","2",6,"2","2",4,"2","SL",55,"F",5,7.6,"1",0.193537487,0.062486104,13.10513826,NA,1,7,"7.5YR","7.5YR","4",4,"VS"
"B2_1",7,43,"B","2",6,"2","2",4,"2","SL",65,"F",5,7.8,"2",0.16366872,0.059024459,10.46442617,NA,2,36,"7.5YR","7.5YR","4",4,"SL"
"B2_1",43,94,"B2","3",7,"2","3",5,"2","SL",60,"F",5,8.2,"3",0.178911483,0.06204064,11.68708431,NA,3,51,"5YR","5YR","4",4,"ST"
"B2_1",94,200,"C","3",7,"2","3",5,"2","LS",75,"M",3,8.4,"3",0.112720965,0.041797128,7.092383724,NA,4,106,"5YR","5YR","3",4,"ST"
"B2_2",0,4,"A","2",6,"2","2",5,"2","SL",50,"F",5,7.8,"2",0.210873721,0.061173304,14.97004172,NA,1,4,"7.5YR","7.5YR","4",4,"SL"
"B2_2",4,28,"B","3",7,"3","3",5,"2","SL",50,"F",5,8.2,"2",0.210873721,0.061173304,14.97004172,NA,2,24,"5YR","5YR","6",4,"SL"
"B2_2",28,40,"B2","3",7,"3","3",5,"3","SL",50,"F",5,8.2,"3",0.210873721,0.061173304,14.97004172,NA,3,12,"5YR","5YR","6",6,"ST"
"B2_2",40,99,"C","3",8,"2","3",7,"2","LS",80,"M",3,8.4,"3",0.083890239,0.038355544,4.553469578,NA,4,59,"5YR","5YR","3",4,"ST"
"B2_2",99,128,"Ab","3",6,"3","3",5,"3","SL",60,"F",7,7.8,"0",0.181338524,0.065918486,11.54200385,NA,5,29,"5YR","5YR","8",6,"NE"
"B2_2",128,165,"Bb","3",8,"2","3",6,"3","SL",75,"F",5,8.4,"4",0.121022648,0.046719307,7.430334021,NA,6,37,"5YR","5YR","4",6,"VE"
"B2_2",165,200,"Cb","3",8,"1","3",7,"2","SL",55,"MIX",5,8.4,"4",0.193537487,0.062486104,13.10513826,NA,7,35,"5YR","5YR","1",4,"VE"
"B2_4",0,4,"A","2",6,"3","2",4,"2","SL",65,"VF",5,7.3,"0",0.16366872,0.059024459,10.46442617,NA,1,4,"7.5YR","7.5YR","6",3,"NE"
"B2_4",4,6,"A2","2",6,"2","2",4,"2","SL",50,"F",5,7.8,"0",0.210873721,0.061173304,14.97004172,NA,2,2,"7.5YR","7.5YR","4",3,"NE"
"B2_4",6,19,"B","2",5,"3","2",3,"2","SL",60,"F",7,8,"2",0.181338524,0.065918486,11.54200385,NA,3,13,"7.5YR","7.5YR","6",4,"SL"
"B2_4",19,67,"B2","3",6,"3","2",4,"2","SL",60,"F",7,8,"3",0.181338524,0.065918486,11.54200385,NA,4,48,"5YR","7.5YR","6",4,"ST"
"B2_4",67,107,"2Cr","1",8,"1","1",7,"2","LS",80,"F",3,8.6,"4",0.083890239,0.038355544,4.553469578,NA,5,40,"10YR","10YR","2",3,"VE"
"B2_5",0,7,"A","2",6,"2","2",4,"2","SL",60,"F",5,7.4,"2",0.178911483,0.06204064,11.68708431,NA,1,7,"7.5YR","7.5YR","4",4,"SL"
"B2_5",7,34,"B","3",6,"3","3",4,"3","SL",70,"F",5,8.2,"2",0.144918306,0.053365269,9.155303766,NA,2,27,"5YR","5YR","6",6,"SL"
"B2_5",34,111,"B2","3",7,"3","3",5,"3","SL",70,"F",5,8.2,"3",0.144918306,0.053365269,9.155303766,NA,3,77,"5YR","5YR","6",6,"ST"
"B2_5",111,165,"B3","3",8,"2","3",6,"3","SL",70,"F",5,8.6,"3",0.144918306,0.053365269,9.155303766,NA,4,54,"5YR","5YR","4",6,"ST"
"B2_5",165,185,"B4","3",7,"3","3",5,"3","SL",70,"F",5,8.6,"4",0.144918306,0.053365269,9.155303766,NA,5,20,"5YR","5YR","6",6,"VE"
"B2_5",185,185,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,NA,NA,NA,NA,NA
"B2_6",0,6,"A","2",6,"2","2",4,"2","SL",55,"VF",5,7.2,"0",0.193537487,0.062486104,13.10513826,NA,1,6,"7.5YR","7.5YR","4",4,"NE"
"B2_6",6,18,"B","2",6,"3","2",4,"2","SL",60,"VF",5,8,"2",0.178911483,0.06204064,11.68708431,NA,2,12,"7.5YR","7.5YR","6",4,"SL"
"B2_6",18,48,"B2","2",6,"2","2",4,"2","SL",60,"VF",5,8,"3",0.178911483,0.06204064,11.68708431,NA,3,30,"7.5YR","7.5YR","4",4,"ST"
"B2_6",48,148,"C","2",7,"2","2",5,"2","SL",70,"MIX",5,8.2,"3",0.144918306,0.053365269,9.155303766,NA,4,100,"7.5YR","7.5YR","4",4,"ST"
