PedonID,Latitude,Longitude,Northing,Easting,altitude,CarbonateStage,ExcavationDepth,IRLDepth,IRL150,IRL100,IRL50,MaxClay,MaxRF,MaxAWC,TotalAWC,AWC25,AWC50,AWC100,ARTR2_L_Total,ARTR2_D_Total,ARTR2_ALL_Total,ARTR2_L_Mature,ARTR2_D_Mature,ARTER_ALL_Mature,ARTR2_L_GT050,ARTR2_D_GT050,ARTR2_ALL_GT050,ATCA2_L_Total,ATCA2_D_Total,ATCA2_ALL_Total,EPVI_L_Total,EPVI_D_Total,EPVI_ALL_Total,KRLA2_L_Total,KRLA2_D_total,KRLA2_ALL_total,JUOS_PIED_Total,LPI_ARTR_D_DP,LPI_ARTR_Alive,LPI_ARTR_all,Bare_Soil,PerGrass,Total_Foliar,Total_Litter
B1_7,37.94912294,-109.9337744,4200706.183,593677.7266,1891.75,1,116,116,Y,N,N,5,5,11.687,45.525,11.687,11.687,11.687,65,50,115,59,50,109,24,16,40,4,0,4,0,0,0,0,0,0,0,0.0702,0.0536,0.1238,0.1032,0.4634,0.6566,0.33
B1_8,37.95164002,-109.9336629,4200985.58,593684.3245,1873.24,0,150,150,N,N,N,10,1,11.355,36.305,8.3102,8.7326,7.51755,0,1,1,0,1,1,0,0,0,4,0,4,0,0,0,18,0,18,0,0,0,0,0.1468,0.4102,0.5166,0.4366
B1_9,37.94866327,-109.915291,4200673.929,595302.3005,1892.23,0,180,180,N,N,N,10,15,16.672,93.268,12.49588,12.77852,12.48251,0,52,52,0,52,52,0,4,4,2,0,2,0,0,0,1,0,1,0,0.0232,0,0.0232,0.1298,0.6,0.63,0.3468
B1_10,37.9457,-109.92004,4200931,594815,NA,0,44,NA,NA,NA,NA,15,40,22.584,55.884,19.22032,14.87529545,14.87529545,4,34,38,4,34,38,1,0,1,0,0,0,0,0,0,67,0,67,0,0.0234,0.01,0.0334,0.1134,0.5604,0.6234,0.247
B2_1,37.95226405,-109.930563,4201057.943,593955.8884,1880.93,0,179,150,N,N,N,5,2,13.105,42.348,11.20348,11.00496,11.07028,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,400,0,400,0,0,0,0,0.2234,0.4502,0.57,0.2566
B2_2,37.950184,-109.9139018,4200844.085,595422.3932,1881.41,0,189,150,N,N,N,7,5,14.97,81.54,14.97,12.8866,8.78969,1,79,80,1,79,80,0,4,4,25,0,25,0,0,0,2,0,2,0,0.03,0,0.03,0.1468,0.607,0.6602,0.3668
B2_4,37.94839438,-109.9188675,4200640.441,594988.4093,1896.55,1,107,67,Y,Y,N,7,30,14.97,53.071,11.64376,11.59288,9.26107,9,46,55,9,46,55,0,0,0,0,0,0,0,0,0,186,1,187,0,0.0134,0.0066,0.02,0.1,0.53,0.5802,0.34
B2_5,37.97322594,-109.9285869,4203385.787,594102.741,1876.12,0,185,185,N,N,N,5,2,11.687,48.307,9.86396,9.50948,9.33224,11,41,52,9,41,50,2,4,6,4,0,4,1,0,1,0,0,0,0,0.02,0,0.02,0.1166,0.6134,0.6532,0.2966
B2_6,37.95640262,-109.9500612,4201497.653,592237.6383,1876.85,1,175,150,N,N,N,23,4,13.105,69.349,12.02732,11.75588,10.45544,2,3,5,2,3,5,0,0,0,1,0,1,0,0,0,121,0,121,0,0.0034,0,0.0034,0.1568,0.48,0.5434,0.2966
B2_7,37.95841101,-109.9269514,4201743.633,594265.3312,1865.79,1,106,106,Y,N,N,7,3,11.687,34.916,11.687,11.6493,11.59565,2,27,29,2,27,29,0,2,2,2,2,4,0,0,0,0,0,0,0,0.0566,0,0.0566,0.1568,0.49,0.5734,0.2834
B2_8,37.97283794,-109.9233295,4203348.063,594565.0105,1878.77,0,156,150,N,N,N,18,1,12.703,47.73,8.44724,8.36612,8.89592,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0.2768,0.5064,0.5866,0.1468
B2_9,37.94790052,-109.9194379,4200585.062,594938.929,1894.39,1,27,27,Y,Y,Y,7,9,11.542,32.369,10.81976,10.70607407,10.70607407,5,54,59,5,54,59,0,3,3,1,0,1,0,0,0,48,0,48,0,0.0268,0.0102,0.037,0.23,0.5166,0.57,0.2834
B2_10,37.95355017,-109.9460994,4201185.088,592589.2741,1880.45,1,190,150,N,N,N,8,10,16.417,52.835,15.7154,15.0357,14.69585,18,30,48,18,30,48,2,0,2,0,0,0,0,0,0,4,0,4,0,0.0436,0.0202,0.0638,0.2334,0.38,0.46,0.3598
B3_1,37.97279075,-109.9268705,4203339.237,594254.0582,1866.51,1,81,81,Y,Y,N,10,1,15.903,45.857,13.36236,14.63268,12.22637037,14,31,45,12,31,43,0,1,1,0,0,0,44,0,44,0,0,0,0,0.02,0.0068,0.0268,0.1798,0.4038,0.5098,0.3698
B3_2,37.95322965,-109.9226441,4201173.098,594650.3868,1890.3,1,67,40,Y,Y,Y,5,7,17.159,58.627,15.19696,14.76808,14.4191791,4,35,39,3,35,38,0,0,0,0,0,0,0,0,0,219,0,219,0,0.0034,0,0.0034,0.1968,0.4702,0.5066,0.34
B3_3,37.95081641,-109.9164835,4200911.613,595194.7465,1877.81,0,188,150,N,N,N,20,0,20.529,84.195,12.4908,12.6609,13.60155,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0.2868,0.3532,0.4066,0.3534
B3_4,37.95672541,-109.9293485,4201554.182,594056.8981,1873.48,0,148,127,Y,N,N,3,8,10.492,35.632,9.84608,9.43504,9.22952,0,2,2,0,2,2,0,0,0,3,0,3,47,0,47,0,0,0,0,0,0,0,0.1166,0.6006,0.7002,0.3034
B3_5,37.94911698,-109.9164638,4200723.072,595198.6777,1893.67,1,178,150,N,N,N,19,5,17.547,82.921,12.5218,11.91686,14.68867,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0.2302,0.4236,0.4768,0.3102
B3_6,37.97298965,-109.9296756,4203358.47,594007.4238,1867.95,1,169,169,N,N,N,18,1,11.751,54.454,10.56256,11.15678,11.41209,2,66,68,2,66,68,1,10,11,0,0,0,0,0,0,0,0,0,0,0.0766,0,0.0766,0.1366,0.5364,0.6432,0.22
B3_7,37.97203462,-109.9299323,4203252.244,593986.0915,1874.92,0,135,135,Y,N,N,7,5,10.492,40.915,9.57468,9.38304,8.71702,6,54,60,6,54,60,0,4,4,4,1,5,10,0,10,0,0,0,1,0.0502,0.0034,0.0536,0.1568,0.4304,0.6168,0.36
B3_8,37.9507849,-109.9221265,4200902.365,594698.9987,1878.29,0,95,67,Y,Y,N,10,25,11.355,37.08,8.459,8.372,9.235631579,6,6,12,6,6,12,0,0,0,0,0,0,0,0,0,9,3,12,0,0.0068,0,0.0068,0.1834,0.4334,0.4468,0.31
B3_9,37.95164337,-109.9310355,4200988.598,593915.1594,1874.92,0,188,150,N,N,N,7,1,9.155,24.95,6.221,5.6505,5.36525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.5832,0.6566,0.2734
B3_10,37.94656788,-109.9162575,4200440.444,595220.092,1895.59,1,42,20,Y,Y,Y,15,0,17.159,31.598,11.14676,8.477857143,8.477857143,67,28,95,67,28,95,9,1,10,1,0,1,0,0,0,85,0,85,2,0.0266,0.05,0.0766,0.1364,0.3904,0.5234,0.3534
B4_1,37.97565451,-109.92847,4203655.371,594109.91,1888.14,0,11,11,Y,Y,Y,5,4,9.155,9.155,9.155,9.155,9.155,6,26,32,6,26,32,1,0,1,1,0,1,4,0,4,11,0,11,0,0.0234,0,0.0234,0.1532,0.4834,0.57,0.2398
B4_2,37.95653061,-109.9314951,4201530.403,593868.561,1881.17,0,7,7,Y,Y,Y,5,3,11.687,11.687,11.687,11.687,11.687,9,10,19,8,10,18,0,0,0,14,0,14,0,0,0,2,0,2,0,0.0234,0.0034,0.0268,0.16,0.3036,0.4132,0.2234
B4_3,37.97068781,-109.9295187,4203103.225,594024.142,1877.57,0,62,62,Y,Y,N,3,5,11.843,25.42,9.5878,9.3059,8.774695652,18,37,55,17,37,54,7,8,15,6,0,6,4,0,4,0,0,0,0,0.0566,0.0034,0.06,0.1666,0.473,0.5768,0.3266
B4_4,37.97382482,-109.9224593,4203458.449,594640.1769,1890.78,0,153,153,N,N,N,7,1,11.687,61.993,11.6348,11.6609,10.77524,0,29,29,0,29,29,0,1,1,0,0,0,0,0,0,5,0,5,0,0.0332,0,0.0332,0.1836,0.537,0.5834,0.31
B4_6,37.97480383,-109.9264699,4203563.007,594286.6665,1880.69,0,47,47,Y,Y,Y,5,1,10.464,19.619,9.46916,9.322106383,9.322106383,12,22,34,12,22,34,3,3,6,6,1,7,0,0,0,1,0,1,0,0.02,0.0332,0.0532,0.1368,0.537,0.61,0.3532
B4_7,37.95116703,-109.91523,4200951.798,595304.4269,1877.57,0,176,150,N,N,N,7,0,7.768,28.046,7.7004,7.7342,7.53606,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,12,0,12,0,0.01,0,0.01,0.0798,0.5566,0.5968,0.3834
B4_8,37.97145216,-109.9245831,4203193.03,594456.686,1888.14,0,184,150,N,N,N,5,1,11.687,41.77,10.68452,9.91976,9.53738,0,0,0,0,0,0,0,0,0,10,2,12,0,0,0,0,0,0,0,0,0,0,0.1234,0.4236,0.5934,0.3434
B4_9,37.97235045,-109.9188951,4203298.486,594955.1316,1891.51,0,7,7,Y,Y,Y,5,5,11.687,11.687,11.687,11.687,11.687,5,10,15,5,10,15,0,0,0,2,0,2,7,0,7,0,0,0,2,0.0168,0,0.0168,0.1466,0.3134,0.4566,0.2332
B4_10,37.97236076,-109.9201622,4203298.339,594843.8244,1889.58,3,56,56,Y,Y,N,12,40,8.638,31.485,8.0952,8.26776,8.269607143,0,42,42,0,42,42,0,0,0,1,1,2,0,0,0,5,0,5,1,0.0134,0,0.0134,0.29,0.3834,0.4798,0.2566
IL1_1,37.95973132,-109.9475158,4201869.516,592457.087,1871.08,0,40,40,Y,Y,Y,5,5,11.687,33.838,11.63808,11.1978,11.1978,49,23,72,48,23,71,25,5,30,1,0,1,0,0,0,0,0,0,0,0.0402,0.0866,0.1268,0.2234,0.4002,0.5468,0.27
IL1_3,37.98141028,-109.9400779,4204282.34,593083.1137,1885.02,1,172,150,N,N,N,7,1,12.831,32.559,10.11876,10.28088,10.36194,0,0,0,0,0,0,0,0,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0.1,0.487,0.58,0.2132
IL1_4,37.97704339,-109.934215,4203803.685,593603.5585,1878.53,1,96,54,Y,Y,N,7,10,14.562,48.3,12.99324,13.77762,12.36059375,47,33,80,45,33,78,4,2,6,0,0,0,6,0,6,0,0,0,0,0.0236,0.0334,0.057,0.1966,0.3934,0.58,0.2534
IL1_5,37.98181957,-109.9450736,4204322.77,592643.8611,1875.64,1,121,121,Y,N,N,10,2,11.687,56.263,10.19508,10.03024,10.25262,3,14,17,3,14,17,1,0,1,0,0,0,6,0,6,0,0,0,0,0.0234,0,0.0234,0.2168,0.4,0.4832,0.3734
IL1_8,37.95914954,-109.9470815,4201805.395,592495.9667,1877.09,1,148,148,Y,N,N,7,15,11.542,44.477,9.7364,10.6392,10.23294,3,10,13,3,10,13,1,2,3,1,0,1,0,0,0,0,0,0,0,0.0102,0.0066,0.0168,0.1066,0.4636,0.5,0.3066
IL1_9,37.9703517,-109.9325325,4203062.892,593759.8422,1863.87,1,8,8,Y,Y,Y,10,30,10.431,10.431,10.431,10.431,10.431,31,6,37,18,6,24,1,1,2,0,0,0,0,0,0,0,0,0,0,0.0136,0,0.0136,0.0434,0.0768,0.2602,0.263
IL1_10,37.9550274,-109.9258873,4201369.279,594363.1484,1878.29,0,95,NA,NA,NA,NA,7,3,11.542,32.369,11.542,11.542,11.04308421,0,6,6,0,6,6,0,1,1,8,1,9,0,0,0,77,0,77,0,0,0,0,0.0802,0.6036,0.6634,0.313
IL2_1,37.96023524,-109.9319236,4201941.023,593826.2038,1861.95,0,9,9,Y,Y,Y,5,3,9.155,9.155,9.155,9.155,9.155,15,17,32,15,17,32,0,0,0,5,0,5,0,0,0,7,0,7,0,0.02,0.01,0.03,0.1102,0.3532,0.46,0.2768
IL2_2,37.95583734,-109.9448631,4201440.093,592695.019,1879.25,1,58,43,Y,Y,Y,10,7,14.97,39.118,14.3134,14.3908,14.12462069,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,32,0,32,0,0.0034,0,0.0034,0.2134,0.4466,0.4932,0.3134
IL2_3,37.9531957,-109.9167747,4201175.312,595166.0929,1887.66,0,187,158,N,N,N,10,0,14.97,68.27,11.88536,13.42768,14.19884,23,32,55,22,29,51,2,2,4,3,0,3,0,0,0,0,0,0,0,0.0268,0.0068,0.0336,0.1266,0.6402,0.6966,0.3534
IL2_4,37.98176391,-109.9443618,4204317.303,592706.4499,1876.61,1,43,43,Y,Y,Y,7,1,16.672,38.657,14.67872,13.7235814,13.7235814,0,10,10,0,10,10,0,0,0,2,0,2,0,0,0,4,0,4,0,0.0132,0,0.0132,0.1934,0.4334,0.4734,0.3668
IL2_5,37.95583927,-109.9301061,4201455.096,593991.4741,1870.12,0,184,150,N,N,N,38,0,12.621,58.26,9.4168,10.25744,9.34497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,75,0,0,0,0,0.1368,0.52,0.5866,0.3666
IL2_7,37.97387109,-109.9370998,4203448.802,593354.2168,1875.4,1,59,59,Y,Y,N,10,1,9.493,46.633,9.30996,9.3266,9.320254237,48,30,78,44,30,74,12,4,16,4,0,4,38,0,38,0,0,0,1,0.0568,0.0532,0.11,0.2102,0.3702,0.513,0.3268
IL2_8,37.95643816,-109.9402539,4201511.354,593099.1963,1891.27,1,46,40,Y,Y,Y,5,7,13.105,51.002,12.76468,12.92004348,12.92004348,14,9,23,14,9,23,2,0,2,13,0,13,0,0,0,4,0,4,0,0.02,0.0234,0.0434,0.1432,0.3768,0.5032,0.2866
IL2_9,37.97811359,-109.9322413,4203924.417,593775.5497,1868.67,1,56,56,Y,Y,N,5,4,11.687,19.117,10.32476,11.00588,11.07885714,0,37,37,0,33,33,0,1,1,7,2,9,4,0,4,102,0,102,2,0.0202,0,0.0202,0.1632,0.4272,0.53,0.22
IL2_10,37.96001924,-109.9309682,4201918.019,593910.4067,1873,0,74,74,Y,Y,N,7,4,9.285,35.493,8.3488,8.0584,8.005216216,8,60,68,8,60,68,0,2,2,14,0,14,0,0,0,12,0,12,0,0.037,0.0136,0.0506,0.1266,0.4902,0.6102,0.28
IL3_1,37.95414923,-109.9217653,4201276.025,594726.4107,1887.66,1,34,34,Y,Y,Y,7,5,19.47,57.362,19.07176,19.03847059,19.03847059,1,31,32,1,31,32,0,0,0,3,0,3,0,0,0,3,0,3,0,0.0202,0,0.0202,0.1666,0.4866,0.5632,0.2866
IL3_2,37.95977667,-109.9457234,4201876.328,592614.4894,1884.78,0,181,150,N,N,N,5,2,7.43,17.59,5.55,5.315,5.1975,37,16,53,36,16,52,21,2,23,2,0,2,0,0,0,0,0,0,0,0.0368,0.0166,0.0534,0.1632,0.3868,0.53,0.2732
IL3_3,37.98205535,-109.9456935,4204348.314,592589.1287,1875.88,1,124,150,N,N,N,7,10,11.687,46.634,8.15816,7.92928,8.00034,0,44,44,0,44,44,0,2,2,1,0,1,31,0,31,0,0,0,0,0.0432,0,0.0432,0.08,0.5302,0.5968,0.34
IL3_4,37.94623009,-109.9217592,4200397.355,594737.1186,1905.92,1,146,150,N,N,N,18,30,19.504,110.484,15.32976,12.84502,12.42681,71,28,99,71,28,99,17,1,18,NA,NA,0,NA,NA,0,NA,NA,0,0,0.0168,0.0732,0.09,0.1934,0.4236,0.5702,0.2532
IL3_6,37.95630949,-109.9421314,4201495.203,592934.4104,1889.34,1,74,42,Y,Y,Y,7,15,9.285,27.855,9.285,9.285,9.285,58,22,80,41,21,62,7,0,7,1,0,1,0,0,0,6,0,6,0,0.0268,0.04,0.0668,0.2332,0.3834,0.47,0.2934
IL3_7,37.95726713,-109.9469453,4201596.666,592510.2938,1884.78,1,27,27,Y,Y,Y,7,15,11.542,30.112,10.81976,10.87325926,10.87325926,10,22,32,10,22,32,2,0,2,1,0,1,0,0,0,7,0,7,0,0.0268,0.0034,0.0302,0.1468,0.5032,0.6032,0.3066
IL3_9,37.98065356,-109.944813,4204193.653,592668.2136,1877.81,1,106,85,Y,Y,N,7,5,9.285,40.92,8.409,8.847,8.78775,46,31,77,46,31,77,11,1,12,0,0,0,0,0,0,1,0,1,0,0.0534,0.0532,0.1066,0.19,0.4068,0.5466,0.27
IL3_10,37.97926753,-109.9438768,4204040.797,592752.1843,1885.5,1,154,154,N,N,N,7,3,13.105,49.647,10.261,9.708,9.98128,17,18,35,16,18,34,8,3,11,8,4,12,2,0,2,3,0,3,0,0.0334,0.04,0.0734,0.1966,0.3898,0.5534,0.2468
