id,top,bottom,Horizon,DryHue,DryValue,DryChroma,MoistHue,MoistValue,MoistChroma,Texture,SandPercent,SandSize,ClayPercent,pH,Effervescence,Theta_fc,Theta_pwp,AWHC,HzNum,Elevation,Aspect,Slope,SlopeShape,CarbonateStage,BioticCrustClass
B2_5,185,185,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
B2_6,0,6,A,7.5YR,6,4,7.5YR,4,4,SL,55,VF,5,7.2,NE,0.193537487,0.062486104,13.10513826,,1876.981224,10,3,CC,1,1
B2_6,6,18,B,7.5YR,6,6,7.5YR,4,4,SL,60,VF,5,8,SL,0.178911483,0.06204064,11.68708431,,NA,NA,NA,NA,NA,NA
B2_6,18,48,B2,7.5YR,6,4,7.5YR,4,4,SL,60,VF,5,8,ST,0.178911483,0.06204064,11.68708431,,NA,NA,NA,NA,NA,NA
B2_6,48,148,C,7.5YR,7,4,7.5YR,5,4,SL,70,MIX,5,8.2,ST,0.144918306,0.053365269,9.155303766,,NA,NA,NA,NA,NA,NA
B2_6,148,175,Ab,7.5YR,5,4,7.5YR,4,4,SCL,60,VF,23,8.2,VE,0.217802771,0.107679611,11.01231603,,NA,NA,NA,NA,NA,NA
B2_6,175,200,Bb,7.5YR,6,4,7.5YR,6,6,L,50,F,18,8.6,VE,0.217291651,0.090263224,12.70284261,,NA,NA,NA,NA,NA,NA
B2_7,0,7,A,7.5YR,6,4,7.5YR,4,4,SL,60,F,5,7.8,SL,0.178911483,0.06204064,11.68708431,,1865.703487,0,10,CL,1,1
B2_7,7,37,B,5YR,6,6,7.5YR,4,6,SL,60,F,5,8.1,ST,0.178911483,0.06204064,11.68708431,,NA,NA,NA,NA,NA,NA
B2_7,37,106,B2,7.5YR,7,4,7.5YR,5,6,SL,60,F,7,8.3,ST,0.181338524,0.065918486,11.54200385,,NA,NA,NA,NA,NA,NA
B2_7,106,106,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
B2_8,0,7,A,5YR,6,4,5YR,4,3,SL,75,VF,11,8.1,ST,0.147561255,0.062948088,8.461316681,,1878.810046,250,3,LC,0,1
B2_8,7,15,BA,5YR,6,6,5YR,4,4,SL,75,VF,12,8.2,VE,0.152260151,0.065876753,8.638339797,,NA,NA,NA,NA,NA,NA
B2_8,15,58,Bw,5YR,6,4,5YR,4,6,SL,75,VF,10,8.2,VE,0.142929541,0.060082649,8.284689241,,NA,NA,NA,NA,NA,NA
B2_8,58,131,C,7.5YR,6,4,7.5YR,4,4,SL,70,VF,12,8.3,VE,0.167856754,0.071423555,9.643319988,,NA,NA,NA,NA,NA,NA
B2_8,131,156,Ab,5YR,5,4,5YR,3,4,L,50,VF,18,8.1,VE,0.217291651,0.090263224,12.70284261,,NA,NA,NA,NA,NA,NA
B2_9,0,5,A,5YR,5,6,5YR,4,4,SL,60,F,7,7.5,NE,0.181338524,0.065918486,11.54200385,,1894.355035,100,5,VL,1,1
B2_9,5,17,B,7.5YR,5,4,7.5YR,4,4,SL,60,F,7,7.6,SL,0.181338524,0.065918486,11.54200385,,NA,NA,NA,NA,NA,NA
B2_9,17,27,Cr,7.5YR,6,5,7.5YR,4,4,SL,70,F,7,7.8,ST,0.151075306,0.058220943,9.285436264,,NA,NA,NA,NA,NA,NA
B2_9,27,27,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
B2_10,0,5,A,7.5YR,5,4,7.5YR,3,4,SL,50,VF,5,6.4,NE,0.210873721,0.061173304,14.97004172,,1880.334065,210,1,VV,1,1
B2_10,5,20,B,7.5YR,4,6,7.5YR,3,4,L,45,VF,8,6.4,NE,0.229515315,0.065341083,16.41742319,,NA,NA,NA,NA,NA,NA
B2_10,20,175,B2,7.5YR,6,4,7.5YR,4,4,L,50,VF,8,8.2,ST,0.21045412,0.066891196,14.3562924,,NA,NA,NA,NA,NA,NA
B2_10,175,200,CB,7.5YR,7,4,7.5YR,5,4,LS,75,MIX,3,8.6,VE,0.112720965,0.041797128,7.092383724,,NA,NA,NA,NA,NA,NA
B3_1,0,6,A,5YR,6,6,5YR,4,4,SL,60,F,5,7.6,SL,0.178911483,0.06204064,11.68708431,,1866.617898,310,6,VC,1,1
B3_1,6,13,B,5YR,6,6,5YR,4,6,SL,65,F,7,7.6,SL,0.167764684,0.063338233,10.44264508,,NA,NA,NA,NA,NA,NA
B3_1,13,52,Bk,5YR,7,3,5YR,6,4,L,45,F,10,8.2,VE,0.2284656,0.069436328,15.90292714,,NA,NA,NA,NA,NA,NA
B3_1,52,81,B',5YR,7,4,5YR,5,6,SL,74,MIX,5,8.4,VE,0.126202266,0.047963908,7.823835798,,NA,NA,NA,NA,NA,NA
B3_1,81,81,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
B3_2,0,4,A,7.5YR,5,4,7.5YR,3,4,SL,55,F,5,7.6,SL,0.193537487,0.062486104,13.10513826,,1890.392587,250,4,VV,1,0
B3_2,4,10,B,7.5YR,5,4,7.5YR,3,4,SL,45,F,5,7.8,ST,0.231211177,0.059618644,17.1592533,,NA,NA,NA,NA,NA,NA
B3_2,10,40,B2,5YR,6,4,5YR,4,4,SL,50,F,5,8.1,ST,0.210873721,0.061173304,14.97004172,,NA,NA,NA,NA,NA,NA
B3_2,40,67,Cr,5YR,8,2,5YR,7,4,SL,55,MIX,3,8.6,VE,0.192942922,0.059012428,13.39304941,,NA,NA,NA,NA,NA,NA
B3_2,67,67,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
B3_3,0,5,A,7.5YR,6,4,7.5YR,4,4,SL,50,F,5,7.6,SL,0.210873721,0.061173304,14.97004172,,1877.895635,90,2,LL,0,0
