id,bottom,bottom,Horizon,DryHue,DryValue,DryChroma,MoistHue,MoistValue,MoistChroma,Texture,SandPercent,SandSize,ClayPercent,pH,Effervescence,Theta_fc,Theta_pwp,AWHC,HzNum
CLHS19P,85,100,Bkk,5YR,7,3,5YR,5,4,FSL,77,F,9,8.5,VE,0.129462962,0.055123567,7.433939462,5
CLHS19P,100,130,B'k,5YR,6,4,5YR,4,6,VFSL,77,VF,9,8.6,VE,0.129462962,0.055123567,7.433939462,6
CLHS19P,130,153,B'kk,2.5YR,7,3,2.5YR,4,4,VFSL,75,VF,12,8.6,VE,0.152260151,0.065876753,8.638339797,7
CLHS20P,0,3,A,7.5YR,5,4,5YR,4,3,VFSL,60,VF,10,8.2,ST,0.18588602,0.072333525,11.35524954,1
CLHS20P,3,10,BA,5YR,5,4,5YR,3,4,L,45,VF,15,8.1,ST,0.227481428,0.080616611,14.6864817,2
CLHS20P,10,32,Bk,2.5YR,5,4,2.5YR,4,4,L,50,F,18,8.1,VE,0.217291651,0.090263224,12.70284261,3
CLHS20P,32,41,Cr/Bk,2.5YR,5,4,2.5YR,4,4,L,42,F,18,8.2,VE,0.237357179,0.086944274,15.04129052,4
CLHS20P,41,46,Cr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VE,NA,NA,NA,5
CLHS20P,46,46,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
CLHS21P,0,10,A,5YR,5,6,5YR,4,4,LS,85,VF,8,8.1,VE,0.086693704,0.051921849,3.477185496,1
CLHS21P,10,26,Bk1,5YR,5,6,5YR,4,4,SL,80,VF,10,8.4,VE,0.120922531,0.055689319,6.523321172,2
CLHS21P,26,82,Bk2,5YR,5,6,5YR,4,4,LS,85,VF,5,8.4,VE,0.070626535,0.045199005,2.542753,3
CLHS21P,82,95,Bk3,5YR,5,6,5YR,4,4,LS,88,F,4,8.5,VE,0.058413863,0.046557497,1.185636547,4
CLHS22P,0,5,A,5YR,6,6,5YR,3,4,VFLS,82,VF,9,8,NE,0.105663905,0.052717318,5.294658692,1
CLHS22P,5,17,AB,5YR,5,4,5YR,4,4,VFSL,70,VF,15,8.3,VE,0.178985018,0.080127757,9.885726076,2
CLHS22P,17,53,NA,5YR,6,4,5YR,4,6,VFSL,76,VF,12,8.4,VE,0.148639225,0.064758856,8.388036908,3
