Plot Name,type,ident,lat,long,y_proj (Northing),x_proj (Easting),comment,display,symbol,unused1,dist,prox_index,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,facility,crossroad,unused2,ete,dtype,model,filename,ltime
cLHS050_10,WAYPOINT,CLHS50-10-CENTER,38.00544027,-109.9065487,4206982.054,595997.3976,13-JUL-13 2:01:57PM,0,8284,0,0,0,31,1955,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_10alternate,WAYPOINT,CLHS10alt,38.00541613,-109.9065539,4206979.37,595996.9734,12-JUL-13 7:30:24PM,0,8284,0,0,0,31,1981,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_11,WAYPOINT,CLHS11-1-0,38.00422758,-109.9117818,4206842.111,595539.5355,13-JUL-13 12:09:16PM,0,8284,0,0,0,31,1955,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_11,WAYPOINT,CLHS11-1-30,38.00433847,-109.9121021,4206854.086,595511.2732,13-JUL-13 11:58:03AM,0,8284,0,0,0,31,1957,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_11,WAYPOINT,CLHS11-3-0,38.00411635,-109.911825,4206829.724,595535.8897,13-JUL-13 12:05:37PM,0,8284,0,0,0,31,1956,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_11,WAYPOINT,CLHS11-3-30,38.0042223,-109.9121366,4206841.16,595508.3914,13-JUL-13 12:00:15PM,0,8284,0,0,0,31,1957,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_11,WAYPOINT,CLHS11-5-0,38.00399926,-109.9118801,4206816.676,595531.1996,13-JUL-13 12:11:52PM,0,8284,0,0,0,31,1957,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_11,WAYPOINT,CLHS11-5-30,38.00408735,-109.9121951,4206826.127,595503.4304,13-JUL-13 12:02:12PM,0,8284,0,0,0,31,1957,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_11,WAYPOINT,CLHS11-CENTER,38.00416371,-109.9119873,4206834.813,595521.5736,13-JUL-13 12:06:24PM,0,8284,0,0,0,31,1955,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_11alternate,WAYPOINT,CLHS11alt,38.0040239,-109.9119166,4206819.372,595527.9666,12-JUL-13 7:33:07PM,0,8284,0,0,0,31,1980,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_12,WAYPOINT,CLHS12-1-0,38.00285219,-109.9162976,4206684.874,595144.8397,12-JUL-13 10:18:56AM,0,8284,0,0,0,31,1967,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_12,WAYPOINT,CLHS12-1-30,38.0026284,-109.916478,4206659.858,595129.2927,12-JUL-13 10:00:43AM,0,8284,0,0,0,31,1967,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_12,WAYPOINT,CLHS12-3-0,38.00280701,-109.9161587,4206680.003,595157.1002,12-JUL-13 10:14:34AM,0,8284,0,0,0,31,1971,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_12,WAYPOINT,CLHS12-3-30,38.00256109,-109.9162798,4206652.593,595146.7839,12-JUL-13 10:03:19AM,0,8284,0,0,0,31,1970,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_12,WAYPOINT,CLHS12-5-0,38.00275337,-109.9159987,4206674.215,595171.2102,12-JUL-13 10:08:54AM,0,8284,0,0,0,31,1974,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_12,WAYPOINT,CLHS12-5-30,38.0025434,-109.916153,4206650.76,595157.9414,12-JUL-13 10:05:50AM,0,8284,0,0,0,31,1973,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_12,WAYPOINT,CLHS12-CENTER,38.00267634,-109.9162355,4206665.426,595150.5201,12-JUL-13 10:19:51AM,0,8284,0,0,0,31,1969,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_14,WAYPOINT,CLHS14-1-0,37.99896894,-109.908423,4206262.082,595841.2693,13-JUL-13 4:26:07PM,0,8284,0,0,0,31,2004,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_14,WAYPOINT,CLHS14-1-30,37.99882854,-109.9087013,4206246.217,595817.0192,13-JUL-13 4:11:29PM,0,8284,0,0,0,31,2001,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_14,WAYPOINT,CLHS14-3-0,37.99885738,-109.9083563,4206249.772,595847.2727,13-JUL-13 4:23:54PM,0,8284,0,0,0,31,2006,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_14,WAYPOINT,CLHS14-3-30,37.99874389,-109.9086836,4206236.843,595818.6817,13-JUL-13 4:13:38PM,0,8284,0,0,0,31,2006,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_14,WAYPOINT,CLHS14-5-0,37.99874866,-109.9083156,4206237.751,595850.9843,13-JUL-13 4:21:21PM,0,8284,0,0,0,31,2008,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_14,WAYPOINT,CLHS14-5-30,37.99863325,-109.9086029,4206224.649,595825.9131,13-JUL-13 4:17:29PM,0,8284,0,0,0,31,2007,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_14,WAYPOINT,CLHS14-CENTER,37.99881061,-109.9085162,4206244.418,595833.2922,13-JUL-13 4:14:34PM,0,8284,0,0,0,31,2006,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_14alternate,WAYPOINT,CLHS14alt,37.9987832,-109.9085203,4206241.372,595832.967,12-JUL-13 7:34:47PM,0,8284,0,0,0,31,1980,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_15,WAYPOINT,CLHS50-15-1-0,37.99725928,-109.9040838,4206076.861,596224.4984,10-JUL-13 4:56:22PM,0,8284,0,0,0,31,2017,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_15,WAYPOINT,CLHS50-15-1-30,37.99745718,-109.9043843,4206098.509,596197.8555,10-JUL-13 4:58:05PM,0,8284,0,0,0,31,2014,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_15,WAYPOINT,CLHS50-15-3-0,37.99713934,-109.9042116,4206063.421,596213.432,10-JUL-13 4:50:39PM,0,8284,0,0,0,31,2017,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_15,WAYPOINT,CLHS50-15-3-30,37.99734361,-109.9044918,4206085.796,596188.5614,10-JUL-13 5:04:24PM,0,8284,0,0,0,31,2017,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_15,WAYPOINT,CLHS50-15-5-0,37.99710413,-109.904331,4206059.391,596202.9906,10-JUL-13 4:49:36PM,0,8284,0,0,0,31,2017,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_15,WAYPOINT,CLHS50-15-5-30,37.99723598,-109.9045636,4206073.78,596182.395,10-JUL-13 5:05:35PM,0,8284,0,0,0,31,2018,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_15,WAYPOINT,CLHS50-15-CENTER,37.99726959,-109.9043208,4206077.76,596203.6718,10-JUL-13 5:09:12PM,0,8284,0,0,0,31,2018,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_16,WAYPOINT,CLHS50-16-1-0,37.99660885,-109.8691343,4206041.407,599294.0984,11-JUL-13 7:04:51PM,0,8284,0,0,0,31,2004,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
