id,Elevation,Landform,Aspect,Slope,SlopeShape,ParentMaterial1,ParentMaterial2,BedrockGeology1,BedrockGeology2,SoilDepthClass,CarbonateStage,BioticCrustClass,ExcavationDepth,IRLDepth,IRL150,
M2_5,6210,SH,20,1,VL,Eolian,NA,Sandstone,NA,Very Deep,1,1,176,150+,N,
M2_6,6101,TS,10,4,LL,Eolian,FLOODPLAIN,Sandstone,NA,Very Deep,1,0,186,150+,N,
M2_7,6146,TS,310,1,LV,Eolian,FLOODPLAIN,Sandstone,NA,Very Deep,0,1,165,150+,N,
M2_8,6187,BS,240,4,VL,Eolian,NA,Sandstone,NA,Very Deep,0,0,104,150+,N,
M2_9,6217,SUMMIT,310,2,VV,Eolian,NA,Sandstone,NA,Very Deep,1,1,180,150+,N,
M2_10,6180,BS,350,3,LL,Eolian,NA,Sandstone,NA,Very Deep,0,1,187,150+,N,
M3_1,6153,BS,0,3,LL,Eolian,NA,Sandstone,NA,Very Deep,0,2,186,150+,N,
M3_2,6174,SH,70,5,CC,Eolian,Residuum,Sandstone,NA,Moderately Deep,1,1,91,60,Y,
M3_3,6141,SH,5,5,VV,Eolian,NA,Sandstone,NA,Very Deep,0,2,170,150+,N,
M3_5,6151,SH,310,3,VV,Eolian,NA,Sandstone,NA,Very Deep,1,1,183,150+,N,
M3_7,6204,SH,240,3,VL,Eolian,NA,Sandstone,GYPSUM,Very Deep,1,1,189,150+,N,
M3_8,6128,BS,340,2,LV,Eolian,NA,Sandstone,NA,Very Deep,1,1,186,150+,N,
M4_2,6123,BS,40,15,VV,Eolian,FLOODPLAIN,Sandstone,NA,Very Deep,0,3,190,150+,N,
M4_3,6128,SUMMIT,300,2,LV,Eolian,Residuum,Sandstone,NA,Very Deep,1,1,188,150+,N,
M4_4,6167,BS,10,4,LL,Eolian,NA,Sandstone,LIMESTONE,Very Deep,0,1,176,150+,N,
M4_5,6165,FS,270,2,VV,Eolian,NA,Sandstone,NA,Very Deep,1,1,190,150+,N,
M4_6,6098,SH,50,5,VV,Eolian,Residuum,Sandstone,NA,Very Deep,1,2,159,148,Y,This is a bit ambigous but it appears that at 148 cm a IRL occures
M4_7,6145,BS,70,10,LV,Eolian,Residuum,Sandstone,NA,Moderately Deep,1,2,73,60,Y,
M4_9,6176,TS,20,0,LL,ALLUVIUM,Residuum,Sandstone,NA,Moderately Deep,0,0,67,64,Y,
