"Plot","ClassAtotal","ClassBtotal","ClassCtotal","ClassDtotal","ClassEtotal"
"M2_5",0,0,0,0,0
"M2_6",0,0,0,0,0
"M2_6",0,0,0,0,0
"M2_6",0,0,0,0,0
"M2_7",0,0,0,0,0
"M2_7",0,0,0,0,0
"M2_7",0,0,0,0,0
"M2_8",0,0,1,0,0
"M2_8",0,0,0,0,0
"M2_8",0,1,2,0,0
"M2_9",0,1,0,0,0
"M2_9",0,3,1,3,0
"M2_9",0,0,3,0,0
"M3_1",0,0,0,0,0
"M3_1",0,0,0,0,0
"M3_1",0,0,0,0,0
"M3_2",0,4,12,3,0
"M3_2",0,4,10,1,0
"M3_2",0,2,10,1,0
"M3_3",0,2,2,0,0
"M3_3",0,3,18,1,0
"M3_3",0,1,3,0,0
"M3_5",0,6,19,1,0
"M3_5",0,11,17,3,0
"M3_5",0,4,15,4,0
"M3_7",0,0,0,0,0
"M3_7",0,0,0,0,0
"M3_7",0,0,1,0,0
"M3_8",0,2,12,0,0
"M3_8",0,4,13,3,0
"M3_8",0,5,10,1,0
"M4_2",0,3,3,0,0
"M4_2",0,2,3,0,0
"M4_2",0,5,3,0,0
"M4_3",0,2,9,0,0
"M4_3",0,4,7,0,0
"M4_3",0,1,8,0,0
"M4_4",0,0,0,0,0
"M4_4",0,0,1,0,0
"M4_4",0,0,1,0,0
"M4_5",0,0,0,0,0
"M4_5",0,0,0,0,0
"M4_5",0,0,0,0,0
"M4_6",0,4,8,0,0
"M4_6",0,3,13,0,0
"M4_6",0,3,16,4,0
"M4_7",0,0,0,0,0
"M4_7",0,3,6,0,0
"M4_7",0,2,4,1,0
"M4_9",0,3,5,1,0
"M4_9",0,0,1,1,0
"M4_9",0,1,0,0,0
