"","ACHY","ACHY/D","AF01","AMSIN","AMUT","AMUT/DP","ARNO4","ARPU9","ARPU9/D","ARTR2","ARTR2/D","ARTR2/DP","ATCA2","ATCA2/D","ATCA2/DP","BAMU","BOGR","BOGR/D","BOGR2","BOGR2/D","BRTE","CEIN7","CEIN7/D","CEMO2","CHVI","CHVI/D","CHVI/DP","CHVI8","CHVI8/D","CHVI8/DP","CRAN4","CRFL5","ECCO5/D","ECCOC","ECCOC/D","ELEL","ELEL5","EPVI","ERCI6","ERMI4","FRAN2","GRFA","GUMI","GUSA","GUSA/D","GUSA/DP","GUSA2","GUSA2/D","HECO26","HECO26/D","HYACA2","HYFI/D","JUOS","JUOS/D","JUOS/DP","KRLA2","KRLA2/DP","LEMO2","MAFR3","MAFR3/DP","MAGR2","OPPO","OPPO/D","OPPO/DP","PEPU7","PEPU9","PHAU3","PHAU3/D","PHAUA3","PIED","PIED/D","PIED/DP","PLPA2","PSSP","SALS0","SHRO","SHRO/DP","SPCO4","SPCR","SPCR/D","STUPID","SYOR","SYOR2","SYOR2/D","UNKCLOVER","UNKF2A","UNKSPR","YUBA","YUBA/D","YUBA/DP"
"24",0,0,0,0,0,0,0,0,0,0.0705289672544081,0.0428211586901763,0.0151133501259446,0.0151133501259446,0,0,0,0.224181360201511,0,0,0,0,0,0,0,0,0,0.0151133501259446,0,0,0,0,0,0,0,0,0,0,0.0151133501259446,0,0,0,0,0,0,0,0,0,0,0.503778337531486,0.0277078085642317,0,0,0.0151133501259446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0554156171284635,0,0,0,0,0,0,0,0,0,0,0
"32",0,0,0,0,0,0,0,0,0,0,0.00970873786407767,0,0.0177993527508091,0,0.0177993527508091,0,0.601941747572815,0.0631067961165049,0,0,0.00970873786407767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0453074433656958,0,0,0,0,0,0,0.0177993527508091,0.00970873786407767,0,0,0,0,0.0177993527508091,0,0.0453074433656958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144012944983819,0,0,0,0,0,0,0,0,0,0,0
"33",0.0435897435897436,0,0,0,0,0,0,0,0,0.0153846153846154,0,0,0,0,0,0.0153846153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153846153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241025641025641,0,0,0,0,0.0153846153846154,0,0,0,0,0,0,0.0564102564102564,0,0,0,0.0153846153846154,0.241025641025641,0.269230769230769,0,0,0,0,0.0564102564102564,0.0153846153846154,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",0,0,0,0,0,0,0,0,0,0.0373514431239389,0,0,0.0373514431239389,0,0.0101867572156197,0,0.500848896434635,0,0,0,0,0,0,0,0,0,0,0.113752122241087,0,0.0186757215619694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0186757215619694,0,0,0,0.225806451612903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0373514431239389,0,0,0,0,0,0,0,0,0,0,0
"39",0,0,0,0,0,0,0,0.0286458333333333,0,0,0,0,0,0,0,0,0.1171875,0.015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015625,0,0,0,0,0,0,0,0,0,0,0.0572916666666667,0,0,0,0,0,0,0,0.216145833333333,0,0,0,0,0,0,0,0,0.0286458333333333,0,0,0,0,0,0,0,0.419270833333333,0.1015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",0.0101522842639594,0,0,0,0,0,0,0,0,0.0101522842639594,0.0287648054145516,0.0101522842639594,0.065989847715736,0,0,0,0.309644670050761,0.0287648054145516,0,0,0.0101522842639594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0287648054145516,0,0,0,0,0.328257191201354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169204737732657,0,0,0,0,0,0,0,0,0,0,0
"42",0,0,0,0,0,0,0,0,0,0.0353130016051364,0.0529695024077047,0,0.0353130016051364,0.00963081861958266,0,0,0.418940609951846,0,0,0,0,0,0,0,0.00963081861958266,0,0,0.0176565008025682,0,0,0,0,0,0,0,0,0,0.00963081861958266,0,0,0,0,0,0,0,0,0,0,0.33868378812199,0.0176565008025682,0,0,0.0272873194221509,0,0,0,0,0,0,0,0,0,0,0.0176565008025682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00963081861958266,0,0,0
"43",0,0,0,0,0,0,0,0,0,0.114018691588785,0,0,0,0,0,0,0.353271028037383,0.011214953271028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011214953271028,0,0,0.0841121495327103,0,0,0.011214953271028,0,0,0,0.289719626168224,0,0,0,0,0,0,0,0,0,0,0,0,0.0317757009345794,0,0.011214953271028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0616822429906542,0,0,0,0,0,0,0,0.0205607476635514,0,0,0
"44",0,0,0,0,0,0,0,0,0,0.00882352941176471,0.0808823529411765,0,0,0,0,0,0.130882352941176,0.0161764705882353,0,0,0,0,0,0,0.0735294117647059,0.00882352941176471,0.0161764705882353,0.0985294117647059,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213235294117647,0,0,0,0.114705882352941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00882352941176471,0.0897058823529412,0.00882352941176471,0,0,0,0,0,0,0,0.105882352941176,0,0,0,0,0,0,0,0,0,0,0
"47",0.0272435897435897,0,0,0,0,0,0,0,0,0.00961538461538462,0.0528846153846154,0,0.0176282051282051,0,0,0,0.427884615384615,0.0352564102564103,0,0,0,0,0,0,0.0352564102564103,0,0,0,0,0.00961538461538462,0,0,0,0,0.00961538461538462,0,0,0.00961538461538462,0,0,0,0,0,0,0.0352564102564103,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16025641025641,0,0.00961538461538462,0,0,0,0,0,0,0.0352564102564103,0,0,0,0,0,0,0,0,0,0,0
