"","id","Elevation","SlopeShape","maxClay","minClay","maxSand","minSand","maxDepth","maxpH","minpH","maxDryValue","minDryValue","maxDryChroma","minDryChroma","maxMoistValue","minMoistValue","maxMoistChroma","minMoistChroma","CarbonateStage","BioticCrustClass","Surface","Subsurface","Depth50","Depth100","Depth150","Depth200","MaxAWC","TotalAWC","AWC25","AWC50","AWC100","ARTR2","ARTR2.D","Class"
"28","B3_8",1878.200439,"LV",10,5,75,60,95,8.4,7.3,7,5,6,4,5,3,6,4,0,2,4,4,1,0,0,0,9.155,24.95,6.221,5.6505,5.36525,1,1,1
"29","B3_9",1874.847598,"LC",7,5,80,70,200,8.4,7.6,7,5,6,4,5,4,4,3,0,4,3,4,1,1,1,1,17.159,31.598,11.14676,8.477857143,8.477857143,0,0,3
"30","B4_1",1888.258961,"LC",5,5,70,70,11,7.8,7.8,6,6,4,4,4,4,4,4,0,5,4,0,0,0,0,0,9.155,9.155,9.155,9.155,9.155,1,1,1
"31","B4_10",1874.542794,"LV",12,8,80,75,56,8.2,8.1,7,5,4,3,6,4,4,4,3,1,4,4,1,0,0,0,11.687,11.687,11.687,11.687,11.687,0,1,2
"32","B4_2",1881.248476,"VV",5,5,60,60,7,7.6,7.6,6,6,4,4,4,4,4,4,0,2,4,0,0,0,0,0,11.843,25.42,9.5878,9.3059,8.774695652,1,1,1
"33","B4_3",1877.590832,"VV",3,3,80,60,69,8,7.6,7,5,4,3,6,3,6,4,0,1,4,6,1,0,0,0,11.687,61.993,11.6348,11.6609,10.77524,1,1,1
"34","B4_4",1890.697391,"LC",7,3,75,60,153,8.6,7.8,7,5,4,3,5,3,6,4,0,0,4,4,1,1,1,0,10.464,19.619,9.46916,9.322106383,9.322106383,0,1,2
"35","B4_6",1880.638869,"VV",5,5,70,65,47,7.8,7.6,6,5,4,4,4,3,4,4,0,2,4,4,0,0,0,0,7.768,28.046,7.7004,7.7342,7.53606,1,1,1
"36","B4_7",1877.590832,"LL",7,5,80,75,176,8.5,7.4,8,6,6,4,5,4,6,3,0,1,3,4,1,1,1,0,11.687,41.77,10.68452,9.91976,9.53738,0,1,2
"37","B4_8",1888.258961,"VV",5,5,70,60,200,8.2,7.8,7,6,4,4,5,4,4,4,0,0,4,4,1,1,1,1,11.687,11.687,11.687,11.687,11.687,0,0,3
"38","B4_9",1891.611802,"VV",5,5,60,60,7,7.8,7.8,6,6,4,4,5,5,4,4,0,4,4,0,0,0,0,0,8.638,31.485,8.0952,8.26776,8.269607143,1,1,1
"39","IL1_1",1871.189954,"CV",5,5,65,60,40,8.2,6.6,7,5,6,4,5,4,6,4,0,2,4,4,0,0,0,0,11.687,33.838,11.63808,11.1978,11.1978,1,1,1
"40","IL1_10",1878.200439,"CC",7,7,70,60,95,8.1,7.8,6,6,4,4,5,4,4,3,0,1,3,4,1,0,0,0,12.831,32.559,10.11876,10.28088,10.36194,0,1,2
"41","IL1_3",1884.90612,"LL",7,7,70,55,200,8.2,7.8,6,6,4,4,4,3,4,4,1,3,4,4,1,1,1,1,14.562,48.3,12.99324,13.77762,12.36059375,0,0,3
"42","IL1_4",1878.505243,"CC",7,5,65,50,96,8.6,7.6,8,5,6,1,6,3,4,4,1,2,4,4,1,0,0,0,11.687,56.263,10.19508,10.03024,10.25262,1,1,1
"43","IL1_5",1875.762009,"VV",10,5,80,60,121,8.4,6.5,8,5,6,2,7,4,6,4,1,2,4,4,1,1,0,0,11.542,44.477,9.7364,10.6392,10.23294,1,1,1
"44","IL1_8",1876.981224,"LV",7,5,80,60,148,8.3,7.2,6,5,6,4,5,4,6,4,1,2,4,4,1,1,0,0,10.431,10.431,10.431,10.431,10.431,1,1,1
"45","IL1_9",1863.874665,"VV",10,10,65,65,8,7.8,7.8,5,5,4,4,4,4,4,4,1,5,4,4,0,0,0,0,11.542,32.369,11.542,11.542,11.04308421,1,1,1
