"","X","ARTR2","ARTR2.D","ATCA2","ATCA2.D","ATCO","ATCO.D","CHNAA3","CHVI8","CHVI8.D","EPVI","JUOS","KRLA2","KRLA2.D","PIED","PIED.D","YUAN2","YUAN2.D","YUBA","Elevation","Aspect","Slope","SlopeShape","CarbonateStage","BioticCrustClass","PedonDepth","Depth200","H1.DryRed","H1.DryValue","H1.DryCClass","H1.MoistRed","H1.MoistValue","H1.MoistCClass","H1.Texture","H1.SandPercent","H1.SandSize","H1.ClayPercent","H1.pH","H1.EfferScale","H1.Depth","H1.DryHue","H1.MoistHue","H1.DryChroma","H1.MoistChroma","H1.Effervescence","Tot.DryRed","Tot.DryHue","Tot.DryValue","Tot.DryCClass","Tot.DryChroma","Tot.MoistRed","Tot.MoistHue","Tot.MoistValue","Tot.MoistCClass","Tot.MoistChroma","Tot.Texture","Tot.SandSize","Tot.Effervescence","Tot.EfferScale","Sub.DryRed","Sub.DryHue","Sub.DryValue","Sub.DryCClass","Sub.DryChroma","Sub.MoistRed","Sub.MoistHue","Sub.MoistValue","Sub.MoistCClass","Sub.MoistChroma","Sub.Texture","Sub.SandSize","Sub.Effervescence","Sub.EfferScale"
"22","B3_2",0.0222222222222222,0.194444444444444,0,0,0,0,0,0,0,0,0,1.21666666666667,0,0,0,0,0,0,1890.392587,250,4,"VV",1,0,67,0,2,5,2,2,3,2,"SL",55,"F",5,7.6,2,4,"7.5YR","7.5YR",4,4,"SL",3,"5YR",6,2,4,3,"5YR",4,2,4,"SL","F","ST",3,3,"5YR",6,2,4,3,"5YR",4,2,4,"SL","F","ST",3
"23","B3_3",0,0,0.0111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1877.895635,90,2,"LL",0,0,200,1,2,6,2,2,4,2,"SL",50,"F",5,7.6,2,5,"7.5YR","7.5YR",4,4,"SL",2,"7.5YR",7,2,4,2,"7.5YR",5,2,4,"SL","F","ST",3,2,"7.5YR",7,2,4,2,"7.5YR",5,2,4,"SL","F","ST",3
"24","B3_4",0,0.0111111111111111,0.0166666666666667,0,0,0,0,0,0,0.261111111111111,0,0,0,0,0,0,0,0,1873.628383,100,5,"CL",0,0,148,0,2,6,2,2,4,2,"SL",70,"F",3,7.6,0,7,"7.5YR","7.5YR",4,4,"NE",3,"5YR",7,3,6,3,"5YR",5,3,6,"SL","F","ST",3,3,"5YR",7,3,6,3,"5YR",5,3,6,"SL","F","ST",3
"25","B3_5",0.00555555555555556,0,0,0,0,0,0,0,0,0,0,0.0555555555555556,0,0,0,0,0,0,1893.745428,35,1,"CL",1,0,178,0,2,6,3,2,4,3,"L",45,"VF",15,7.8,3,5,"7.5YR","7.5YR",6,6,"ST",2,"7.5YR",5,2,4,2,"7.5YR",4,2,4,"L","VF","ST",3,2,"7.5YR",5,2,4,2,"7.5YR",4,2,4,"L","VF","ST",3
"26","B3_6",0.0111111111111111,0.366666666666667,0,0,0,0,0,0.00555555555555556,0.00555555555555556,0,0,0,0,0,0,0,0,0,1867.837113,270,6,"VV",1,1,169,0,2,6,2,2,4,2,"SL",70,"F",5,7.6,1,5,"7.5YR","7.5YR",4,3,"VS",3,"5YR",7,3,6,3,"5YR",5,3,6,"SL","F","ST",3,3,"5YR",7,3,6,3,"5YR",5,3,6,"SL","F","ST",3
"27","B3_7",0.0333333333333333,0.3,0.0222222222222222,0.00555555555555556,0,0,0,0,0,0.0555555555555556,0,0,0,0,0.00555555555555556,0,0,0,1874.847598,260,5,"CC",0,2,135,0,2,6,3,2,4,2,"SL",65,"F",3,7.6,0,6,"7.5YR","7.5YR",6,3,"NE",3,"5YR",6,3,6,3,"5YR",5,3,6,"SL","F","ST",3,3,"5YR",6,3,6,3,"5YR",5,3,6,"SL","F","ST",3
"28","B3_8",0.0333333333333333,0.0333333333333333,0,0,0,0,0,0,0,0,0,0.05,0.0166666666666667,0,0,0,0,0,1878.200439,246,1,"LV",0,2,95,0,2,5,3,2,3,2,"SL",70,"VF",5,7.3,0,5,"7.5YR","7.5YR",6,4,"NE",2,"7.5YR",5,3,6,2,"7.5YR",3,2,4,"SL","VF","SL",2,2,"7.5YR",5,2,4,2,"7.5YR",3,2,4,"SL","VF","SL",2
"29","B3_9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1874.847598,35,5,"CL",0,4,200,1,2,5,2,2,4,2,"SL",70,"F",5,7.6,1,7,"7.5YR","7.5YR",4,3,"VS",2,"7.5YR",6,2,4,3,"5YR",5,2,4,"LS","F","ST",3,2,"7.5YR",6,3,6,3,"5YR",5,2,4,"LS","F","ST",3
"30","B4_1",0.0333333333333333,0.144444444444444,0.00555555555555556,0,0,0,0,0,0,0.0222222222222222,0,0.0611111111111111,0,0,0,0,0,0,1888.258961,190,4,"CL",0,5,11,0,2,6,2,2,4,2,"SL",70,"F",5,7.8,3,11,"7.5YR","7.5YR",4,4,"ST",2,"7.5YR",6,2,4,2,"7.5YR",4,2,4,"SL","F","ST",3,1,"10YR",4,1,1,1,"10YR",3,2,3,"CL","CO","LS",0
"31","B4_10",0,0.233333333333333,0.00555555555555556,0.00555555555555556,0.0166666666666667,0.00555555555555556,0,0,0,0,0.00555555555555556,0.0277777777777778,0,0,0,0,0,0.00555555555555556,1874.542794,230,1,"LV",3,1,56,0,3,5,2,3,4,2,"LS",80,"F",8,8.1,3,5,"5YR","5YR",4,4,"ST",3,"5YR",7,2,4,2,"7.5YR",6,2,4,"SL","F","VE",4,3,"5YR",7,2,4,2,"7.5YR",6,2,4,"SL","MIX","VE",4
"32","B4_2",0.05,0.0555555555555556,0.0777777777777778,0,0,0,0,0,0,0,0,0.0111111111111111,0,0,0,0,0,0,1881.248476,110,11,"VV",0,2,7,0,2,6,2,2,4,2,"SL",60,"F",5,7.6,2,7,"7.5YR","7.5YR",4,4,"SL",2,"7.5YR",6,2,4,2,"7.5YR",4,2,4,"SL","F","SL",2,1,"10YR",4,1,1,1,"10YR",3,2,3,"CL","CO","LS",0
"33","B4_3",0.1,0.205555555555556,0.0333333333333333,0,0,0,0,0.0111111111111111,0,0.0222222222222222,0,0,0,0,0,0,0,0,1877.590832,210,6,"VV",0,1,69,0,2,5,2,2,3,2,"SL",60,"F",3,7.6,2,5,"7.5YR","7.5YR",4,4,"SL",2,"7.5YR",6,2,4,2,"7.5YR",4,3,6,"SL","F","ST",3,2,"7.5YR",6,2,4,2,"7.5YR",4,3,6,"SL","F","ST",3
"34","B4_4",0,0.161111111111111,0,0,0,0,0,0,0,0,0,0.0277777777777778,0,0,0,0,0,0,1890.697391,220,5,"CL",0,0,153,0,2,5,2,2,3,2,"SL",60,"F",5,7.8,3,5,"7.5YR","7.5YR",4,4,"ST",2,"7.5YR",6,2,4,2,"7.5YR",5,2,4,"SL","F","VE",4,2,"7.5YR",6,2,4,2,"7.5YR",5,2,4,"SL","F","VE",4
"35","B4_6",0.0666666666666667,0.122222222222222,0.0333333333333333,0.00555555555555556,0,0,0,0,0,0,0,0.00555555555555556,0,0,0,0,0,0,1880.638869,160,6,"VV",0,2,47,0,2,5,2,2,3,2,"SL",65,"F",5,7.6,2,6,"7.5YR","7.5YR",4,4,"SL",2,"7.5YR",6,2,4,2,"7.5YR",4,2,4,"SL","F","ST",3,2,"7.5YR",6,2,4,2,"7.5YR",4,2,4,"SL","F","ST",3
"36","B4_7",0,0.00555555555555556,0,0,0,0,0,0,0,0,0,0.0666666666666667,0,0,0,0,0,0,1877.590832,310,1,"LL",0,1,176,0,1,6,2,2,4,2,"SL",75,"VF",5,7.4,0,5,"10YR","7.5YR",4,3,"NE",2,"7.5YR",6,2,4,2,"7.5YR",4,2,4,"SL","F","VE",4,2,"7.5YR",6,2,4,2,"7.5YR",4,2,4,"SL","F","VE",4
"37","B4_8",0,0,0.0555555555555556,0.0111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1888.258961,200,5,"VV",0,0,200,1,2,6,2,2,4,2,"SL",65,"F",5,7.8,2,6,"7.5YR","7.5YR",4,4,"SL",2,"7.5YR",7,2,4,2,"7.5YR",5,2,4,"SL","F","ST",3,2,"7.5YR",7,2,4,2,"7.5YR",5,2,4,"SL","F","ST",3
"38","B4_9",0.0277777777777778,0.0555555555555556,0.0111111111111111,0,0,0,0,0,0,0.0388888888888889,0.0111111111111111,0,0,0.0166666666666667,0,0,0,0.0111111111111111,1891.611802,260,10,"VV",0,4,7,0,2,6,2,2,5,2,"SL",60,"F",5,7.8,2,7,"7.5YR","7.5YR",4,4,"SL",2,"7.5YR",6,2,4,2,"7.5YR",5,2,4,"SL","F","SL",2,1,"10YR",4,1,1,1,"10YR",3,2,3,"CL","CO","LS",0
"39","IL1_1",0.272222222222222,0.127777777777778,0.00555555555555556,0,0,0,0,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,1871.189954,110,12,"CV",0,2,40,0,2,6,2,2,4,2,"SL",60,"VF",5,6.6,0,4,"7.5YR","7.5YR",4,4,"NE",2,"7.5YR",5,3,6,2,"7.5YR",4,2,4,"SL","VF","SL",2,2,"7.5YR",5,3,6,2,"7.5YR",4,2,4,"SL","VF","SL",2
